Driver,Time,GapToLeader
1,0 days 01:02:44.341000,0.0
1,0 days 01:02:44.378000,0.031
1,0 days 01:02:48.179000,0.0
1,0 days 01:04:37.899000,0.0
1,0 days 01:07:41.351000,0.0
1,0 days 03:16:55.058000,0.0
1,0 days 03:19:40.745000,0.0
1,0 days 03:22:44.148000,0.0
1,0 days 03:24:34.930000,0.0
1,0 days 03:26:27.756000,0.0
1,0 days 03:26:41.938000,0.0
1,0 days 03:26:47.544000,0.0
1,0 days 03:26:49.521000,0.0
1,0 days 03:26:55.906000,11.478
1,0 days 03:27:00.475000,12.554
1,0 days 03:27:05.066000,12.486
1,0 days 03:27:08.955000,12.498
1,0 days 03:27:13.169000,12.491
1,0 days 03:27:20.399000,12.293
1,0 days 03:27:25.026000,12.279
1,0 days 03:27:28.499000,12.127
1,0 days 03:27:32.280000,12.045
1,0 days 03:27:38.283000,11.586
1,0 days 03:27:42.787000,11.511
1,0 days 03:27:48.965000,10.942
1,0 days 03:27:53.391000,10.782
1,0 days 03:27:56.456000,10.664
1,0 days 03:27:59.074000,10.523
1,0 days 03:28:03.209000,10.455
1,0 days 03:28:09.591000,10.12
1,0 days 03:28:13.290000,9.956
1,0 days 03:28:16.263000,9.852
1,0 days 03:28:21.622000,10.151
1,0 days 03:28:26.200000,10.694
1,0 days 03:28:35.024000,11.567
1,0 days 03:28:36.708000,11.567
1,0 days 03:28:38.393000,8.504
1,0 days 03:28:43.040000,8.504
1,0 days 03:28:43.063000,0.023
1,0 days 03:28:45.439000,0.0
1,0 days 03:30:23.569000,0.0
1,0 days 03:32:08.437000,0.0
1,0 days 03:33:53.464000,0.0
1,0 days 03:35:38.861000,0.0
1,0 days 03:37:24.668000,0.0
1,0 days 03:39:11.482000,0.0
1,0 days 03:40:58.824000,0.0
1,0 days 03:42:46.342000,0.0
1,0 days 03:44:33.751000,0.0
1,0 days 03:46:21.349000,0.0
1,0 days 03:48:09.014000,0.0
1,0 days 03:49:56.769000,0.0
1,0 days 03:51:44.363000,0.0
1,0 days 03:53:31.680000,0.0
1,0 days 03:55:19.322000,0.0
1,0 days 03:57:06.907000,0.0
1,0 days 03:58:54.705000,0.0
1,0 days 04:00:42.689000,0.0
1,0 days 04:02:30.951000,0.0
1,0 days 04:04:19.953000,0.0
10,0 days 01:02:51.620000,7.3
10,0 days 01:02:56.955000,8.732
10,0 days 01:02:56.957000,8.732
10,0 days 01:03:01.908000,9.426
10,0 days 01:03:06.832000,10.523
10,0 days 01:03:11.888000,11.357
10,0 days 01:03:20.991000,12.778
10,0 days 01:03:26.694000,13.654
10,0 days 01:03:31.319000,14.713
10,0 days 01:03:37.350000,16.652
10,0 days 01:03:44.619000,17.688
10,0 days 01:03:50.716000,19.183
10,0 days 01:03:58.116000,19.183
10,0 days 01:03:58.147000,20.326
10,0 days 01:04:04.514000,22.176
10,0 days 01:04:04.519000,22.176
10,0 days 01:04:10.898000,25.372
10,0 days 01:04:17.201000,29.033
10,0 days 01:04:24.130000,31.728
10,0 days 01:04:33.293000,34.429
10,0 days 01:04:43.131000,40.564
10,0 days 01:04:50.602000,40.564
10,0 days 01:04:50.647000,45.001
10,0 days 01:05:00.578000,49.36
10,0 days 01:05:07.383000,47.628
10,0 days 01:05:18.535000,46.379
10,0 days 01:05:21.213000,46.379
10,0 days 01:06:11.172000,83.125
10,0 days 01:06:16.043000,83.555
10,0 days 01:06:20.909000,83.529
10,0 days 01:06:25.515000,82.779
10,0 days 01:06:30.294000,81.717
10,0 days 01:06:38.431000,77.664
10,0 days 01:06:43.686000,74.966
10,0 days 01:06:47.791000,72.472
10,0 days 01:06:52.163000,70.096
10,0 days 01:06:58.703000,68.104
10,0 days 01:07:03.838000,65.449
10,0 days 01:07:10.475000,63.708
10,0 days 01:07:15.650000,57.149
10,0 days 01:07:20.273000,51.959
10,0 days 01:07:24.261000,50.401
10,0 days 01:07:29.100000,48.64
10,0 days 01:07:36.416000,46.226
10,0 days 01:07:40.729000,44.588
10,0 days 01:07:44.297000,43.243
10,0 days 01:07:51.299000,41.371
10,0 days 01:07:56.996000,38.842
10,0 days 01:08:08.301000,37.871
10,0 days 03:15:18.100000,64.88
10,0 days 03:15:23.772000,63.977
10,0 days 03:15:29.074000,61.804
10,0 days 03:15:33.765000,59.865
10,0 days 03:15:38.737000,58.252
10,0 days 03:15:47.200000,54.387
10,0 days 03:15:52.835000,51.885
10,0 days 03:15:57.597000,49.595
10,0 days 03:16:02.625000,48.092
10,0 days 03:16:09.721000,46.441
10,0 days 03:16:15.439000,44.878
10,0 days 03:16:22.259000,42.033
10,0 days 03:16:27.842000,40.673
10,0 days 03:16:31.587000,40.036
10,0 days 03:16:34.586000,38.145
10,0 days 03:16:39.393000,36.329
10,0 days 03:16:46.438000,33.443
10,0 days 03:16:51.848000,34.159
10,0 days 03:16:56.228000,34.011
10,0 days 03:17:03.747000,32.831
10,0 days 03:17:13.660000,35.686
10,0 days 03:17:24.856000,34.982
10,0 days 03:17:26.781000,33.994
10,0 days 03:17:28.659000,33.623
10,0 days 03:17:35.508000,33.43
10,0 days 03:17:40.101000,34.367
10,0 days 03:17:45.915000,33.4
10,0 days 03:17:51.002000,31.001
10,0 days 03:17:55.721000,30.272
10,0 days 03:18:00.423000,28.419
10,0 days 03:18:08.826000,24.958
10,0 days 03:18:15.473000,23.711
10,0 days 03:18:22.002000,23.83
10,0 days 03:18:29.420000,24.955
10,0 days 03:18:37.711000,24.425
10,0 days 03:18:44.803000,24.996
10,0 days 03:18:54.041000,25.054
10,0 days 03:19:05.603000,30.108
10,0 days 03:19:11.299000,31.816
10,0 days 03:19:15.974000,31.419
10,0 days 03:19:21.479000,30.053
10,0 days 03:19:29.095000,28.253
10,0 days 03:19:34.884000,29.651
10,0 days 03:19:40.649000,30.982
10,0 days 03:19:50.165000,31.518
10,0 days 03:19:57.092000,32.205
10,0 days 03:20:10.799000,34.754
10,0 days 03:20:13.078000,34.467
10,0 days 03:20:15.152000,34.397
10,0 days 03:20:22.335000,35.193
10,0 days 03:20:25.538000,35.389
10,0 days 03:20:31.157000,34.773
10,0 days 03:20:36.072000,32.606
10,0 days 03:20:40.528000,31.543
10,0 days 03:20:45.121000,29.583
10,0 days 03:20:53.413000,25.883
10,0 days 03:20:59.029000,23.712
10,0 days 03:21:04.635000,22.588
10,0 days 03:21:13.075000,24.77
10,0 days 03:21:21.134000,23.648
10,0 days 03:21:27.502000,23.032
10,0 days 03:21:35.017000,19.437
10,0 days 03:21:46.946000,22.889
10,0 days 03:21:52.136000,23.085
10,0 days 03:21:57.503000,23.312
10,0 days 03:22:03.057000,22.708
10,0 days 03:22:11.205000,20.888
10,0 days 03:22:17.159000,18.737
10,0 days 03:22:22.627000,15.93
10,0 days 03:22:33.137000,12.785
10,0 days 03:22:44.448000,14.878
10,0 days 03:22:54.309000,13.663
10,0 days 03:22:56.180000,13.741
10,0 days 03:22:57.937000,13.741
10,0 days 03:22:57.959000,13.776
10,0 days 03:23:02.743000,13.821
10,0 days 03:23:05.255000,13.934
10,0 days 03:23:09.806000,14.682
10,0 days 03:23:14.475000,14.765
10,0 days 03:23:19,15.34
10,0 days 03:23:23.471000,15.657
10,0 days 03:23:31.378000,15.902
10,0 days 03:23:36.508000,16.27
10,0 days 03:23:40.496000,16.696
10,0 days 03:23:44.911000,17.052
10,0 days 03:23:51.387000,17.367
10,0 days 03:23:56.187000,17.642
10,0 days 03:24:02.757000,17.857
10,0 days 03:24:07.511000,18.063
10,0 days 03:24:10.796000,18.164
10,0 days 03:24:13.621000,18.34
10,0 days 03:24:18.259000,18.799
10,0 days 03:24:25.150000,19.138
10,0 days 03:24:28.896000,19.144
10,0 days 03:24:32.024000,19.161
10,0 days 03:24:37.853000,19.698
10,0 days 03:24:42.841000,20.319
10,0 days 03:24:52.313000,20.9
10,0 days 03:24:54.092000,20.902
10,0 days 03:24:55.802000,20.902
10,0 days 03:24:55.804000,20.91
10,0 days 03:25:00.618000,20.948
10,0 days 03:25:00.619000,20.948
10,0 days 03:25:03.042000,20.987
10,0 days 03:25:07.278000,21.548
10,0 days 03:25:11.917000,21.537
10,0 days 03:25:16.276000,22.06
10,0 days 03:25:20.724000,22.29
10,0 days 03:25:28.691000,22.689
10,0 days 03:25:33.682000,22.976
10,0 days 03:25:37.372000,23.148
10,0 days 03:25:41.432000,23.281
10,0 days 03:25:47.857000,23.416
10,0 days 03:25:52.579000,23.579
10,0 days 03:25:59.149000,23.663
10,0 days 03:26:03.819000,23.802
10,0 days 03:26:07.028000,23.854
10,0 days 03:26:09.709000,23.901
10,0 days 03:26:14.114000,24.16
10,0 days 03:26:21.032000,24.468
10,0 days 03:26:24.898000,24.505
10,0 days 03:26:27.908000,24.514
10,0 days 03:26:33.569000,24.894
10,0 days 03:26:38.138000,25.288
10,0 days 03:26:47.445000,13.824
10,0 days 03:27:05.770000,13.824
10,0 days 03:27:08.157000,13.824
10,0 days 03:27:11.501000,13.824
10,0 days 03:27:15.415000,13.824
10,0 days 03:27:22.206000,37.792
10,0 days 03:27:26.645000,38.718
10,0 days 03:27:31.322000,38.713
10,0 days 03:27:35.328000,38.892
10,0 days 03:27:39.622000,38.973
10,0 days 03:27:47.306000,39.193
10,0 days 03:27:52.089000,39.341
10,0 days 03:27:55.665000,39.285
10,0 days 03:27:59.583000,39.344
10,0 days 03:28:05.679000,39.008
10,0 days 03:28:10.327000,39.058
10,0 days 03:28:16.629000,38.641
10,0 days 03:28:21.128000,38.534
10,0 days 03:28:24.281000,38.491
10,0 days 03:28:26.881000,38.33
10,0 days 03:28:31.004000,38.237
10,0 days 03:28:37.459000,37.978
10,0 days 03:28:41.220000,37.898
10,0 days 03:28:44.284000,28.379
10,0 days 03:28:49.444000,27.786
10,0 days 03:28:53.500000,27.315
10,0 days 03:29:01.942000,26.95
10,0 days 03:29:03.658000,26.956
10,0 days 03:29:05.355000,35.474
10,0 days 03:29:10.081000,27.033
10,0 days 03:29:12.429000,27.036
10,0 days 03:29:16.222000,27.205
10,0 days 03:29:20.585000,27.28
10,0 days 03:29:24.512000,27.561
10,0 days 03:29:28.759000,27.947
10,0 days 03:29:36.285000,28.402
10,0 days 03:29:40.996000,28.685
10,0 days 03:29:44.540000,28.782
10,0 days 03:29:48.392000,28.925
10,0 days 03:29:54.559000,29.176
10,0 days 03:29:59.180000,29.295
10,0 days 03:30:05.433000,29.466
10,0 days 03:30:09.890000,29.547
10,0 days 03:30:12.972000,29.563
10,0 days 03:30:15.581000,29.58
10,0 days 03:30:19.906000,30.032
10,0 days 03:30:26.445000,30.374
10,0 days 03:30:30.134000,30.421
10,0 days 03:30:33.204000,30.437
10,0 days 03:30:38.390000,30.61
10,0 days 03:30:42.834000,31.057
10,0 days 03:30:51.341000,31.18
10,0 days 03:30:53.060000,31.193
10,0 days 03:30:54.768000,31.202
10,0 days 03:30:59.422000,31.223
