Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2022-10-22 21:49:38,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,
2022-10-22 22:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-10-22 22:05:18,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,
2022-10-22 22:05:36,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 7,,,,,
2022-10-22 22:05:37,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2022-10-22 22:06:05,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2022-10-22 22:11:42,Other,CAR 24 (ZHO) TIME 1:36.908 DELETED - TRACK LIMITS AT TURN 12 LAP 6 17:09:56,,,,,
2022-10-22 22:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2022-10-22 22:18:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,
2022-10-22 22:19:38,Other,CAR 44 (HAM) TIME 1:35.878 DELETED - TRACK LIMITS AT TURN 19 LAP 6 17:19:11,,,,,
2022-10-22 22:25:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-10-22 22:31:00,Other,CAR 5 (VET) TIME 1:37.131 DELETED - TRACK LIMITS AT TURN 9 LAP 9 17:29:52,,,,,
2022-10-22 22:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2022-10-22 22:40:11,Other,CAR 22 (TSU) TIME 1:36.439 DELETED - TRACK LIMITS AT TURN 9 LAP 12 17:38:53,,,,,
2022-10-22 22:40:18,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,
2022-10-22 22:41:37,Other,CAR 24 (ZHO) TIME 1:36.196 DELETED - TRACK LIMITS AT TURN 12 LAP 15 17:40:28,,,,,
2022-10-22 22:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-10-22 23:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2022-10-22 23:00:33,Other,FIRST CAR TO TAKE THE FLAG - CAR 77 (BOT),,,,,
