Driver,Time,GapToLeader
1,0 days 01:02:47.805000,0.0
1,0 days 01:04:21.760000,0.0
1,0 days 01:06:03.476000,0.0
1,0 days 01:07:45.358000,0.0
1,0 days 01:09:27.928000,0.0
1,0 days 01:11:10.812000,0.0
1,0 days 01:12:53.615000,0.0
1,0 days 01:14:35.953000,0.0
1,0 days 01:16:18.768000,0.0
1,0 days 01:18:01.186000,0.0
1,0 days 01:19:43.682000,0.0
1,0 days 01:21:26.262000,0.0
1,0 days 01:23:09.262000,0.0
1,0 days 01:24:51.943000,0.0
1,0 days 01:25:11.236000,0.0
1,0 days 01:25:19.044000,5.509
1,0 days 01:25:26.623000,6.139
1,0 days 01:25:30.092000,6.24
1,0 days 01:25:33.857000,6.375
1,0 days 01:25:39.260000,6.349
1,0 days 01:25:42.884000,6.247
1,0 days 01:25:48.069000,6.145
1,0 days 01:25:52.714000,6.102
1,0 days 01:26:00.902000,5.821
1,0 days 01:26:05.364000,5.804
1,0 days 01:26:08.631000,5.799
1,0 days 01:26:12.881000,5.785
1,0 days 01:26:19.918000,5.831
1,0 days 01:26:26.428000,5.599
1,0 days 01:26:32.297000,5.578
1,0 days 01:26:38.138000,5.699
1,0 days 01:26:41.747000,5.766
1,0 days 01:26:48.009000,5.492
1,0 days 01:26:54.060000,5.43
1,0 days 01:26:59.535000,0.0
1,0 days 01:28:36.526000,0.0
1,0 days 01:30:18.403000,0.0
1,0 days 01:32:00.920000,0.0
1,0 days 01:33:59.989000,0.0
1,0 days 01:34:00.599000,0.568
1,0 days 01:34:06.811000,0.0
1,0 days 01:36:44.665000,0.0
1,0 days 01:39:20.736000,0.0
1,0 days 01:42:02.699000,0.0
1,0 days 01:44:04.864000,0.0
1,0 days 01:46:56.536000,0.0
1,0 days 01:49:49.440000,0.0
1,0 days 01:52:26.618000,0.0
1,0 days 01:54:07.987000,0.0
1,0 days 01:55:49.492000,0.0
1,0 days 01:57:31.014000,0.0
1,0 days 01:59:12.081000,0.0
1,0 days 02:00:53.248000,0.0
1,0 days 02:02:34.662000,0.0
1,0 days 02:04:16.002000,0.0
1,0 days 02:05:57.712000,0.0
1,0 days 02:07:38.948000,0.0
1,0 days 02:09:20.211000,0.0
1,0 days 02:09:34.521000,0.0
1,0 days 02:09:35.216000,0.0
1,0 days 02:09:39.550000,0.0
1,0 days 02:09:46.623000,0.0
1,0 days 02:09:50.879000,0.0
1,0 days 02:09:55.505000,18.656
1,0 days 02:10:02.939000,19.114
1,0 days 02:10:06.484000,19.117
1,0 days 02:10:10.032000,19.212
1,0 days 02:10:15.116000,19.267
1,0 days 02:10:18.691000,19.249
1,0 days 02:10:23.581000,19.052
1,0 days 02:10:28.089000,19.003
1,0 days 02:10:36.150000,18.177
1,0 days 02:10:40.572000,18.13
1,0 days 02:10:43.682000,18.017
1,0 days 02:10:47.740000,17.748
1,0 days 02:10:54.812000,17.609
1,0 days 02:11:01.241000,17.223
1,0 days 02:11:06.999000,16.945
1,0 days 02:11:12.392000,16.71
1,0 days 02:11:15.836000,16.666
1,0 days 02:11:22.130000,16.645
1,0 days 02:11:25.542000,16.676
1,0 days 02:11:27.949000,16.626
1,0 days 02:11:33.151000,16.371
1,0 days 02:11:33.160000,16.371
1,0 days 02:11:35.313000,16.221
1,0 days 02:11:42.158000,16.114
1,0 days 02:11:45.486000,16.077
1,0 days 02:11:49.141000,16.109
1,0 days 02:11:54.286000,16.073
1,0 days 02:11:57.830000,16.031
1,0 days 02:12:02.852000,15.881
1,0 days 02:12:07.449000,15.934
1,0 days 02:12:15.582000,15.561
1,0 days 02:12:19.965000,15.466
1,0 days 02:12:23.027000,15.336
1,0 days 02:12:27.024000,15.035
1,0 days 02:12:34.018000,14.937
1,0 days 02:12:40.455000,14.805
1,0 days 02:12:46.314000,14.765
1,0 days 02:12:51.724000,14.682
1,0 days 02:12:55.292000,14.696
1,0 days 02:13:01.506000,14.807
1,0 days 02:13:05.057000,14.562
1,0 days 02:13:07.514000,14.51
1,0 days 02:13:12.729000,14.257
1,0 days 02:13:14.843000,14.12
1,0 days 02:13:21.672000,14.056
1,0 days 02:13:24.984000,13.99
1,0 days 02:13:28.723000,14.16
1,0 days 02:13:34.001000,14.318
1,0 days 02:13:37.566000,14.356
1,0 days 02:13:42.654000,14.302
1,0 days 02:13:47.191000,14.285
1,0 days 02:13:55.396000,14.033
1,0 days 02:13:59.757000,13.963
1,0 days 02:14:02.851000,13.828
1,0 days 02:14:06.820000,13.54
1,0 days 02:14:13.942000,13.567
1,0 days 02:14:20.534000,13.505
1,0 days 02:14:26.448000,13.561
1,0 days 02:14:31.874000,13.406
1,0 days 02:14:35.466000,13.484
1,0 days 02:14:41.718000,13.333
1,0 days 02:14:45.243000,13.333
1,0 days 02:14:47.728000,13.251
1,0 days 02:14:52.897000,7.201
1,0 days 02:14:52.899000,7.201
1,0 days 02:14:55.134000,7.014
1,0 days 02:15:02.126000,7.196
1,0 days 02:15:05.487000,7.167
1,0 days 02:15:09.268000,7.244
1,0 days 02:15:14.512000,7.234
1,0 days 02:15:18.132000,7.262
1,0 days 02:15:23.318000,7.175
1,0 days 02:15:27.820000,7.087
1,0 days 02:15:36.035000,7.062
1,0 days 02:15:40.403000,7.016
1,0 days 02:15:43.460000,6.824
1,0 days 02:15:47.417000,6.824
1,0 days 02:15:47.458000,6.456
1,0 days 02:15:54.500000,6.57
1,0 days 02:16:01.067000,6.603
1,0 days 02:16:06.866000,6.499
1,0 days 02:16:12.421000,6.534
1,0 days 02:16:15.905000,6.506
1,0 days 02:16:22.192000,6.537
1,0 days 02:16:25.506000,6.385
1,0 days 02:16:28.028000,6.337
1,0 days 02:16:33.470000,6.247
1,0 days 02:16:35.777000,6.213
1,0 days 02:16:42.573000,6.006
1,0 days 02:16:45.895000,5.943
1,0 days 02:16:49.509000,5.88
1,0 days 02:16:54.512000,5.551
1,0 days 02:16:58.018000,5.453
1,0 days 02:17:03.098000,5.322
1,0 days 02:17:07.683000,5.262
1,0 days 02:17:15.933000,5.09
1,0 days 02:17:20.260000,5.044
1,0 days 02:17:23.506000,4.99
1,0 days 02:17:27.693000,4.897
1,0 days 02:17:34.600000,4.823
1,0 days 02:17:41.162000,4.777
1,0 days 02:17:47.069000,4.635
1,0 days 02:17:52.581000,4.582
1,0 days 02:17:56.090000,4.467
1,0 days 02:18:02.287000,4.22
1,0 days 02:18:05.613000,4.107
1,0 days 02:18:08.149000,4.029
1,0 days 02:18:13.528000,3.942
1,0 days 02:18:15.811000,3.947
1,0 days 02:18:22.632000,3.711
1,0 days 02:18:25.970000,3.637
1,0 days 02:18:29.603000,3.574
1,0 days 02:18:34.672000,3.697
1,0 days 02:18:38.193000,3.798
1,0 days 02:18:43.247000,3.764
1,0 days 02:18:47.799000,3.744
1,0 days 02:18:56.084000,3.739
1,0 days 02:19:00.505000,3.713
1,0 days 02:19:03.731000,3.659
1,0 days 02:19:07.941000,3.527
1,0 days 02:19:14.841000,3.404
1,0 days 02:19:21.304000,3.457
1,0 days 02:19:27.175000,3.35
1,0 days 02:19:32.662000,3.392
1,0 days 02:19:36.192000,3.366
1,0 days 02:19:42.402000,3.395
1,0 days 02:19:45.668000,3.454
1,0 days 02:19:48.203000,3.432
1,0 days 02:19:53.608000,3.35
1,0 days 02:19:53.619000,3.35
1,0 days 02:19:55.879000,3.277
1,0 days 02:20:02.727000,3.31
1,0 days 02:20:06.019000,3.273
1,0 days 02:20:09.698000,3.266
1,0 days 02:20:14.735000,3.346
1,0 days 02:20:18.282000,3.415
1,0 days 02:20:23.279000,3.506
1,0 days 02:20:27.818000,3.473
1,0 days 02:20:36.143000,3.416
1,0 days 02:20:40.543000,3.397
1,0 days 02:20:43.782000,3.35
1,0 days 02:20:47.962000,3.257
1,0 days 02:20:54.900000,3.343
1,0 days 02:21:01.392000,3.403
1,0 days 02:21:07.196000,3.291
1,0 days 02:21:12.610000,3.24
1,0 days 02:21:16.096000,3.216
1,0 days 02:21:22.294000,3.223
1,0 days 02:21:25.772000,3.302
1,0 days 02:21:28.231000,3.319
1,0 days 02:21:33.625000,3.242
1,0 days 02:21:35.938000,3.194
1,0 days 02:21:42.729000,3.239
1,0 days 02:21:46.041000,3.216
1,0 days 02:21:49.672000,3.166
1,0 days 02:21:54.654000,3.274
1,0 days 02:21:58.138000,3.329
1,0 days 02:22:03.152000,3.396
1,0 days 02:22:07.706000,3.335
