Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2022-10-28 17:55:52,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2022-10-28 18:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-10-28 18:03:13,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2022-10-28 18:03:14,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2022-10-28 18:31:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,
2022-10-28 18:31:29,Other,DRS DISABLED IN ZONE 1,,,,,
2022-10-28 18:31:31,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,
2022-10-28 18:31:41,Other,DRS ENABLED IN ZONE 1,,,,,
2022-10-28 18:31:41,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,
2022-10-28 18:31:51,CarEvent,CAR 1 (VER) SPUN AND CONTINUED AT TURN 11,,,,,1
2022-10-28 18:37:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,
2022-10-28 18:37:03,Other,DRS DISABLED IN ZONE 2,,,,,
2022-10-28 18:37:24,Flag,RED FLAG,,RED,Track,,
2022-10-28 18:37:25,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2022-10-28 18:37:53,CarEvent,CAR 51 (FIT) STOPPED AT TURN 3,,,,,51
2022-10-28 18:42:02,Other,SESSION WILL RESUME AT 13:43,,,,,
2022-10-28 18:42:08,Flag,TRACK CLEAR,,CLEAR,Track,,
2022-10-28 18:42:11,Drs,DRS ENABLED,ENABLED,,,,
2022-10-28 18:43:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-10-28 18:51:36,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2022-10-28 18:51:37,Other,DRS DISABLED IN ZONE 3,,,,,
2022-10-28 18:51:45,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2022-10-28 18:51:45,Other,DRS ENABLED IN ZONE 3,,,,,
2022-10-28 18:52:28,CarEvent,CAR 40 (LAW) OFF TRACK AND CONTINUED AT TURN 4,,,,,40
2022-10-28 18:55:36,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,
2022-10-28 18:56:03,Flag,RED FLAG,,RED,Track,,
2022-10-28 18:56:03,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2022-10-28 18:57:34,Other,SESSION WILL NOT BE RESUMED,,,,,
2022-10-28 19:00:56,Flag,TRACK CLEAR,,CLEAR,Track,,
2022-10-28 19:02:01,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,
