Driver,Time,GapToLeader
1,0 days 01:03:32.230000,0.0
1,0 days 01:04:55.512000,0.0
1,0 days 01:06:18.589000,0.0
1,0 days 01:07:42.169000,0.0
1,0 days 01:09:05.408000,0.0
1,0 days 01:10:28.660000,0.0
1,0 days 01:11:51.807000,0.0
1,0 days 01:13:15.124000,0.0
1,0 days 01:14:38.326000,0.0
1,0 days 01:16:01.571000,0.0
1,0 days 01:17:24.727000,0.0
1,0 days 01:18:47.829000,0.0
1,0 days 01:20:10.915000,0.0
1,0 days 01:21:34.019000,0.0
1,0 days 01:22:57.066000,0.0
1,0 days 01:24:20.092000,0.0
1,0 days 01:25:43.196000,0.0
1,0 days 01:27:06.515000,0.0
1,0 days 01:28:29.913000,0.0
1,0 days 01:29:53.593000,0.0
1,0 days 01:31:16.889000,0.0
1,0 days 01:32:40.512000,0.0
1,0 days 01:34:04.116000,0.0
1,0 days 01:35:28.009000,0.0
1,0 days 01:36:53.342000,0.0
1,0 days 01:37:03.266000,0.0
1,0 days 01:37:19.546000,19.372
1,0 days 01:37:24.634000,19.954
1,0 days 01:37:26.843000,20.087
1,0 days 01:37:33.637000,20.332
1,0 days 01:37:36.868000,20.451
1,0 days 01:37:39.899000,20.446
1,0 days 01:37:42.716000,20.444
1,0 days 01:37:44.826000,20.472
1,0 days 01:37:51.976000,20.364
1,0 days 01:37:57.267000,20.149
1,0 days 01:38:00.437000,20.117
1,0 days 01:38:02.970000,20.093
1,0 days 01:38:06.280000,20.08
1,0 days 01:38:10.519000,20.053
1,0 days 01:38:14.597000,20.026
1,0 days 01:38:17.794000,20.034
1,0 days 01:38:21.168000,20.015
1,0 days 01:38:27.838000,19.759
1,0 days 01:38:33.087000,19.662
1,0 days 01:38:36.182000,19.552
1,0 days 01:38:40.422000,19.51
1,0 days 01:38:42.977000,19.482
1,0 days 01:38:47.433000,19.431
1,0 days 01:38:49.563000,19.494
1,0 days 01:38:56.051000,19.427
1,0 days 01:38:59.228000,19.496
1,0 days 01:39:02.273000,19.48
1,0 days 01:39:05.107000,19.466
1,0 days 01:39:07.214000,19.494
1,0 days 01:39:14.359000,19.41
1,0 days 01:39:19.673000,19.178
1,0 days 01:39:22.874000,19.131
1,0 days 01:39:25.356000,19.101
1,0 days 01:39:28.613000,19.116
1,0 days 01:39:32.915000,19.092
1,0 days 01:39:37.009000,19.054
1,0 days 01:39:40.170000,19.083
1,0 days 01:39:43.524000,19.07
1,0 days 01:39:50.333000,18.9
1,0 days 01:39:55.627000,18.806
1,0 days 01:39:58.685000,18.7
1,0 days 01:40:02.872000,18.653
1,0 days 01:40:05.482000,18.619
1,0 days 01:40:09.875000,18.556
1,0 days 01:40:12.010000,18.567
1,0 days 01:40:18.505000,18.542
1,0 days 01:40:21.661000,18.602
1,0 days 01:40:24.727000,18.581
1,0 days 01:40:27.489000,18.566
1,0 days 01:40:29.667000,18.556
1,0 days 01:40:36.839000,18.504
1,0 days 01:40:42.143000,18.333
1,0 days 01:40:45.330000,18.296
1,0 days 01:40:47.926000,18.279
1,0 days 01:40:51.225000,18.219
1,0 days 01:40:55.414000,18.135
1,0 days 01:40:59.475000,18.147
1,0 days 01:41:02.664000,18.175
1,0 days 01:41:05.963000,18.181
1,0 days 01:41:12.806000,18.096
1,0 days 01:41:18.118000,18.055
1,0 days 01:41:21.206000,17.979
1,0 days 01:41:25.412000,17.947
1,0 days 01:41:27.960000,17.913
1,0 days 01:41:32.371000,17.844
1,0 days 01:41:34.495000,17.868
