Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2022-11-12 15:15:02,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2022-11-12 15:15:07,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,
2022-11-12 15:15:18,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 20%,,,,,
2022-11-12 15:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-11-12 15:39:47,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,
2022-11-12 15:40:03,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2022-11-12 15:54:13,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,
2022-11-12 15:54:14,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,
2022-11-12 16:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2022-11-12 16:30:12,Other,AIR TEMPERATURE 3 HOURS BEFORE THE SPRINT = 25.5 DEGREES,,,,,
2022-11-12 16:30:35,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
