Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2022-11-11 18:57:32,Drs,DRS DISABLED,DISABLED,,,,
2022-11-11 19:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-11-11 19:09:12,Other,CAR 20 (MAG) TIME 1:18.423 DELETED - TRACK LIMITS AT TURN 8 LAP 7 16:08:23,,,,,
2022-11-11 19:18:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2022-11-11 19:18:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,
2022-11-11 19:22:01,Drs,DRS ENABLED,ENABLED,,,,
2022-11-11 19:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-11-11 19:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2022-11-11 19:40:26,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,
2022-11-11 19:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-11-11 19:51:36,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,
2022-11-11 19:51:37,Other,DRS DISABLED IN ZONE 1,,,,,
2022-11-11 19:51:50,Flag,RED FLAG,,RED,Track,,
2022-11-11 19:51:50,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2022-11-11 19:55:17,Drs,DRS DISABLED,DISABLED,,,,
2022-11-11 19:56:21,Other,SESSION WILL RESUME AT 16:59,,,,,
2022-11-11 19:56:26,Flag,TRACK CLEAR,,CLEAR,Track,,
2022-11-11 19:59:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-11-11 20:07:10,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
