Driver,Time,GapToLeader
1,0 days 01:01:52.533000,0.612
1,0 days 01:01:54.908000,0.599
1,0 days 01:01:59.475000,1.151
1,0 days 01:02:02.497000,1.474
1,0 days 01:02:05.497000,1.502
1,0 days 01:02:08.286000,1.464
1,0 days 01:02:10.390000,1.393
1,0 days 01:02:16.573000,1.519
1,0 days 01:02:20.560000,1.552
1,0 days 01:02:22.494000,1.552
1,0 days 01:02:27.419000,1.808
1,0 days 01:02:32.585000,1.864
1,0 days 01:02:38.020000,2.069
1,0 days 01:02:44.701000,1.997
1,0 days 01:02:51.512000,4.185
1,0 days 01:03:03.039000,4.407
1,0 days 01:03:08.129000,2.973
1,0 days 01:03:13.935000,3.518
1,0 days 01:03:15.396000,3.535
1,0 days 01:03:19.041000,3.989
1,0 days 01:03:22.303000,4.236
1,0 days 01:03:24.885000,4.139
1,0 days 01:03:29.642000,3.58
1,0 days 01:03:32.884000,2.646
1,0 days 01:03:37,3.256
1,0 days 01:03:41.477000,4.457
1,0 days 01:03:44.562000,4.989
1,0 days 01:03:52.299000,2.846
1,0 days 01:03:57.606000,1.489
1,0 days 01:04:01.892000,2.376
1,0 days 01:04:09.485000,1.194
1,0 days 01:04:19.630000,2.46
1,0 days 01:04:28.481000,2.716
1,0 days 01:04:37.372000,2.233
1,0 days 01:04:45.672000,2.392
1,0 days 01:04:55.793000,2.217
1,0 days 01:05:00.760000,2.105
1,0 days 01:05:07.538000,2.327
1,0 days 01:05:09.588000,2.728
1,0 days 01:05:13.152000,1.738
1,0 days 01:05:17.055000,1.499
1,0 days 01:05:22.479000,2.541
1,0 days 01:05:27.461000,2.424
1,0 days 01:05:31.317000,2.314
1,0 days 01:05:37.368000,3.602
1,0 days 01:05:40.940000,2.839
1,0 days 01:05:43.535000,2.101
1,0 days 01:05:53.381000,2.102
1,0 days 01:06:00.372000,2.66
1,0 days 01:06:03.477000,1.561
1,0 days 01:06:11.278000,2.447
1,0 days 01:06:20.300000,2.546
1,0 days 01:06:28.935000,2.117
1,0 days 01:06:38.145000,1.985
1,0 days 01:06:45.406000,2.361
1,0 days 01:06:55.872000,2.343
1,0 days 01:07:00.855000,2.697
1,0 days 01:07:07.082000,1.817
1,0 days 01:07:08.910000,2.17
1,0 days 01:07:12.827000,1.388
1,0 days 01:07:18.097000,2.889
1,0 days 01:07:22.151000,3.005
1,0 days 01:07:27.052000,2.66
1,0 days 01:07:31.083000,1.867
1,0 days 01:07:35.665000,2.331
1,0 days 01:07:39.972000,1.612
1,0 days 01:07:42.998000,1.75
1,0 days 01:07:52.849000,1.833
1,0 days 01:08:00.022000,2.23
1,0 days 01:08:02.518000,1.426
1,0 days 01:08:11.061000,2.623
1,0 days 01:08:19.890000,2.157
1,0 days 01:08:28.877000,2.2
1,0 days 01:08:38.511000,2.35
1,0 days 01:08:46.115000,3.726
1,0 days 01:08:55.920000,2.415
1,0 days 01:09:00.376000,2.248
1,0 days 01:09:06.709000,2.571
1,0 days 01:09:08.139000,1.778
1,0 days 01:09:13.711000,3.101
1,0 days 01:09:17.216000,2.479
1,0 days 01:09:21.994000,2.901
1,0 days 01:09:27.071000,2.814
1,0 days 01:09:30.220000,2.421
1,0 days 01:09:36.300000,3.097
1,0 days 01:09:40.238000,3.428
1,0 days 01:09:43.025000,1.7
1,0 days 01:09:52.564000,2.006
1,0 days 01:09:58.425000,1.513
1,0 days 01:10:01.786000,2.164
1,0 days 01:10:08.977000,1.732
1,0 days 01:10:16.497000,1.729
1,0 days 01:10:24.027000,1.659
1,0 days 01:10:33.873000,2.008
1,0 days 01:10:41.533000,2.697
1,0 days 01:10:51.549000,2.446
1,0 days 01:10:56.699000,2.634
1,0 days 01:11:02.457000,3.014
1,0 days 01:11:04.017000,2.602
1,0 days 01:11:07.128000,2.053
1,0 days 01:11:10.304000,2.067
1,0 days 01:11:13.821000,1.803
1,0 days 01:11:19.867000,2.532
1,0 days 01:11:23.467000,2.062
1,0 days 01:11:28.704000,2.158
1,0 days 01:11:33.088000,2.183
1,0 days 01:11:35.925000,2.459
1,0 days 01:11:46,2.67
1,0 days 01:11:50.718000,2.141
1,0 days 01:11:54.744000,2.04
1,0 days 01:12:00.816000,1.667
1,0 days 01:12:08.989000,1.899
1,0 days 01:12:17.158000,2.152
1,0 days 01:12:28.390000,1.392
1,0 days 01:12:37.554000,1.344
1,0 days 01:12:49.329000,1.075
1,0 days 01:12:55.695000,0.852
1,0 days 01:13:04.924000,0.715
1,0 days 01:13:07.471000,0.558
1,0 days 01:13:11.200000,0.446
1,0 days 01:13:13.887000,0.401
1,0 days 01:13:15.825000,0.401
1,0 days 01:13:15.829000,0.347
1,0 days 01:13:19.802000,0.467
1,0 days 01:13:24.281000,2.036
1,0 days 01:13:28.563000,3.363
1,0 days 01:13:29.483000,3.363
1,0 days 01:13:29.951000,3.363
1,0 days 01:13:30.118000,3.363
1,0 days 01:13:30.438000,3.363
1,0 days 01:13:30.753000,3.363
1,0 days 01:13:31.383000,3.363
1,0 days 01:13:31.607000,3.363
1,0 days 01:13:31.698000,3.363
1,0 days 01:13:31.784000,3.73
1,0 days 01:13:33.966000,3.808
1,0 days 01:13:41.047000,4.688
1,0 days 01:13:41.049000,4.688
1,0 days 01:13:41.162000,4.688
1,0 days 01:13:45.075000,4.742
1,0 days 01:13:45.098000,4.742
1,0 days 01:13:47.076000,4.734
1,0 days 01:13:52.381000,5.292
1,0 days 01:13:52.383000,5.292
1,0 days 01:13:57.751000,5.48
1,0 days 01:14:03.374000,5.834
1,0 days 01:14:10.232000,5.966
1,0 days 01:14:15.018000,6.237
1,0 days 01:14:22.307000,6.541
1,0 days 01:14:25.513000,6.527
1,0 days 01:14:29.536000,6.441
1,0 days 01:14:30.732000,6.441
1,0 days 01:14:31.641000,6.441
1,0 days 01:14:31.989000,6.441
1,0 days 01:14:32.184000,6.441
1,0 days 01:14:32.544000,6.441
1,0 days 01:14:32.576000,6.441
1,0 days 01:14:33.272000,6.441
1,0 days 01:14:33.734000,6.441
1,0 days 01:14:33.858000,6.441
1,0 days 01:15:19.166000,35.131
1,0 days 01:15:21.315000,35.137
1,0 days 01:15:27.490000,35.128
1,0 days 01:15:31.462000,35.118
1,0 days 01:15:33.403000,35.04
1,0 days 01:15:38.119000,35.021
1,0 days 01:15:43.289000,35.018
1,0 days 01:15:48.668000,35.065
1,0 days 01:15:55.652000,35.223
1,0 days 01:16:00.258000,35.333
1,0 days 01:16:07.281000,35.347
1,0 days 01:16:10.495000,35.337
1,0 days 01:16:14.508000,35.293
1,0 days 01:16:15.618000,35.274
1,0 days 01:16:18.152000,35.21
1,0 days 01:16:20.552000,35.153
1,0 days 01:16:22.580000,35.192
1,0 days 01:16:26.573000,35.174
1,0 days 01:16:29.278000,35.269
1,0 days 01:16:32.317000,35.258
1,0 days 01:16:35.035000,35.237
1,0 days 01:16:37.174000,35.204
1,0 days 01:16:43.306000,35.101
1,0 days 01:16:47.282000,35.09
1,0 days 01:16:49.202000,35.05
1,0 days 01:16:54.052000,35.065
1,0 days 01:16:59.208000,34.943
1,0 days 01:17:04.516000,35.027
1,0 days 01:17:11.194000,34.848
1,0 days 01:17:15.835000,34.826
1,0 days 01:17:22.822000,34.883
1,0 days 01:17:26.089000,34.883
1,0 days 01:17:30.106000,34.827
1,0 days 01:17:31.181000,34.802
1,0 days 01:17:33.734000,34.752
1,0 days 01:17:36.105000,34.696
1,0 days 01:17:38.088000,34.67
1,0 days 01:17:42.093000,34.622
1,0 days 01:17:44.817000,34.632
1,0 days 01:17:47.807000,34.608
1,0 days 01:17:50.561000,34.585
1,0 days 01:17:52.679000,34.547
1,0 days 01:17:58.947000,34.531
1,0 days 01:18:02.861000,34.512
1,0 days 01:18:04.819000,34.477
1,0 days 01:18:09.807000,34.481
1,0 days 01:18:14.806000,34.406
1,0 days 01:18:20.233000,34.531
1,0 days 01:18:26.979000,34.446
1,0 days 01:18:31.668000,34.56
1,0 days 01:18:38.735000,34.605
1,0 days 01:18:41.963000,34.595
1,0 days 01:18:45.953000,34.544
1,0 days 01:18:47.052000,34.518
1,0 days 01:18:49.585000,34.451
1,0 days 01:18:51.975000,34.391
1,0 days 01:18:54.009000,34.375
1,0 days 01:18:58.079000,34.368
1,0 days 01:19:00.764000,34.418
1,0 days 01:19:03.894000,34.39
1,0 days 01:19:06.535000,34.371
1,0 days 01:19:08.595000,34.329
1,0 days 01:19:14.862000,34.289
1,0 days 01:19:18.829000,34.262
1,0 days 01:19:20.727000,34.219
1,0 days 01:19:25.654000,34.307
1,0 days 01:19:30.851000,34.296
1,0 days 01:19:36.372000,34.5
1,0 days 01:19:43.149000,34.424
1,0 days 01:19:47.923000,34.575
1,0 days 01:19:54.924000,34.642
1,0 days 01:19:58.153000,34.622
1,0 days 01:20:02.203000,34.562
1,0 days 01:20:03.285000,34.537
1,0 days 01:20:05.796000,34.471
1,0 days 01:20:08.160000,34.401
1,0 days 01:20:10.250000,34.387
1,0 days 01:20:14.334000,34.374
1,0 days 01:20:17.041000,34.431
1,0 days 01:20:20.081000,34.431
1,0 days 01:20:22.812000,34.403
1,0 days 01:20:24.945000,34.36
1,0 days 01:20:31.244000,34.455
1,0 days 01:20:35.215000,34.454
1,0 days 01:20:37.164000,34.412
1,0 days 01:20:42.066000,34.495
1,0 days 01:20:47.272000,34.443
1,0 days 01:20:52.678000,34.499
1,0 days 01:20:59.553000,34.424
1,0 days 01:21:04.236000,34.58
1,0 days 01:21:11.347000,34.61
1,0 days 01:21:14.603000,34.607
1,0 days 01:21:18.630000,34.54
1,0 days 01:21:19.743000,34.512
1,0 days 01:21:22.220000,34.44
1,0 days 01:21:24.599000,34.372
1,0 days 01:21:26.605000,34.281
1,0 days 01:21:30.750000,34.253
1,0 days 01:21:33.486000,34.341
1,0 days 01:21:36.477000,34.342
1,0 days 01:21:39.265000,34.317
1,0 days 01:21:41.422000,34.275
1,0 days 01:21:47.617000,34.312
1,0 days 01:21:51.638000,34.321
1,0 days 01:21:53.582000,34.292
1,0 days 01:21:58.448000,34.332
1,0 days 01:22:03.871000,34.362
1,0 days 01:22:09.300000,34.494
1,0 days 01:22:15.973000,34.441
1,0 days 01:22:20.753000,34.586
1,0 days 01:22:27.818000,34.612
1,0 days 01:22:31.023000,34.575
1,0 days 01:22:35.034000,34.501
1,0 days 01:22:36.114000,34.471
1,0 days 01:22:38.642000,34.396
1,0 days 01:22:41.034000,34.331
1,0 days 01:22:43.106000,34.284
1,0 days 01:22:47.363000,34.26
1,0 days 01:22:49.862000,34.341
1,0 days 01:22:52.881000,34.332
1,0 days 01:22:55.661000,34.307
1,0 days 01:22:57.717000,34.265
1,0 days 01:23:04.009000,34.253
1,0 days 01:23:08.050000,34.237
1,0 days 01:23:09.957000,34.222
1,0 days 01:23:14.797000,34.234
1,0 days 01:23:20.080000,34.291
1,0 days 01:23:25.544000,34.439
1,0 days 01:23:32.351000,34.334
1,0 days 01:23:37.042000,34.416
1,0 days 01:23:44.176000,34.51
1,0 days 01:23:47.364000,34.49
1,0 days 01:23:51.408000,34.43
1,0 days 01:23:52.519000,34.405
1,0 days 01:23:54.989000,34.337
1,0 days 01:23:57.408000,34.284
1,0 days 01:23:59.643000,34.281
1,0 days 01:23:59.643000,34.281
1,0 days 01:24:03.413000,34.231
1,0 days 01:24:06.219000,34.336
1,0 days 01:24:09.207000,34.351
1,0 days 01:24:11.966000,34.334
1,0 days 01:24:14.084000,34.297
1,0 days 01:24:20.419000,34.362
1,0 days 01:24:24.428000,34.341
1,0 days 01:24:26.352000,34.326
1,0 days 01:24:31.314000,34.499
1,0 days 01:24:36.479000,34.44
1,0 days 01:24:41.976000,34.591
1,0 days 01:24:48.830000,34.562
1,0 days 01:24:53.555000,34.726
1,0 days 01:25:00.648000,34.78
1,0 days 01:25:03.872000,34.758
1,0 days 01:25:07.923000,34.689
1,0 days 01:25:09.037000,34.66
1,0 days 01:25:11.462000,34.577
1,0 days 01:25:13.834000,34.502
1,0 days 01:25:15.879000,34.465
1,0 days 01:25:19.907000,34.392
1,0 days 01:25:22.646000,34.481
1,0 days 01:25:25.651000,34.484
1,0 days 01:25:28.411000,34.456
1,0 days 01:25:30.499000,34.41
1,0 days 01:25:36.826000,34.486
1,0 days 01:25:40.821000,34.482
1,0 days 01:25:42.819000,34.469
1,0 days 01:25:47.728000,34.755
1,0 days 01:25:53.067000,34.821
1,0 days 01:25:58.593000,34.983
1,0 days 01:26:05.466000,34.962
1,0 days 01:26:10.181000,35.07
1,0 days 01:26:17.331000,35.18
1,0 days 01:26:20.572000,35.164
1,0 days 01:26:24.568000,35.097
1,0 days 01:26:25.674000,35.069
1,0 days 01:26:28.156000,34.99
1,0 days 01:26:30.506000,34.92
1,0 days 01:26:32.580000,34.934
1,0 days 01:26:32.593000,34.934
1,0 days 01:26:36.693000,34.959
1,0 days 01:26:39.561000,35.097
1,0 days 01:26:42.496000,35.119
1,0 days 01:26:45.251000,35.104
1,0 days 01:26:47.355000,35.062
1,0 days 01:26:53.622000,34.981
1,0 days 01:26:57.632000,34.972
1,0 days 01:26:59.592000,34.966
1,0 days 01:27:04.669000,35.292
1,0 days 01:27:09.952000,35.356
1,0 days 01:27:15.565000,35.482
1,0 days 01:27:22.373000,35.424
1,0 days 01:27:27.136000,35.587
1,0 days 01:27:34.378000,35.67
1,0 days 01:27:37.677000,35.654
1,0 days 01:27:41.599000,35.589
1,0 days 01:27:42.730000,35.559
1,0 days 01:27:45.191000,35.481
1,0 days 01:27:47.610000,35.413
1,0 days 01:27:49.657000,35.399
1,0 days 01:27:53.766000,35.425
1,0 days 01:27:56.526000,35.548
1,0 days 01:27:59.543000,35.534
1,0 days 01:28:02.279000,35.5
1,0 days 01:28:04.354000,35.45
1,0 days 01:28:10.588000,35.422
1,0 days 01:28:14.554000,35.42
1,0 days 01:28:16.506000,35.387
1,0 days 01:28:21.506000,35.651
1,0 days 01:28:26.832000,35.69
1,0 days 01:28:32.400000,35.894
1,0 days 01:28:39.326000,35.867
1,0 days 01:28:44.069000,36.076
1,0 days 01:28:51.326000,36.24
1,0 days 01:28:54.542000,36.233
1,0 days 01:28:58.504000,36.149
1,0 days 01:28:59.619000,36.109
1,0 days 01:29:02.051000,35.992
1,0 days 01:29:04.418000,35.892
1,0 days 01:29:06.441000,35.879
1,0 days 01:29:10.653000,35.98
1,0 days 01:29:13.472000,36.116
1,0 days 01:29:16.434000,36.121
1,0 days 01:29:19.169000,36.047
1,0 days 01:29:21.171000,35.924
1,0 days 01:29:27.531000,36.081
1,0 days 01:29:31.530000,36.073
1,0 days 01:29:33.477000,36.068
1,0 days 01:29:38.591000,36.517
