Driver,Time,GapToLeader
1,0 days 00:56:06.601000,0.241
1,0 days 00:56:09.001000,0.229
1,0 days 00:56:13.165000,0.445
1,0 days 00:56:16.317000,0.716
1,0 days 00:56:19.201000,0.736
1,0 days 00:56:21.920000,0.703
1,0 days 00:56:23.990000,0.651
1,0 days 00:56:30.181000,0.885
1,0 days 00:56:34.148000,0.83
1,0 days 00:56:36.045000,0.76
1,0 days 00:56:40.671000,0.624
1,0 days 00:56:45.650000,0.732
1,0 days 00:56:50.948000,0.8
1,0 days 00:56:57.529000,0.834
1,0 days 00:57:02.083000,0.764
1,0 days 00:57:08.936000,0.813
1,0 days 00:57:12.129000,0.779
1,0 days 00:57:16.079000,0.668
1,0 days 00:57:17.233000,0.628
1,0 days 00:57:19.665000,0.513
1,0 days 00:57:22.059000,0.349
1,0 days 00:57:24.107000,0.294
1,0 days 00:57:28.284000,0.472
1,0 days 00:57:31.011000,0.578
1,0 days 00:57:33.964000,0.568
1,0 days 00:57:36.709000,0.517
1,0 days 00:57:38.720000,0.437
1,0 days 00:57:44.900000,0.682
1,0 days 00:57:48.866000,0.665
1,0 days 00:57:50.805000,0.59
1,0 days 00:57:55.350000,0.436
1,0 days 00:58:00.496000,0.532
1,0 days 00:58:05.770000,0.61
1,0 days 00:58:12.500000,0.625
1,0 days 00:58:16.926000,0.53
1,0 days 00:58:23.805000,0.576
1,0 days 00:58:27.015000,0.528
1,0 days 00:58:30.940000,0.409
1,0 days 00:58:32.081000,0.37
1,0 days 00:58:34.514000,0.248
1,0 days 00:58:36.834000,0.072
1,0 days 00:58:38.813000,0.0
1,0 days 00:59:49.096000,0.0
1,0 days 01:01:03.593000,0.0
1,0 days 01:02:18.127000,0.0
1,0 days 01:03:32.766000,0.0
1,0 days 01:04:47.585000,0.0
1,0 days 01:06:02.478000,0.0
1,0 days 01:07:17.668000,0.0
1,0 days 01:08:32.794000,0.0
1,0 days 01:09:48.273000,0.0
1,0 days 01:10:07.416000,0.0
1,0 days 01:10:07.455000,0.019
1,0 days 01:10:13.991000,0.0
1,0 days 01:11:04.479000,0.0
1,0 days 01:12:21.046000,0.0
1,0 days 01:13:37.029000,0.0
1,0 days 01:13:56.087000,0.0
1,0 days 01:13:56.141000,0.04
1,0 days 01:14:02.626000,0.47
1,0 days 01:14:06.620000,0.357
1,0 days 01:14:08.464000,0.243
