Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2022-11-18 09:45:02,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,
2022-11-18 09:45:14,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,
2022-11-18 09:47:47,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,
2022-11-18 09:49:25,Other,DRS DISABLED IN ZONE 1,,,,,
2022-11-18 09:49:47,Other,DRS ENABLED IN ZONE 1,,,,,
2022-11-18 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2022-11-18 10:28:46,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2022-11-18 10:29:15,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2022-11-18 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2022-11-18 11:00:25,Other,FIRST CAR TO TAKE THE FLAG - CAR 28 (OWA),,,,,
