Driver,Time,GapToLeader
1,0 days 01:03:42.571000,0.0
1,0 days 01:05:13.133000,0.0
1,0 days 01:06:43.108000,0.0
1,0 days 01:08:13.454000,0.0
1,0 days 01:09:43.975000,0.0
1,0 days 01:11:14.522000,0.0
1,0 days 01:12:45.185000,0.0
1,0 days 01:14:15.866000,0.0
1,0 days 01:15:46.459000,0.0
1,0 days 01:17:17.160000,0.0
1,0 days 01:18:47.884000,0.0
1,0 days 01:20:18.851000,0.0
1,0 days 01:21:49.583000,0.0
1,0 days 01:23:20.523000,0.0
1,0 days 01:24:51.537000,0.0
1,0 days 01:26:22.773000,0.0
1,0 days 01:27:54.404000,0.0
1,0 days 01:29:25.965000,0.0
1,0 days 01:30:57.886000,0.0
1,0 days 01:32:31.925000,0.0
1,0 days 01:32:42.297000,0.0
1,0 days 01:33:06.398000,15.451
1,0 days 01:33:10.860000,15.447
1,0 days 01:33:13.690000,15.588
1,0 days 01:33:20.252000,15.353
1,0 days 01:33:22.220000,15.187
1,0 days 01:33:27.372000,15.178
1,0 days 01:33:30.826000,15.194
1,0 days 01:33:39.369000,15.045
1,0 days 01:33:41.226000,14.95
1,0 days 01:33:46.790000,14.922
1,0 days 01:33:49.590000,14.937
1,0 days 01:33:53.152000,15.012
1,0 days 01:33:56.712000,14.814
1,0 days 01:34:00.328000,14.787
1,0 days 01:34:02.609000,14.917
1,0 days 01:34:09.569000,14.489
1,0 days 01:34:12.467000,14.336
1,0 days 01:34:15.954000,14.324
1,0 days 01:34:19.283000,14.023
1,0 days 01:34:23.097000,12.451
1,0 days 01:34:28.260000,0.0
1,0 days 01:35:53.767000,0.0
1,0 days 01:37:24.427000,0.0
1,0 days 01:38:55.448000,0.0
1,0 days 01:40:26.204000,0.0
1,0 days 01:41:57.087000,0.0
1,0 days 01:43:27.711000,0.0
1,0 days 01:44:58.159000,0.0
1,0 days 01:46:28.380000,0.0
1,0 days 01:47:58.317000,0.0
1,0 days 01:49:28.434000,0.0
1,0 days 01:50:58.348000,0.0
1,0 days 01:52:28.187000,0.0
1,0 days 01:53:58.050000,0.0
1,0 days 01:55:28.146000,0.0
1,0 days 01:56:58.040000,0.0
1,0 days 01:58:28.116000,0.0
1,0 days 01:59:58.327000,0.0
1,0 days 02:01:28.354000,0.0
1,0 days 02:02:58.383000,0.0
1,0 days 02:04:28.411000,0.0
1,0 days 02:05:58.299000,0.0
1,0 days 02:07:28.186000,0.0
1,0 days 02:08:58.073000,0.0
1,0 days 02:10:28.011000,0.0
1,0 days 02:11:57.751000,0.0
1,0 days 02:13:27.748000,0.0
1,0 days 02:14:57.709000,0.0
1,0 days 02:16:27.711000,0.0
1,0 days 02:17:57.482000,0.0
1,0 days 02:19:27.137000,0.0
1,0 days 02:20:57.650000,0.0
1,0 days 02:22:27.686000,0.0
1,0 days 02:23:57.094000,0.0
1,0 days 02:25:26.764000,0.0
1,0 days 02:26:56.616000,0.0
1,0 days 02:28:26.535000,0.0
10,0 days 01:02:16.548000,2.913
10,0 days 01:02:19.869000,2.266
10,0 days 01:02:24.820000,3.211
10,0 days 01:02:30.307000,4.19
10,0 days 01:02:35.045000,4.506
10,0 days 01:02:37.951000,4.726
10,0 days 01:02:42.698000,5.324
10,0 days 01:02:47.011000,5.345
10,0 days 01:02:52.058000,5.158
10,0 days 01:02:55.264000,4.953
10,0 days 01:03:05.513000,4.953
10,0 days 01:03:05.630000,6.829
10,0 days 01:03:07.515000,6.921
10,0 days 01:03:13.044000,6.839
