Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-04-28 09:15:11,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,
2023-04-28 09:20:23,Other,DRS ENABLED IN ZONE 2,,,,,
2023-04-28 09:21:47,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-04-28 09:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-28 09:31:51,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14,,,,,
2023-04-28 09:31:54,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-04-28 09:33:24,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 09:33:25,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 09:33:27,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 09:33:27,Other,DRS ENABLED IN ZONE 2,,,,,
2023-04-28 09:33:38,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 1,,,,,4
2023-04-28 09:34:27,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 09:34:28,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 09:34:30,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 09:34:30,Other,DRS ENABLED IN ZONE 2,,,,,
2023-04-28 09:34:41,CarEvent,CAR 20 (MAG) OFF TRACK AND CONTINUED AT TURN 1,,,,,20
2023-04-28 09:35:30,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 09:35:31,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 09:35:38,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 09:35:38,Other,DRS ENABLED IN ZONE 2,,,,,
2023-04-28 09:35:42,CarEvent,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 1,,,,,2
2023-04-28 09:38:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,
2023-04-28 09:38:36,Other,DRS DISABLED IN ZONE 1,,,,,
2023-04-28 09:38:57,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-04-28 09:38:57,Other,DRS ENABLED IN ZONE 1,,,,,
2023-04-28 09:40:31,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-04-28 09:40:40,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,
2023-04-28 09:40:42,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,
2023-04-28 09:40:49,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-04-28 09:40:58,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-04-28 09:43:09,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,
2023-04-28 09:43:10,Other,DRS DISABLED IN ZONE 1,,,,,
2023-04-28 09:43:19,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-04-28 09:43:19,Other,DRS ENABLED IN ZONE 1,,,,,
2023-04-28 09:43:26,CarEvent,CAR 81 (PIA) SPUN AND CONTINUED AT TURN 2,,,,,81
2023-04-28 09:43:40,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 09:43:41,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 09:43:45,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 09:43:45,Other,DRS ENABLED IN ZONE 2,,,,,
2023-04-28 09:43:54,CarEvent,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 1,,,,,10
2023-04-28 09:44:00,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 09:44:01,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 09:44:18,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,
2023-04-28 09:45:02,Flag,RED FLAG,,RED,Track,,
2023-04-28 09:45:02,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,
2023-04-28 09:45:02,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 09:57:05,Other,SESSION WILL RESUME AT 13:58,,,,,
2023-04-28 09:57:12,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-04-28 09:57:14,Drs,DRS ENABLED,ENABLED,,,,
2023-04-28 09:58:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-28 10:09:23,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-04-28 10:09:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,
2023-04-28 10:09:34,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,
2023-04-28 10:09:42,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-04-28 10:09:42,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-04-28 10:09:45,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-04-28 10:10:10,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 7,,,,,16
2023-04-28 10:20:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,
2023-04-28 10:20:40,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,
2023-04-28 10:20:40,Other,DRS DISABLED IN ZONE 1,,,,,
2023-04-28 10:20:40,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-04-28 10:20:40,Other,DRS ENABLED IN ZONE 1,,,,,
2023-04-28 10:20:43,Other,DRS DISABLED IN ZONE 1,,,,,
2023-04-28 10:20:49,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 10:20:50,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 10:20:55,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-04-28 10:20:55,Other,DRS ENABLED IN ZONE 1,,,,,
2023-04-28 10:20:57,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 10:20:57,Other,DRS ENABLED IN ZONE 2,,,,,
2023-04-28 10:21:09,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 2,,,,,16
2023-04-28 10:22:36,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,
2023-04-28 10:22:50,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-04-28 10:22:54,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10,,,,,
2023-04-28 10:25:17,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-04-28 10:30:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-04-28 10:30:21,Other,FIRST CAR TO TAKE THE FLAG - CAR 21 (DEV),,,,,
2023-04-28 10:31:55,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,
2023-04-28 10:32:00,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2023-04-28 10:32:05,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-04-28 10:38:08,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-04-28 10:38:09,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-04-28 10:38:09,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
