Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-04-28 12:56:17,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,
2023-04-28 12:56:21,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,
2023-04-28 12:56:26,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-04-28 12:56:28,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-04-28 12:56:44,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,
2023-04-28 12:56:53,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-04-28 12:57:22,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,
2023-04-28 12:57:26,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,
2023-04-28 12:57:37,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-04-28 12:57:38,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-04-28 13:00:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-28 13:02:37,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 13:02:38,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 13:02:45,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 13:02:45,Other,DRS ENABLED IN ZONE 2,,,,,
2023-04-28 13:03:02,CarEvent,CAR 24 (ZHO) OFF TRACK AND CONTINUED AT TURN 1,,,,,24
2023-04-28 13:04:58,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,
2023-04-28 13:05:03,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,
2023-04-28 13:07:26,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,
2023-04-28 13:07:27,Other,DRS DISABLED IN ZONE 1,,,,,
2023-04-28 13:07:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,
2023-04-28 13:07:46,Flag,RED FLAG,,RED,Track,,
2023-04-28 13:07:47,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-04-28 13:15:55,Other,INCIDENT INVOLVING CAR 1 (VER) NOTED - RELEASED IN AN UNSAFE CONDITION ,,,,,
2023-04-28 13:17:38,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 1 (VER) REVIEWED NO FURTHER INVESTIGATION - RELEASED IN AN UNSAFE CONDITION ,,,,,
2023-04-28 13:20:29,Other,SESSION WILL RESUME AT 17:24,,,,,
2023-04-28 13:20:54,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-04-28 13:20:56,Drs,DRS ENABLED,ENABLED,,,,
2023-04-28 13:24:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-28 13:26:40,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,
2023-04-28 13:26:41,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,
2023-04-28 13:26:41,Other,DRS DISABLED IN ZONE 1,,,,,
2023-04-28 13:26:42,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-04-28 13:26:43,Other,DRS DISABLED IN ZONE 2,,,,,
2023-04-28 13:26:46,Flag,RED FLAG,,RED,Track,,
2023-04-28 13:26:47,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-04-28 13:26:47,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-04-28 13:33:52,Other,SESSION WILL RESUME AT 17:37,,,,,
2023-04-28 13:34:28,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-04-28 13:34:30,Drs,DRS ENABLED,ENABLED,,,,
2023-04-28 13:37:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-28 13:37:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,
2023-04-28 13:37:15,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-04-28 13:44:33,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-04-28 13:44:49,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,
2023-04-28 13:46:05,Other,Q2 WILL START AT 17:52,,,,,
2023-04-28 13:52:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-04-28 14:03:55,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,
2023-04-28 14:03:56,Other,DRS DISABLED IN ZONE 1,,,,,
2023-04-28 14:04:16,Other,DRS ENABLED IN ZONE 1,,,,,
2023-04-28 14:04:16,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-04-28 14:04:55,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 3,,,,,55
2023-04-28 14:06:34,Other,TURN 3 INCIDENT INVOLVING CAR 55 (SAI) NOTED ,,,,,
2023-04-28 14:07:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-04-28 14:07:31,Other,FIRST CAR TO TAKE THE FLAG - CAR 4 (NOR),,,,,
2023-04-28 14:08:55,Other,CAR 77 (BOT) TIME 2:06.656 DELETED - TRACK LIMITS AT TURN 3 LAP 18 18:04:13,,,,,
