Driver,LapNumber,GapTime
VER,0.6666666666666666,0.391
GAS,0.6666666666666666,9.922
PER,0.6666666666666666,1.438
ALO,0.6666666666666666,3.953
LEC,0.6666666666666666,0.0
STR,0.6666666666666666,4.594
SAR,0.6666666666666666,9.281
MAG,0.6666666666666666,8.813
DEV,0.6666666666666666,11.031
TSU,0.6666666666666666,7.156
ALB,0.6666666666666666,8.281
ZHO,0.6666666666666666,10.516
HUL,0.6666666666666666,12.891
OCO,0.6666666666666666,12.453
NOR,0.6666666666666666,5.313
HAM,0.6666666666666666,3.235
SAI,0.6666666666666666,2.641
RUS,0.6666666666666666,6.203
BOT,0.6666666666666666,11.953
PIA,0.6666666666666666,7.641
VER,1.0,0.347
GAS,1.0,9.676
PER,1.0,1.264
ALO,1.0,3.893
LEC,1.0,0.0
STR,1.0,4.459
SAR,1.0,8.871
MAG,1.0,8.606
DEV,1.0,10.948
TSU,1.0,7.061
ALB,1.0,8.076
ZHO,1.0,10.382
HUL,1.0,12.514
OCO,1.0,12.392
NOR,1.0,5.304
HAM,1.0,3.297
SAI,1.0,2.536
RUS,1.0,6.285
BOT,1.0,11.95
PIA,1.0,7.407
VER,1.3333333333333333,0.59
GAS,1.3333333333333333,11.183
PER,1.3333333333333333,1.591
ALO,1.3333333333333333,4.527
LEC,1.3333333333333333,0.0
STR,1.3333333333333333,5.2
SAR,1.3333333333333333,10.719
MAG,1.3333333333333333,10.078
DEV,1.3333333333333333,12.296
TSU,1.3333333333333333,8.275
ALB,1.3333333333333333,9.593
ZHO,1.3333333333333333,11.829
HUL,1.3333333333333333,14.106
OCO,1.3333333333333333,13.612
NOR,1.3333333333333333,6.154
HAM,1.3333333333333333,3.762
SAI,1.3333333333333333,2.944
RUS,1.3333333333333333,6.949
BOT,1.3333333333333333,13.017
PIA,1.3333333333333333,8.915
VER,1.6666666666666665,0.38
GAS,1.6666666666666665,12.156
PER,1.6666666666666665,1.458
ALO,1.6666666666666665,4.516
LEC,1.6666666666666665,0.0
STR,1.6666666666666665,5.4
SAR,1.6666666666666665,11.725
MAG,1.6666666666666665,11.179
DEV,1.6666666666666665,13.678
TSU,1.6666666666666665,8.615
ALB,1.6666666666666665,10.259
ZHO,1.6666666666666665,12.972
HUL,1.6666666666666665,15.403
OCO,1.6666666666666665,14.887
NOR,1.6666666666666665,6.383
HAM,1.6666666666666665,3.662
SAI,1.6666666666666665,2.827
RUS,1.6666666666666665,7.394
BOT,1.6666666666666665,14.408
PIA,1.6666666666666665,9.408
VER,2.0,0.398
GAS,2.0,12.01
PER,2.0,1.325
ALO,2.0,4.301
LEC,2.0,0.0
STR,2.0,5.212
SAR,2.0,11.362
MAG,2.0,11.118
DEV,2.0,13.723
TSU,2.0,8.586
ALB,2.0,10.148
ZHO,2.0,12.87
HUL,2.0,15.085
OCO,2.0,14.759
NOR,2.0,6.3870000000000005
HAM,2.0,3.806
SAI,2.0,2.654
RUS,2.0,7.447
BOT,2.0,14.358
PIA,2.0,9.278
VER,2.3333333333333335,0.532
GAS,2.3333333333333335,12.929
PER,2.3333333333333335,1.225
ALO,2.3333333333333335,4.398
