Driver,LapNumber,LapTime,Compound
VER,2.0,107.707,MEDIUM
VER,3.0,107.677,MEDIUM
VER,4.0,107.108,MEDIUM
VER,5.0,107.476,MEDIUM
VER,6.0,107.202,MEDIUM
VER,7.0,106.995,MEDIUM
VER,8.0,106.801,MEDIUM
VER,9.0,106.944,MEDIUM
VER,10.0,110.778,MEDIUM
VER,14.0,106.936,HARD
VER,15.0,105.687,HARD
VER,16.0,105.497,HARD
VER,17.0,105.498,HARD
VER,18.0,105.425,HARD
VER,19.0,105.66,HARD
VER,20.0,105.446,HARD
VER,21.0,105.793,HARD
VER,22.0,105.67,HARD
VER,23.0,105.902,HARD
VER,24.0,105.738,HARD
VER,25.0,105.657,HARD
VER,26.0,105.855,HARD
VER,27.0,105.625,HARD
VER,28.0,105.694,HARD
VER,29.0,106.365,HARD
VER,30.0,105.575,HARD
VER,31.0,105.348,HARD
VER,32.0,105.354,HARD
VER,33.0,105.343,HARD
VER,34.0,105.218,HARD
VER,35.0,105.121,HARD
VER,36.0,105.05,HARD
VER,37.0,105.319,HARD
VER,38.0,105.474,HARD
VER,39.0,105.15,HARD
VER,40.0,105.418,HARD
VER,41.0,105.123,HARD
VER,42.0,105.15,HARD
VER,43.0,104.843,HARD
VER,44.0,105.275,HARD
VER,45.0,105.14,HARD
VER,46.0,104.686,HARD
VER,47.0,104.734,HARD
VER,48.0,104.566,HARD
VER,49.0,104.474,HARD
VER,50.0,104.554,HARD
VER,51.0,104.232,HARD
GAS,2.0,109.99,MEDIUM
GAS,3.0,109.075,MEDIUM
GAS,4.0,108.873,MEDIUM
GAS,5.0,113.152,MEDIUM
GAS,6.0,124.865,HARD
GAS,7.0,107.722,HARD
GAS,8.0,109.057,HARD
GAS,9.0,107.851,HARD
GAS,10.0,122.028,HARD
GAS,11.0,148.597,HARD
GAS,12.0,136.496,HARD
GAS,13.0,146.528,HARD
GAS,14.0,112.872,HARD
GAS,15.0,108.951,HARD
GAS,16.0,108.072,HARD
GAS,17.0,107.915,HARD
GAS,18.0,107.57,HARD
GAS,19.0,108.031,HARD
GAS,20.0,107.796,HARD
GAS,21.0,107.873,HARD
GAS,22.0,108.054,HARD
GAS,23.0,112.208,HARD
GAS,24.0,124.713,HARD
GAS,25.0,106.561,HARD
GAS,26.0,106.173,HARD
GAS,27.0,106.462,HARD
