Driver,LapNumber,GapTime
LEC,0.6666666666666666,0.0
PER,0.6666666666666666,1.156
VER,0.6666666666666666,4.141
RUS,0.6666666666666666,3.094
SAI,0.6666666666666666,5.047
HAM,0.6666666666666666,5.484
ALB,0.6666666666666666,7.406
ALO,0.6666666666666666,6.563
STR,0.6666666666666666,8.281
NOR,0.6666666666666666,7.906
PIA,0.6666666666666666,8.906
HUL,0.6666666666666666,9.422
MAG,0.6666666666666666,10.094
ZHO,0.6666666666666666,11.516
BOT,0.6666666666666666,10.687
TSU,0.6666666666666666,33.953
GAS,0.6666666666666666,12.25
DEV,0.6666666666666666,12.75
OCO,0.6666666666666666,14.937
LEC,1.0,0.0
PER,1.0,0.971
VER,1.0,3.972
RUS,1.0,3.182
SAI,1.0,4.792
HAM,1.0,5.448
ALB,1.0,7.337
ALO,1.0,6.547
STR,1.0,8.161
NOR,1.0,7.819
PIA,1.0,8.783
HUL,1.0,9.338
MAG,1.0,9.968
ZHO,1.0,11.504
BOT,1.0,10.706
TSU,1.0,91.163
GAS,1.0,12.111
DEV,1.0,12.663
OCO,1.0,14.997
LEC,1.3333333333333333,0.0
PER,1.3333333333333333,1.331
VER,1.3333333333333333,4.509
RUS,1.3333333333333333,3.65
SAI,1.3333333333333333,5.337
HAM,1.3333333333333333,6.119
ALB,1.3333333333333333,8.54
ALO,1.3333333333333333,7.402
STR,1.3333333333333333,9.602
NOR,1.3333333333333333,9.18
PIA,1.3333333333333333,10.055
HUL,1.3333333333333333,10.600999999999999
MAG,1.3333333333333333,11.337
ZHO,1.3333333333333333,12.681000000000001
BOT,1.3333333333333333,11.837
TSU,1.3333333333333333,
GAS,1.3333333333333333,13.555
DEV,1.3333333333333333,14.174
OCO,1.3333333333333333,15.91
LEC,1.6666666666666665,0.0
PER,1.6666666666666665,2.051
VER,1.6666666666666665,6.3870000000000005
RUS,1.6666666666666665,5.191
SAI,1.6666666666666665,7.676
HAM,1.6666666666666665,9.394
ALB,1.6666666666666665,12.026
ALO,1.6666666666666665,10.758
STR,1.6666666666666665,16.069
NOR,1.6666666666666665,14.98
PIA,1.6666666666666665,17.035
HUL,1.6666666666666665,19.472
MAG,1.6666666666666665,20.84
ZHO,1.6666666666666665,23.784
BOT,1.6666666666666665,22.643
TSU,1.6666666666666665,
GAS,1.6666666666666665,24.692
DEV,1.6666666666666665,25.563
OCO,1.6666666666666665,26.979
LEC,2.0,0.0
PER,2.0,1.041
VER,2.0,5.013
RUS,2.0,3.203
SAI,2.0,7.107
HAM,2.0,8.511
ALB,2.0,11.6
ALO,2.0,10.145
STR,2.0,14.316
NOR,2.0,13.08
PIA,2.0,15.381
HUL,2.0,18.105
MAG,2.0,19.756
ZHO,2.0,22.108
BOT,2.0,21.124
TSU,2.0,302.16
GAS,2.0,23.297
DEV,2.0,24.05
OCO,2.0,25.319
LEC,2.3333333333333335,0.0
PER,2.3333333333333335,1.718
VER,2.3333333333333335,4.468
RUS,2.3333333333333335,3.531
SAI,2.3333333333333335,5.406
HAM,2.3333333333333335,6.671
ALB,2.3333333333333335,8.906
ALO,2.3333333333333335,7.484
STR,2.3333333333333335,11.046
NOR,2.3333333333333335,9.859
PIA,2.3333333333333335,12.078
HUL,2.3333333333333335,13.437
MAG,2.3333333333333335,14.515
ZHO,2.3333333333333335,16.812
BOT,2.3333333333333335,15.687
GAS,2.3333333333333335,17.701999999999998
DEV,2.3333333333333335,18.718
OCO,2.3333333333333335,20.359
LEC,2.6666666666666665,0.0
PER,2.6666666666666665,2.109
VER,2.6666666666666665,7.14
RUS,2.6666666666666665,6.25
SAI,2.6666666666666665,9.422
HAM,2.6666666666666665,11.609
ALB,2.6666666666666665,14.109
ALO,2.6666666666666665,12.512
STR,2.6666666666666665,17.64
NOR,2.6666666666666665,15.672
PIA,2.6666666666666665,19.562
HUL,2.6666666666666665,20.734
MAG,2.6666666666666665,22.921
ZHO,2.6666666666666665,25.703
BOT,2.6666666666666665,24.343
GAS,2.6666666666666665,27.109
DEV,2.6666666666666665,28.765
OCO,2.6666666666666665,30.593
LEC,3.0,0.0
PER,3.0,2.638
VER,3.0,5.3
RUS,3.0,3.398
SAI,3.0,6.313
HAM,3.0,8.382
ALB,3.0,10.979
ALO,3.0,9.168
STR,3.0,14.964
NOR,3.0,13.563
PIA,3.0,15.878
HUL,3.0,18.794
MAG,3.0,20.482
ZHO,3.0,23.54
BOT,3.0,22.442
GAS,3.0,25.075
DEV,3.0,26.419
OCO,3.0,30.767
LEC,3.3333333333333335,0.0
PER,3.3333333333333335,1.031
VER,3.3333333333333335,3.0
RUS,3.3333333333333335,2.0
SAI,3.3333333333333335,4.11
HAM,3.3333333333333335,5.188
ALB,3.3333333333333335,8.5
ALO,3.3333333333333335,6.984
STR,3.3333333333333335,12.719
NOR,3.3333333333333335,11.375
PIA,3.3333333333333335,14.797
HUL,3.3333333333333335,15.953
MAG,3.3333333333333335,16.875
ZHO,3.3333333333333335,18.797
BOT,3.3333333333333335,17.813
GAS,3.3333333333333335,19.875
DEV,3.3333333333333335,21.047
OCO,3.3333333333333335,26.39
LEC,3.6666666666666665,0.0
PER,3.6666666666666665,1.3900000000000001
VER,3.6666666666666665,4.375
RUS,3.6666666666666665,2.9210000000000003
SAI,3.6666666666666665,6.421
HAM,3.6666666666666665,8.75
ALB,3.6666666666666665,12.484
ALO,3.6666666666666665,9.999
STR,3.6666666666666665,16.64
NOR,3.6666666666666665,14.468
PIA,3.6666666666666665,18.546
HUL,3.6666666666666665,19.359
MAG,3.6666666666666665,21.921
ZHO,3.6666666666666665,24.906
BOT,3.6666666666666665,23.249
GAS,3.6666666666666665,25.984
DEV,3.6666666666666665,27.281
OCO,3.6666666666666665,28.593
LEC,4.0,0.0
PER,4.0,1.5030000000000001
VER,4.0,5.374
RUS,4.0,3.6870000000000003
SAI,4.0,5.977
HAM,4.0,8.235
ALB,4.0,10.891
ALO,4.0,9.776
STR,4.0,14.41
NOR,4.0,13.276
PIA,4.0,15.9
HUL,4.0,17.583
MAG,4.0,19.095
ZHO,4.0,21.459
BOT,4.0,20.248
GAS,4.0,23.091
DEV,4.0,24.214
OCO,4.0,25.505
LEC,4.333333333333333,0.0
PER,4.333333333333333,1.3439999999999999
VER,4.333333333333333,3.391
RUS,4.333333333333333,2.125
SAI,4.333333333333333,4.453
HAM,4.333333333333333,5.719
ALB,4.333333333333333,7.984
ALO,4.333333333333333,7.0
STR,4.333333333333333,10.109
NOR,4.333333333333333,8.656
PIA,4.333333333333333,12.344
HUL,4.333333333333333,13.391
MAG,4.333333333333333,15.016
ZHO,4.333333333333333,19.578
BOT,4.333333333333333,17.422
GAS,4.333333333333333,21.453
DEV,4.333333333333333,22.953
OCO,4.333333333333333,24.625
LEC,4.666666666666667,0.0
PER,4.666666666666667,0.812
VER,4.666666666666667,3.6710000000000003
RUS,4.666666666666667,2.531
SAI,4.666666666666667,4.843
HAM,4.666666666666667,6.484
ALB,4.666666666666667,9.328
ALO,4.666666666666667,8.5
STR,4.666666666666667,11.046
NOR,4.666666666666667,10.171
PIA,4.666666666666667,12.39
HUL,4.666666666666667,13.249
MAG,4.666666666666667,13.999
ZHO,4.666666666666667,15.796
BOT,4.666666666666667,15.156
GAS,4.666666666666667,16.734
DEV,4.666666666666667,17.718
OCO,4.666666666666667,18.546
LEC,5.0,0.0
PER,5.0,0.346
VER,5.0,0.569
RUS,5.0,0.58
SAI,5.0,1.052
HAM,5.0,1.057
ALB,5.0,1.911
ALO,5.0,1.5110000000000001
STR,5.0,2.134
NOR,5.0,2.004
PIA,5.0,2.321
HUL,5.0,2.851
MAG,5.0,3.288
ZHO,5.0,3.753
BOT,5.0,3.711
GAS,5.0,3.844
DEV,5.0,4.057
OCO,5.0,4.599
LEC,5.333333333333333,0.0
PER,5.333333333333333,0.831
VER,5.333333333333333,1.717
RUS,5.333333333333333,2.348
SAI,5.333333333333333,3.391
HAM,5.333333333333333,4.353
ALB,5.333333333333333,4.975
ALO,5.333333333333333,3.782
STR,5.333333333333333,5.359
NOR,5.333333333333333,5.824
PIA,5.333333333333333,6.199
HUL,5.333333333333333,6.557
MAG,5.333333333333333,6.9399999999999995
ZHO,5.333333333333333,7.688
BOT,5.333333333333333,7.217
GAS,5.333333333333333,8.056
DEV,5.333333333333333,8.348
OCO,5.333333333333333,8.791
LEC,5.666666666666667,0.0
PER,5.666666666666667,0.691
VER,5.666666666666667,1.6560000000000001
RUS,5.666666666666667,2.7279999999999998
SAI,5.666666666666667,4.017
HAM,5.666666666666667,5.364
ALB,5.666666666666667,6.155
ALO,5.666666666666667,4.973
STR,5.666666666666667,6.704
NOR,5.666666666666667,7.359
PIA,5.666666666666667,7.947
HUL,5.666666666666667,8.527
MAG,5.666666666666667,9.087
ZHO,5.666666666666667,10.289
BOT,5.666666666666667,9.678
GAS,5.666666666666667,10.87
DEV,5.666666666666667,11.194
OCO,5.666666666666667,11.711
LEC,6.0,0.0
PER,6.0,0.383
VER,6.0,1.438
RUS,6.0,2.6879999999999997
SAI,6.0,3.959
HAM,6.0,5.048
ALB,6.0,5.944
ALO,6.0,4.687
STR,6.0,6.448
NOR,6.0,7.153
PIA,6.0,7.734
HUL,6.0,8.268
MAG,6.0,8.895
ZHO,6.0,10.115
BOT,6.0,9.621
GAS,6.0,10.604
DEV,6.0,11.034
OCO,6.0,11.431
LEC,6.333333333333333,0.0
PER,6.333333333333333,0.641
VER,6.333333333333333,1.729
RUS,6.333333333333333,2.971
SAI,6.333333333333333,4.337
HAM,6.333333333333333,6.179
ALB,6.333333333333333,6.926
ALO,6.333333333333333,5.197
STR,6.333333333333333,7.489
NOR,6.333333333333333,8.242
PIA,6.333333333333333,8.745
HUL,6.333333333333333,9.387
MAG,6.333333333333333,10.036
ZHO,6.333333333333333,11.523
BOT,6.333333333333333,10.785
GAS,6.333333333333333,12.11
DEV,6.333333333333333,12.56
OCO,6.333333333333333,13.092
LEC,6.666666666666667,0.0
PER,6.666666666666667,0.534
VER,6.666666666666667,1.758
RUS,6.666666666666667,3.011
SAI,6.666666666666667,4.546
HAM,6.666666666666667,6.609
ALB,6.666666666666667,7.573
ALO,6.666666666666667,5.409
STR,6.666666666666667,8.17
NOR,6.666666666666667,9.147
PIA,6.666666666666667,9.906
HUL,6.666666666666667,10.495
MAG,6.666666666666667,11.104
ZHO,6.666666666666667,13.025
BOT,6.666666666666667,12.088
GAS,6.666666666666667,13.564
DEV,6.666666666666667,14.167
OCO,6.666666666666667,14.776
LEC,7.0,0.0
PER,7.0,0.069
VER,7.0,1.564
RUS,7.0,2.951
SAI,7.0,4.289
HAM,7.0,6.401
ALB,7.0,7.16
ALO,7.0,4.97
STR,7.0,7.756
NOR,7.0,8.843
PIA,7.0,9.575
HUL,7.0,10.098
MAG,7.0,10.695
ZHO,7.0,12.644
BOT,7.0,12.118
GAS,7.0,13.027
DEV,7.0,13.942
OCO,7.0,14.273
LEC,7.333333333333333,0.651
PER,7.333333333333333,0.0
VER,7.333333333333333,1.576
RUS,7.333333333333333,2.79
SAI,7.333333333333333,4.076
HAM,7.333333333333333,6.213
ALB,7.333333333333333,7.213
ALO,7.333333333333333,4.812
STR,7.333333333333333,7.716
NOR,7.333333333333333,8.941
PIA,7.333333333333333,9.61
HUL,7.333333333333333,10.454
MAG,7.333333333333333,11.077
ZHO,7.333333333333333,13.347
BOT,7.333333333333333,12.554
GAS,7.333333333333333,14.016
DEV,7.333333333333333,14.553
OCO,7.333333333333333,15.274000000000001
LEC,7.666666666666667,0.852
PER,7.666666666666667,0.0
VER,7.666666666666667,1.8199999999999998
RUS,7.666666666666667,3.175
SAI,7.666666666666667,4.673
HAM,7.666666666666667,6.4719999999999995
ALB,7.666666666666667,7.982
ALO,7.666666666666667,5.289
STR,7.666666666666667,8.579
NOR,7.666666666666667,9.717
PIA,7.666666666666667,10.226
HUL,7.666666666666667,11.534
MAG,7.666666666666667,12.27
ZHO,7.666666666666667,14.677
BOT,7.666666666666667,13.647
GAS,7.666666666666667,15.334
DEV,7.666666666666667,16.124
OCO,7.666666666666667,16.946
LEC,8.0,0.617
PER,8.0,0.0
VER,8.0,1.42
RUS,8.0,3.228
SAI,8.0,4.442
HAM,8.0,6.261
ALB,8.0,7.799
ALO,8.0,4.98
STR,8.0,8.227
NOR,8.0,9.699
PIA,8.0,9.61
HUL,8.0,11.328
MAG,8.0,11.896
ZHO,8.0,14.383
BOT,8.0,13.71
GAS,8.0,14.871
DEV,8.0,15.918
OCO,8.0,16.7
LEC,8.333333333333334,0.697
PER,8.333333333333334,0.0
VER,8.333333333333334,1.427
RUS,8.333333333333334,3.252
SAI,8.333333333333334,4.584
HAM,8.333333333333334,6.406
ALB,8.333333333333334,8.444
ALO,8.333333333333334,5.244
STR,8.333333333333334,8.989
NOR,8.333333333333334,10.943999999999999
PIA,8.333333333333334,9.968
HUL,8.333333333333334,12.074
MAG,8.333333333333334,12.723
ZHO,8.333333333333334,15.219
BOT,8.333333333333334,14.511
GAS,8.333333333333334,15.773
DEV,8.333333333333334,16.511
OCO,8.333333333333334,17.603
LEC,8.666666666666666,1.035
PER,8.666666666666666,0.0
VER,8.666666666666666,2.037
RUS,8.666666666666666,3.7279999999999998
SAI,8.666666666666666,5.436
HAM,8.666666666666666,7.334
ALB,8.666666666666666,9.402
ALO,8.666666666666666,6.229
STR,8.666666666666666,10.007
NOR,8.666666666666666,12.747
PIA,8.666666666666666,10.924
HUL,8.666666666666666,13.91
MAG,8.666666666666666,14.537
ZHO,8.666666666666666,16.754
BOT,8.666666666666666,15.961
GAS,8.666666666666666,17.452
DEV,8.666666666666666,18.358
OCO,8.666666666666666,19.272
LEC,9.0,0.959
PER,9.0,0.0
VER,9.0,1.6720000000000002
RUS,9.0,3.794
SAI,9.0,5.283
HAM,9.0,7.117
ALB,9.0,9.322
ALO,9.0,5.987
STR,9.0,9.637
NOR,9.0,12.916
PIA,9.0,10.708
HUL,9.0,13.758
MAG,9.0,14.152
ZHO,9.0,16.558
BOT,9.0,16.055
GAS,9.0,17.05
DEV,9.0,18.278
OCO,9.0,19.071
LEC,9.333333333333334,0.88
PER,9.333333333333334,0.0
VER,9.333333333333334,1.6720000000000002
RUS,9.333333333333334,4.046
SAI,9.333333333333334,5.505
HAM,9.333333333333334,7.633
ALB,9.333333333333334,9.958
ALO,9.333333333333334,6.335
STR,9.333333333333334,10.496
NOR,9.333333333333334,16.582
PIA,9.333333333333334,11.347
HUL,9.333333333333334,15.047
MAG,9.333333333333334,16.073
ZHO,9.333333333333334,18.063
BOT,9.333333333333334,17.393
GAS,9.333333333333334,18.511
DEV,9.333333333333334,19.129
OCO,9.333333333333334,20.108
LEC,9.666666666666666,1.217
PER,9.666666666666666,0.0
VER,9.666666666666666,2.107
RUS,9.666666666666666,4.478
SAI,9.666666666666666,6.181
HAM,9.666666666666666,8.315
ALB,9.666666666666666,10.668
ALO,9.666666666666666,7.182
STR,9.666666666666666,11.263
NOR,9.666666666666666,20.324
PIA,9.666666666666666,12.238
HUL,9.666666666666666,16.527
MAG,9.666666666666666,17.317
ZHO,9.666666666666666,20.967
BOT,9.666666666666666,20.638
GAS,9.666666666666666,21.408
DEV,9.666666666666666,21.714
OCO,9.666666666666666,22.286
LEC,10.0,1.021
PER,10.0,0.0
VER,10.0,1.626
RUS,10.0,4.434
SAI,10.0,5.967
HAM,10.0,8.016
ALB,10.0,10.468
ALO,10.0,6.886
STR,10.0,10.8
NOR,10.0,27.105
PIA,10.0,11.772
HUL,10.0,16.583
MAG,10.0,17.018
ZHO,10.0,21.216
BOT,10.0,21.457
GAS,10.0,21.33
DEV,10.0,22.485
OCO,10.0,22.547
LEC,10.333333333333334,0.991
PER,10.333333333333334,0.0
VER,10.333333333333334,1.7469999999999999
RUS,10.333333333333334,4.644
SAI,10.333333333333334,6.175
HAM,10.333333333333334,8.429
ALB,10.333333333333334,11.009
ALO,10.333333333333334,7.291
STR,10.333333333333334,11.578
NOR,10.333333333333334,46.052
PIA,10.333333333333334,12.31
HUL,10.333333333333334,18.792
MAG,10.333333333333334,18.234
ZHO,10.333333333333334,22.457
BOT,10.333333333333334,24.031
GAS,10.333333333333334,23.248
DEV,10.333333333333334,25.585
OCO,10.333333333333334,25.348
LEC,10.666666666666666,1.271
PER,10.666666666666666,0.0
VER,10.666666666666666,2.242
RUS,10.666666666666666,5.251
SAI,10.666666666666666,6.92
HAM,10.666666666666666,9.347
ALB,10.666666666666666,11.926
ALO,10.666666666666666,8.112
STR,10.666666666666666,12.512
NOR,10.666666666666666,47.535
PIA,10.666666666666666,13.672
HUL,10.666666666666666,21.137
MAG,10.666666666666666,19.505
ZHO,10.666666666666666,23.765
BOT,10.666666666666666,26.281
GAS,10.666666666666666,24.772
DEV,10.666666666666666,27.914
OCO,10.666666666666666,27.631
LEC,11.0,1.087
PER,11.0,0.0
VER,11.0,1.845
RUS,11.0,5.318
SAI,11.0,6.749
HAM,11.0,9.167
ALB,11.0,11.908
ALO,11.0,7.8629999999999995
STR,11.0,12.14
NOR,11.0,47.799
PIA,11.0,13.565
HUL,11.0,21.286
MAG,11.0,19.572
ZHO,11.0,23.789
BOT,11.0,26.538
GAS,11.0,24.471
DEV,11.0,27.634
OCO,11.0,27.682
LEC,11.333333333333334,0.889
PER,11.333333333333334,0.0
VER,11.333333333333334,1.751
RUS,11.333333333333334,5.476
SAI,11.333333333333334,7.026
HAM,11.333333333333334,9.602
ALB,11.333333333333334,13.838
ALO,11.333333333333334,8.198
STR,11.333333333333334,13.153
NOR,11.333333333333334,48.224
PIA,11.333333333333334,14.35
HUL,11.333333333333334,22.962
MAG,11.333333333333334,20.402
ZHO,11.333333333333334,24.621
BOT,11.333333333333334,27.902
GAS,11.333333333333334,25.358
DEV,11.333333333333334,28.871
OCO,11.333333333333334,30.069
LEC,11.666666666666666,1.002
PER,11.666666666666666,0.0
VER,11.666666666666666,2.068
RUS,11.666666666666666,5.836
SAI,11.666666666666666,7.492
HAM,11.666666666666666,10.177
ALB,11.666666666666666,14.967
