Driver,LapNumber,LapTime,Compound
LEC,2.0,129.968,MEDIUM
LEC,6.0,105.217,MEDIUM
LEC,7.0,104.802,MEDIUM
LEC,8.0,105.358,MEDIUM
LEC,9.0,104.274,MEDIUM
LEC,10.0,103.831,MEDIUM
LEC,11.0,103.682,MEDIUM
LEC,12.0,103.646,MEDIUM
LEC,13.0,104.277,MEDIUM
LEC,14.0,104.684,MEDIUM
LEC,15.0,105.0,MEDIUM
LEC,16.0,105.515,MEDIUM
LEC,17.0,105.759,MEDIUM
PER,2.0,130.038,MEDIUM
PER,6.0,105.254,MEDIUM
PER,7.0,104.488,MEDIUM
PER,8.0,104.672,MEDIUM
PER,9.0,103.932,MEDIUM
PER,10.0,103.769,MEDIUM
PER,11.0,103.616,MEDIUM
PER,12.0,103.939,MEDIUM
PER,13.0,103.763,MEDIUM
PER,14.0,103.845,MEDIUM
PER,15.0,103.844,MEDIUM
PER,16.0,104.003,MEDIUM
PER,17.0,106.075,MEDIUM
VER,2.0,131.009,MEDIUM
VER,6.0,106.086,MEDIUM
VER,7.0,104.928,MEDIUM
VER,8.0,104.597,MEDIUM
VER,9.0,104.184,MEDIUM
VER,10.0,103.723,MEDIUM
VER,11.0,103.835,MEDIUM
VER,12.0,103.952,MEDIUM
VER,13.0,104.421,MEDIUM
VER,14.0,104.49,MEDIUM
VER,15.0,105.086,MEDIUM
VER,16.0,105.224,MEDIUM
VER,17.0,105.5,MEDIUM
RUS,2.0,129.989,MEDIUM
RUS,6.0,107.325,MEDIUM
RUS,7.0,105.065,MEDIUM
RUS,8.0,105.018,MEDIUM
RUS,9.0,104.498,MEDIUM
RUS,10.0,104.409,MEDIUM
RUS,11.0,104.5,MEDIUM
RUS,12.0,104.605,MEDIUM
RUS,13.0,104.752,MEDIUM
RUS,14.0,104.696,MEDIUM
RUS,15.0,104.61,MEDIUM
RUS,16.0,104.882,MEDIUM
RUS,17.0,105.15,MEDIUM
SAI,2.0,132.283,MEDIUM
SAI,6.0,108.124,MEDIUM
SAI,7.0,105.132,MEDIUM
SAI,8.0,104.894,MEDIUM
SAI,9.0,104.773,MEDIUM
SAI,10.0,104.453,MEDIUM
SAI,11.0,104.398,MEDIUM
SAI,12.0,104.55,MEDIUM
SAI,13.0,104.593,MEDIUM
SAI,14.0,105.047,MEDIUM
SAI,15.0,104.635,MEDIUM
SAI,16.0,104.924,MEDIUM
SAI,17.0,105.418,MEDIUM
HAM,2.0,133.031,MEDIUM
HAM,6.0,109.208,MEDIUM
HAM,7.0,106.155,MEDIUM
HAM,8.0,104.601,MEDIUM
HAM,9.0,104.788,MEDIUM
HAM,10.0,104.668,MEDIUM
HAM,11.0,104.767,MEDIUM
HAM,12.0,104.954,MEDIUM
HAM,13.0,105.227,MEDIUM
HAM,14.0,105.007,MEDIUM
HAM,15.0,105.437,MEDIUM
HAM,16.0,106.352,MEDIUM
HAM,17.0,105.854,MEDIUM
ALB,2.0,134.231,MEDIUM
ALB,6.0,109.25,MEDIUM
ALB,7.0,106.018,MEDIUM
ALB,8.0,105.38,MEDIUM
ALB,9.0,105.455,MEDIUM
ALB,10.0,104.915,MEDIUM
ALB,11.0,105.056,MEDIUM
ALB,12.0,106.666,MEDIUM
ALB,13.0,105.81,MEDIUM
ALB,14.0,105.295,MEDIUM
ALB,15.0,105.592,MEDIUM
ALB,16.0,105.849,MEDIUM
ALB,17.0,106.108,MEDIUM
ALO,2.0,133.566,MEDIUM
ALO,3.0,149.897,MEDIUM
ALO,6.0,108.393,MEDIUM
ALO,7.0,105.085,MEDIUM
ALO,8.0,104.751,MEDIUM
ALO,9.0,104.939,MEDIUM
ALO,10.0,104.668,MEDIUM
ALO,11.0,104.593,MEDIUM
ALO,12.0,104.544,MEDIUM
ALO,13.0,104.789,MEDIUM
ALO,14.0,105.02,MEDIUM
ALO,15.0,104.944,MEDIUM
ALO,16.0,104.926,MEDIUM
ALO,17.0,105.007,MEDIUM
STR,2.0,136.123,MEDIUM
STR,6.0,109.531,MEDIUM
STR,7.0,106.11,MEDIUM
STR,8.0,105.212,MEDIUM
STR,9.0,105.342,MEDIUM
STR,10.0,104.932,MEDIUM
STR,11.0,104.956,MEDIUM
STR,12.0,105.803,MEDIUM
STR,13.0,105.165,MEDIUM
STR,14.0,104.855,MEDIUM
STR,15.0,104.888,MEDIUM
STR,16.0,105.316,MEDIUM
STR,17.0,105.692,MEDIUM
NOR,2.0,135.229,SOFT
NOR,6.0,110.366,SOFT
NOR,7.0,106.492,SOFT
NOR,8.0,105.597,SOFT
NOR,9.0,107.149,SOFT
NOR,10.0,117.958,SOFT
NOR,11.0,124.31,MEDIUM
NOR,12.0,105.069,MEDIUM
NOR,13.0,104.718,MEDIUM
NOR,14.0,104.726,MEDIUM
NOR,15.0,104.484,MEDIUM
NOR,16.0,104.905,MEDIUM
NOR,17.0,104.883,MEDIUM
PIA,2.0,136.566,MEDIUM
PIA,6.0,110.63,MEDIUM
PIA,7.0,106.643,MEDIUM
PIA,8.0,104.776,MEDIUM
PIA,9.0,105.03,MEDIUM
PIA,10.0,104.833,MEDIUM
PIA,11.0,105.409,MEDIUM
PIA,12.0,105.876,MEDIUM
PIA,13.0,105.743,MEDIUM
PIA,14.0,105.551,MEDIUM
PIA,15.0,105.926,MEDIUM
PIA,16.0,105.252,MEDIUM
PIA,17.0,106.404,MEDIUM
HUL,2.0,138.735,MEDIUM
HUL,6.0,110.634,MEDIUM
HUL,7.0,106.632,MEDIUM
HUL,8.0,105.971,MEDIUM
HUL,9.0,106.362,MEDIUM
HUL,10.0,106.594,MEDIUM
HUL,11.0,108.319,MEDIUM
HUL,12.0,108.294,MEDIUM
HUL,13.0,110.815,MEDIUM
HUL,14.0,108.562,MEDIUM
HUL,15.0,109.207,MEDIUM
HUL,16.0,108.055,MEDIUM
HUL,17.0,107.851,MEDIUM
MAG,2.0,139.756,MEDIUM
MAG,6.0,110.824,MEDIUM
MAG,7.0,106.602,MEDIUM
MAG,8.0,105.942,MEDIUM
MAG,9.0,106.188,MEDIUM
MAG,10.0,106.635,MEDIUM
MAG,11.0,106.17,MEDIUM
MAG,12.0,105.767,MEDIUM
MAG,13.0,105.401,MEDIUM
MAG,14.0,105.349,MEDIUM
MAG,15.0,105.383,MEDIUM
MAG,16.0,105.542,MEDIUM
MAG,17.0,106.442,MEDIUM
ZHO,2.0,140.572,MEDIUM
ZHO,6.0,111.579,MEDIUM
ZHO,7.0,107.331,MEDIUM
ZHO,8.0,106.48,MEDIUM
ZHO,9.0,106.107,MEDIUM
ZHO,10.0,108.427,MEDIUM
ZHO,11.0,106.189,MEDIUM
ZHO,12.0,105.915,MEDIUM
ZHO,13.0,106.384,MEDIUM
ZHO,14.0,106.142,MEDIUM
ZHO,15.0,105.988,MEDIUM
ZHO,16.0,105.766,MEDIUM
ZHO,17.0,106.049,MEDIUM
BOT,2.0,140.386,SOFT
BOT,6.0,111.127,SOFT
