Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-05-06 16:15:08,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,
2023-05-06 16:22:04,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-05-06 16:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-06 16:52:10,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,
2023-05-06 16:52:11,Other,DRS DISABLED IN ZONE 2,,,,,
2023-05-06 16:52:11,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,
2023-05-06 16:52:11,Other,DRS ENABLED IN ZONE 2,,,,,
2023-05-06 16:52:36,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 17,,,,,23
2023-05-06 16:56:39,CarEvent,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 17,,,,,14
2023-05-06 16:56:48,CarEvent,CAR 27 (HUL) OFF TRACK AND CONTINUED AT TURN 7,,,,,27
2023-05-06 17:12:50,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 4,,,,,4
2023-05-06 17:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-06 17:30:28,Other,FIRST CAR TO TAKE THE FLAG - CAR 21 (DEV),,,,,
2023-05-06 17:32:52,CarEvent,CAR 31 (OCO) MISSED THE APEX OF TURN 15,,,,,31
