Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-05-06 19:45:22,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 30%,,,,,
2023-05-06 19:47:24,Other,DRS DISABLED IN ZONE 3,,,,,
2023-05-06 19:47:27,Other,DRS ENABLED IN ZONE 3,,,,,
2023-05-06 20:00:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-06 20:08:21,Other,TURN 17 INCIDENT INVOLVING CARS 20 (MAG) AND 44 (HAM) NOTED - IMPEDING,,,,,
2023-05-06 20:11:48,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 20 (MAG) AND 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-05-06 20:17:39,Other,TURN 8 INCIDENT INVOLVING CARS 24 (ZHO) AND 55 (SAI) NOTED - IMPEDING,,,,,
2023-05-06 20:18:00,Other,PIT LANE INCIDENT INVOLVING CAR 22 (TSU) NOTED - UNSAFE RELEASE,,,,,
2023-05-06 20:18:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-06 20:18:32,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,
2023-05-06 20:19:51,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 24 (ZHO) AND 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,
2023-05-06 20:19:57,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 22 (TSU) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE,,,,,
2023-05-06 20:21:12,Other,TURN 15 INCIDENT INVOLVING CARS 10 (GAS) AND 20 (MAG) NOTED - IMPEDING,,,,,
2023-05-06 20:22:32,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 10 (GAS) AND 20 (MAG) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,
2023-05-06 20:25:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-06 20:39:37,Other,PIT LANE INCIDENT INVOLVING CAR 27 (HUL) NOTED - UNSAFE RELEASE,,,,,
2023-05-06 20:40:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-06 20:40:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
2023-05-06 20:43:43,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE,,,,,
2023-05-06 20:48:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-06 20:58:02,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,
2023-05-06 20:58:25,Flag,RED FLAG,,RED,Track,,
2023-05-06 20:58:25,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-05-06 20:58:49,Other,Q3 WILL NOT BE RESUMED,,,,,
2023-05-06 21:02:19,Flag,TRACK CLEAR,,CLEAR,Track,,
