Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-05-27 10:25:48,Other,DRS DISABLED IN ZONE 1,,,,,
2023-05-27 10:25:49,Other,DRS ENABLED IN ZONE 1,,,,,
2023-05-27 10:26:22,Other,DRS DISABLED IN ZONE 1,,,,,
2023-05-27 10:26:23,Other,DRS ENABLED IN ZONE 1,,,,,
2023-05-27 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-27 10:37:58,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,
2023-05-27 10:38:06,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,
2023-05-27 10:38:10,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,
2023-05-27 10:38:10,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-05-27 11:18:22,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-05-27 11:18:23,Other,DRS DISABLED IN ZONE 1,,,,,
2023-05-27 11:19:38,Other,DRS ENABLED IN ZONE 1,,,,,
2023-05-27 11:19:38,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-05-27 11:20:36,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-05-27 11:21:12,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-05-27 11:21:30,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,
2023-05-27 11:21:33,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,
2023-05-27 11:23:08,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-05-27 11:23:10,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-05-27 11:23:17,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,
2023-05-27 11:23:30,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-05-27 11:23:34,Drs,DRS ENABLED,ENABLED,,,,
2023-05-27 11:24:21,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,
2023-05-27 11:24:37,Flag,RED FLAG,,RED,Track,,
2023-05-27 11:24:37,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-05-27 11:27:58,Other,SESSION WILL NOT BE RESUMED,,,,,
