Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-05-27 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-27 14:03:32,Other,CAR 55 (SAI) TIME 1:52.924 DELETED - TRACK LIMITS AT TURN 10 LAP 2 16:02:41,,,,,
2023-05-27 14:06:30,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,
2023-05-27 14:06:31,Other,DRS DISABLED IN ZONE 1,,,,,
2023-05-27 14:06:50,Flag,RED FLAG,,RED,Track,,
2023-05-27 14:06:50,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-05-27 14:07:22,Other,CAR 11 (PER) TIME 1:55.938 DELETED - TRACK LIMITS AT TURN 10 LAP 4 16:05:37,,,,,
2023-05-27 14:14:17,Other,Q1 WILL RESUME AT 16:17,,,,,
2023-05-27 14:14:33,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-05-27 14:14:34,Drs,DRS ENABLED,ENABLED,,,,
2023-05-27 14:17:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-27 14:27:00,Other,CAR 63 (RUS) TIME 1:25.302 DELETED - TRACK LIMITS AT TURN 10 LAP 11 16:26:19,,,,,
2023-05-27 14:27:48,Other,CAR 16 (LEC) TIME 1:49.645 DELETED - TRACK LIMITS AT TURN 11 LAP 11 16:26:53,,,,,
2023-05-27 14:28:00,Other,CAR 44 (HAM) TIME 1:30.960 DELETED - TRACK LIMITS AT TURN 10 LAP 12 16:27:12,,,,,
2023-05-27 14:28:12,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-27 14:28:23,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,
2023-05-27 14:28:48,Other,Q2 WILL START AT 16:36,,,,,
2023-05-27 14:31:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,
2023-05-27 14:31:14,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,
2023-05-27 14:31:32,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-05-27 14:32:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,
2023-05-27 14:32:52,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-05-27 14:33:42,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-05-27 14:36:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-27 14:40:49,Other,CAR 22 (TSU) TIME 1:37.202 DELETED - TRACK LIMITS AT TURN 10 LAP 15 16:39:58,,,,,
2023-05-27 14:50:17,Other,PIT LANE INCIDENT INVOLVING CAR 18 (STR) NOTED - FAILING TO STOP FOR WEIGHING PROCEDURE ,,,,,
2023-05-27 14:51:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-27 14:51:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 21 (DEV),,,,,
2023-05-27 14:51:53,Other,Q3 WILL START AT 16:59,,,,,
2023-05-27 14:53:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,
2023-05-27 14:54:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,
2023-05-27 14:54:23,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-05-27 14:54:25,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-05-27 14:59:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-05-27 15:01:19,Other,CAR 10 (GAS) TIME 1:33.208 DELETED - TRACK LIMITS AT TURN 10 LAP 21 17:00:34,,,,,
2023-05-27 15:11:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-27 15:11:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,
2023-05-27 15:14:22,Other,TURN 9 INCIDENT INVOLVING CARS 4 (NOR) AND 16 (LEC) NOTED - IMPEDING,,,,,
2023-05-27 15:17:33,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-27 15:17:38,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-27 15:17:41,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-05-27 15:18:05,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CARS 4 (NOR) AND 16 (LEC) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
