Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,4.609
PER,0.6666666666666666,15.312
ALO,0.6666666666666666,1.015
LEC,0.6666666666666666,3.969
STR,0.6666666666666666,14.577
SAR,0.6666666666666666,12.906
MAG,0.6666666666666666,13.577
DEV,0.6666666666666666,7.984
TSU,0.6666666666666666,6.109
ALB,0.6666666666666666,9.999
ZHO,0.6666666666666666,14.999
HUL,0.6666666666666666,10.374
OCO,0.6666666666666666,1.7650000000000001
NOR,0.6666666666666666,6.624
HAM,0.6666666666666666,3.374
SAI,0.6666666666666666,2.515
RUS,0.6666666666666666,5.374
BOT,0.6666666666666666,12.515
PIA,0.6666666666666666,7.312
VER,1.0,0.0
GAS,1.0,5.463
PER,1.0,16.497
ALO,1.0,1.289
LEC,1.0,4.87
STR,1.0,15.324
SAR,1.0,13.451
MAG,1.0,14.187
DEV,1.0,9.211
TSU,1.0,7.079
ALB,1.0,10.378
ZHO,1.0,15.924
HUL,1.0,10.86
OCO,1.0,2.401
NOR,1.0,7.796
HAM,1.0,4.3469999999999995
SAI,1.0,3.152
RUS,1.0,6.149
BOT,1.0,12.676
PIA,1.0,8.832
VER,1.3333333333333333,0.0
GAS,1.3333333333333333,5.878
PER,1.3333333333333333,35.948
ALO,1.3333333333333333,1.2389999999999999
LEC,1.3333333333333333,5.285
STR,1.3333333333333333,15.512
SAR,1.3333333333333333,13.683
MAG,1.3333333333333333,14.212
DEV,1.3333333333333333,9.916
TSU,1.3333333333333333,7.901
ALB,1.3333333333333333,10.759
ZHO,1.3333333333333333,37.521
HUL,1.3333333333333333,38.19
OCO,1.3333333333333333,2.706
NOR,1.3333333333333333,8.627
HAM,1.3333333333333333,4.624
SAI,1.3333333333333333,3.424
RUS,1.3333333333333333,6.982
BOT,1.3333333333333333,13.128
PIA,1.3333333333333333,9.44
VER,1.6666666666666665,0.0
GAS,1.6666666666666665,6.367
PER,1.6666666666666665,34.919
ALO,1.6666666666666665,1.529
LEC,1.6666666666666665,5.611
STR,1.6666666666666665,15.712
SAR,1.6666666666666665,13.624
MAG,1.6666666666666665,14.419
DEV,1.6666666666666665,10.568999999999999
TSU,1.6666666666666665,8.306
ALB,1.6666666666666665,11.319
ZHO,1.6666666666666665,36.448
HUL,1.6666666666666665,37.378
OCO,1.6666666666666665,3.077
