Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-06-03 10:16:22,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-06-03 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-03 10:32:55,Other,WET TRACK,,,,,
2023-06-03 10:38:32,Flag,RED FLAG,,RED,Track,,
2023-06-03 10:42:40,Other,LOW GRIP CONDITIONS,,,,,
2023-06-03 10:46:02,Other,SESSION WILL RESUME AT 12:47,,,,,
2023-06-03 10:46:10,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-06-03 10:46:11,Drs,DRS DISABLED,DISABLED,,,,
2023-06-03 10:47:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-03 11:21:06,CarEvent,CAR 18 (STR) OFF TRACK AND CONTINUED AT TURN 5,,,,,18
2023-06-03 11:26:12,Drs,DRS ENABLED,ENABLED,,,,
2023-06-03 11:29:30,Other,TURN 12 INCIDENT INVOLVING CARS 21 (DEV) AND 55 (SAI) NOTED - IMPEDING,,,,,
2023-06-03 11:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-06-03 11:30:25,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,
2023-06-03 11:35:12,Other,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 21 (DEV) AND 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,
