Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-06-03 13:46:05,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 30%,,,,,
2023-06-03 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-03 14:01:19,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,
2023-06-03 14:01:21,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-06-03 14:01:44,CarEvent,CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 12,,,,,22
2023-06-03 14:03:13,CarEvent,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 14,,,,,14
2023-06-03 14:03:39,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,
2023-06-03 14:03:48,Flag,RED FLAG,,RED,Track,,
2023-06-03 14:03:48,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-06-03 14:06:52,Other,CAR 27 (HUL) TIME 1:14.006 DELETED - TRACK LIMITS AT TURN 5 LAP 3 16:03:06,,,,,
2023-06-03 14:08:55,Other,Q1 WILL RESUME AT 16:12,,,,,
2023-06-03 14:09:05,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-06-03 14:09:10,Drs,DRS ENABLED,ENABLED,,,,
2023-06-03 14:12:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-03 14:15:28,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,
2023-06-03 14:15:38,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-06-03 14:16:30,Other,TURN 13 INCIDENT INVOLVING CARS 10 (GAS) AND 55 (SAI) NOTED - IMPEDING,,,,,
2023-06-03 14:16:44,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 10 (GAS) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-06-03 14:17:13,CarEvent,CAR 21 (DEV) OFF TRACK AND CONTINUED AT TURN 12,,,,,21
2023-06-03 14:17:19,Other,CAR 16 (LEC) TIME 1:51.165 DELETED - TRACK LIMITS AT TURN 2 LAP 5 16:15:12,,,,,
2023-06-03 14:24:55,Other,TURN 4 INCIDENT INVOLVING CARS 1 (VER) AND 10 (GAS) NOTED - IMPEDING,,,,,
2023-06-03 14:26:13,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-06-03 14:26:25,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,
2023-06-03 14:26:49,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 1 (VER) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-06-03 14:28:03,Other,Q2 WILL START AT 16:34,,,,,
2023-06-03 14:34:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-03 14:47:35,CarEvent,CAR 11 (PER) OFF TRACK AND CONTINUED AT TURN 5,,,,,11
2023-06-03 14:48:46,Other,CAR 11 (PER) TIME 2:08.539 DELETED - TRACK LIMITS AT TURN 5 LAP 16 16:47:22,,,,,
2023-06-03 14:49:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-06-03 14:49:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
2023-06-03 14:49:34,Other,CAR 22 (TSU) TIME 1:13.316 DELETED - TRACK LIMITS AT TURN 5 LAP 19 16:48:51,,,,,
2023-06-03 14:51:42,Other,Q3 WILL START AT 16:57,,,,,
2023-06-03 14:52:27,Other,TURN 1 INCIDENT INVOLVING CARS 63 (RUS) AND 44 (HAM) NOTED - IMPEDING,,,,,
2023-06-03 14:54:27,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 63 (RUS) AND 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-06-03 14:57:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-03 15:09:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-06-03 15:09:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,
