Driver,LapNumber,LapTime,Compound
VER,2.0,80.402,MEDIUM
VER,3.0,80.499,MEDIUM
VER,4.0,80.346,MEDIUM
VER,5.0,80.283,MEDIUM
VER,6.0,80.402,MEDIUM
VER,7.0,80.476,MEDIUM
VER,8.0,79.894,MEDIUM
VER,9.0,80.282,MEDIUM
VER,10.0,80.334,MEDIUM
VER,11.0,80.52,MEDIUM
VER,12.0,80.442,MEDIUM
VER,13.0,80.178,MEDIUM
VER,14.0,80.378,MEDIUM
VER,15.0,80.282,MEDIUM
VER,16.0,80.186,MEDIUM
VER,17.0,80.344,MEDIUM
VER,18.0,80.258,MEDIUM
VER,19.0,80.068,MEDIUM
VER,20.0,79.988,MEDIUM
VER,21.0,80.087,MEDIUM
VER,22.0,79.869,MEDIUM
VER,23.0,80.098,MEDIUM
VER,24.0,79.946,MEDIUM
VER,25.0,79.973,MEDIUM
VER,26.0,83.843,MEDIUM
VER,27.0,98.427,HARD
VER,28.0,78.707,HARD
VER,29.0,78.86,HARD
VER,30.0,78.976,HARD
VER,31.0,79.165,HARD
VER,32.0,78.878,HARD
VER,33.0,79.189,HARD
VER,34.0,78.806,HARD
VER,35.0,78.89,HARD
VER,36.0,78.789,HARD
VER,37.0,79.026,HARD
VER,38.0,79.417,HARD
VER,39.0,79.322,HARD
VER,40.0,79.388,HARD
VER,41.0,79.53,HARD
VER,42.0,79.092,HARD
VER,43.0,78.912,HARD
VER,44.0,78.97,HARD
VER,45.0,79.104,HARD
VER,46.0,78.84,HARD
VER,47.0,79.109,HARD
VER,48.0,78.953,HARD
VER,49.0,79.093,HARD
VER,50.0,79.221,HARD
VER,51.0,78.768,HARD
VER,52.0,82.849,HARD
VER,53.0,97.231,SOFT
VER,54.0,77.473,SOFT
VER,55.0,77.766,SOFT
VER,56.0,77.183,SOFT
VER,57.0,77.306,SOFT
VER,58.0,77.502,SOFT
VER,59.0,77.761,SOFT
VER,60.0,78.205,SOFT
VER,61.0,76.33,SOFT
VER,62.0,78.014,SOFT
VER,63.0,77.697,SOFT
VER,64.0,78.559,SOFT
VER,65.0,77.611,SOFT
VER,66.0,77.708,SOFT
SAI,2.0,80.852,SOFT
SAI,3.0,80.571,SOFT
SAI,4.0,80.815,SOFT
SAI,5.0,80.935,SOFT
SAI,6.0,80.784,SOFT
SAI,7.0,80.644,SOFT
SAI,8.0,80.83,SOFT
SAI,9.0,80.734,SOFT
SAI,10.0,80.933,SOFT
SAI,11.0,80.73,SOFT
SAI,12.0,80.851,SOFT
SAI,13.0,80.715,SOFT
SAI,14.0,81.054,SOFT
SAI,15.0,84.981,SOFT
SAI,16.0,99.079,MEDIUM
SAI,17.0,80.165,MEDIUM
SAI,18.0,79.981,MEDIUM
SAI,19.0,79.832,MEDIUM
SAI,20.0,80.249,MEDIUM
SAI,21.0,80.164,MEDIUM
SAI,22.0,80.272,MEDIUM
SAI,23.0,80.479,MEDIUM
SAI,24.0,80.477,MEDIUM
SAI,25.0,80.693,MEDIUM
SAI,26.0,80.315,MEDIUM
SAI,27.0,80.333,MEDIUM
SAI,28.0,81.45,MEDIUM
SAI,29.0,80.687,MEDIUM
SAI,30.0,80.257,MEDIUM
SAI,31.0,80.257,MEDIUM
SAI,32.0,80.09,MEDIUM
SAI,33.0,80.316,MEDIUM
SAI,34.0,80.343,MEDIUM
SAI,35.0,82.307,MEDIUM
SAI,36.0,80.712,MEDIUM
SAI,37.0,80.133,MEDIUM
SAI,38.0,80.39,MEDIUM
SAI,39.0,80.151,MEDIUM
SAI,40.0,80.053,MEDIUM
SAI,41.0,84.28,MEDIUM
SAI,42.0,99.152,HARD
SAI,43.0,79.331,HARD
SAI,44.0,79.241,HARD
SAI,45.0,79.325,HARD
SAI,46.0,78.698,HARD
SAI,47.0,78.562,HARD
SAI,48.0,78.521,HARD
SAI,49.0,78.635,HARD
SAI,50.0,78.518,HARD
SAI,51.0,78.562,HARD
SAI,52.0,78.595,HARD
SAI,53.0,79.738,HARD
SAI,54.0,78.886,HARD
SAI,55.0,78.513,HARD
SAI,56.0,78.559,HARD
SAI,57.0,78.725,HARD
SAI,58.0,78.623,HARD
SAI,59.0,78.799,HARD
SAI,60.0,78.403,HARD
SAI,61.0,78.714,HARD
SAI,62.0,78.712,HARD
SAI,63.0,78.999,HARD
SAI,64.0,78.687,HARD
SAI,65.0,78.785,HARD
SAI,66.0,78.447,HARD
NOR,2.0,116.0,HARD
NOR,3.0,80.072,HARD
NOR,4.0,80.051,HARD
NOR,5.0,80.241,HARD
NOR,6.0,81.022,HARD
NOR,7.0,80.818,HARD
NOR,8.0,80.807,HARD
NOR,9.0,81.17,HARD
NOR,10.0,82.136,HARD
NOR,11.0,81.956,HARD
NOR,12.0,81.641,HARD
NOR,13.0,81.744,HARD
NOR,14.0,81.093,HARD
NOR,15.0,81.359,HARD
NOR,16.0,81.782,HARD
NOR,17.0,82.536,HARD
NOR,18.0,81.694,HARD
NOR,19.0,81.746,HARD
NOR,20.0,81.428,HARD
NOR,21.0,81.589,HARD
NOR,22.0,85.334,HARD
NOR,23.0,100.436,MEDIUM
NOR,24.0,79.705,MEDIUM
NOR,25.0,80.056,MEDIUM
NOR,26.0,79.975,MEDIUM
NOR,27.0,79.88,MEDIUM
NOR,28.0,80.091,MEDIUM
NOR,29.0,80.076,MEDIUM
NOR,30.0,80.125,MEDIUM
NOR,31.0,80.117,MEDIUM
NOR,32.0,79.942,MEDIUM
NOR,33.0,79.803,MEDIUM
NOR,34.0,80.248,MEDIUM
NOR,35.0,80.288,MEDIUM
NOR,36.0,80.499,MEDIUM
NOR,37.0,80.461,MEDIUM
NOR,38.0,82.135,MEDIUM
NOR,39.0,80.469,MEDIUM
NOR,40.0,79.881,MEDIUM
NOR,41.0,80.992,MEDIUM
NOR,42.0,80.707,MEDIUM
NOR,43.0,79.576,MEDIUM
NOR,44.0,79.865,MEDIUM
NOR,45.0,79.925,MEDIUM
NOR,46.0,79.896,MEDIUM
NOR,47.0,80.146,MEDIUM
NOR,48.0,79.863,MEDIUM
NOR,49.0,79.826,MEDIUM
NOR,50.0,83.934,MEDIUM
NOR,51.0,98.017,SOFT
NOR,52.0,78.809,SOFT
NOR,53.0,77.287,SOFT
NOR,54.0,78.746,SOFT
NOR,55.0,77.182,SOFT
NOR,56.0,77.939,SOFT
NOR,57.0,78.16,SOFT
NOR,58.0,78.412,SOFT
NOR,59.0,80.534,SOFT
NOR,60.0,80.532,SOFT
NOR,61.0,79.503,SOFT
NOR,62.0,79.43,SOFT
NOR,63.0,79.36,SOFT
NOR,64.0,79.022,SOFT
NOR,65.0,78.833,SOFT
HAM,2.0,81.678,SOFT
HAM,3.0,80.839,SOFT
HAM,4.0,80.962,SOFT
HAM,5.0,80.755,SOFT
HAM,6.0,80.705,SOFT
HAM,7.0,80.488,SOFT
HAM,8.0,80.478,SOFT
HAM,9.0,80.812,SOFT
HAM,10.0,80.71,SOFT
HAM,11.0,80.646,SOFT
HAM,12.0,80.504,SOFT
HAM,13.0,80.552,SOFT
HAM,14.0,80.785,SOFT
HAM,15.0,80.865,SOFT
HAM,16.0,79.733,SOFT
HAM,17.0,80.253,SOFT
HAM,18.0,80.172,SOFT
HAM,19.0,80.324,SOFT
HAM,20.0,80.527,SOFT
HAM,21.0,80.681,SOFT
HAM,22.0,80.562,SOFT
HAM,23.0,80.786,SOFT
HAM,24.0,84.672,SOFT
HAM,25.0,99.313,MEDIUM
HAM,26.0,79.629,MEDIUM
HAM,27.0,79.186,MEDIUM
HAM,28.0,79.161,MEDIUM
HAM,29.0,79.8,MEDIUM
HAM,30.0,79.292,MEDIUM
HAM,31.0,79.483,MEDIUM
HAM,32.0,79.215,MEDIUM
HAM,33.0,79.199,MEDIUM
HAM,34.0,79.028,MEDIUM
HAM,35.0,78.927,MEDIUM
HAM,36.0,79.127,MEDIUM
HAM,37.0,79.835,MEDIUM
HAM,38.0,79.732,MEDIUM
HAM,39.0,79.594,MEDIUM
HAM,40.0,79.468,MEDIUM
HAM,41.0,79.523,MEDIUM
HAM,42.0,79.187,MEDIUM
HAM,43.0,79.078,MEDIUM
HAM,44.0,79.121,MEDIUM
HAM,45.0,79.201,MEDIUM
HAM,46.0,78.965,MEDIUM
HAM,47.0,78.933,MEDIUM
HAM,48.0,79.183,MEDIUM
HAM,49.0,78.968,MEDIUM
HAM,50.0,82.701,MEDIUM
HAM,51.0,98.688,SOFT
HAM,52.0,78.621,SOFT
HAM,53.0,78.564,SOFT
HAM,54.0,77.529,SOFT
HAM,55.0,77.575,SOFT
HAM,56.0,77.874,SOFT
HAM,57.0,77.725,SOFT
HAM,58.0,77.848,SOFT
HAM,59.0,78.138,SOFT
HAM,60.0,78.475,SOFT
HAM,61.0,77.627,SOFT
HAM,62.0,76.676,SOFT
HAM,63.0,78.967,SOFT
HAM,64.0,78.579,SOFT
HAM,65.0,80.31,SOFT
HAM,66.0,79.12,SOFT
STR,2.0,80.967,SOFT
STR,3.0,80.868,SOFT
STR,4.0,80.996,SOFT
STR,5.0,80.854,SOFT
STR,6.0,81.033,SOFT
STR,7.0,80.883,SOFT
STR,8.0,82.382,SOFT
STR,9.0,81.36,SOFT
STR,10.0,81.263,SOFT
STR,11.0,81.371,SOFT
STR,12.0,81.31,SOFT
STR,13.0,81.364,SOFT
STR,14.0,85.694,SOFT
STR,15.0,99.74,SOFT
STR,16.0,80.907,SOFT
STR,17.0,80.283,SOFT
STR,18.0,80.392,SOFT
STR,19.0,80.33,SOFT
STR,20.0,80.496,SOFT
STR,21.0,80.457,SOFT
STR,22.0,80.506,SOFT
STR,23.0,80.397,SOFT
STR,24.0,80.44,SOFT
STR,25.0,80.731,SOFT
STR,26.0,80.533,SOFT
STR,27.0,80.455,SOFT
STR,28.0,81.2,SOFT
STR,29.0,80.575,SOFT
STR,30.0,80.742,SOFT
STR,31.0,80.558,SOFT
STR,32.0,80.514,SOFT
STR,33.0,80.857,SOFT
STR,34.0,85.2,SOFT
STR,35.0,100.11,HARD
STR,36.0,79.746,HARD
STR,37.0,79.948,HARD
STR,38.0,80.024,HARD
STR,39.0,79.067,HARD
STR,40.0,79.53,HARD
STR,41.0,79.819,HARD
STR,42.0,79.542,HARD
STR,43.0,79.508,HARD
STR,44.0,80.121,HARD
STR,45.0,79.671,HARD
STR,46.0,79.593,HARD
STR,47.0,79.477,HARD
STR,48.0,79.129,HARD
STR,49.0,79.413,HARD
STR,50.0,79.283,HARD
STR,51.0,79.164,HARD
STR,52.0,79.018,HARD
STR,53.0,78.998,HARD
STR,54.0,79.068,HARD
STR,55.0,78.933,HARD
