Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-06-17 16:15:18,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 100 %,,,,,
2023-06-17 16:17:41,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-06-17 16:17:49,Other,WET TRACK,,,,,
2023-06-17 16:17:52,Other,LOW GRIP CONDITIONS,,,,,
2023-06-17 16:17:54,Drs,DRS DISABLED,DISABLED,,,,
2023-06-17 16:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-17 16:37:05,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 13,,,,,23
2023-06-17 16:37:35,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,
2023-06-17 16:37:43,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,
2023-06-17 16:37:44,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-06-17 16:37:48,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,
2023-06-17 16:38:18,CarEvent,CAR 22 (TSU) SPUN AND CONTINUED AT TURN 3,,,,,22
2023-06-17 16:41:53,CarEvent,CAR 18 (STR) OFF TRACK AND CONTINUED AT TURN 13,,,,,18
2023-06-17 16:42:30,CarEvent,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 13,,,,,14
2023-06-17 16:44:52,CarEvent,CAR 18 (STR) OFF TRACK AND CONTINUED AT TURN 13,,,,,18
2023-06-17 16:46:11,CarEvent,CAR 22 (TSU) SPUN AND CONTINUED AT TURN 2,,,,,22
2023-06-17 16:48:31,CarEvent,CAR 27 (HUL) OFF TRACK AND CONTINUED AT TURN 9,,,,,27
2023-06-17 16:49:19,CarEvent,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 10,,,,,10
2023-06-17 16:54:11,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 13,,,,,23
2023-06-17 16:55:06,CarEvent,CAR 11 (PER) OFF TRACK AND CONTINUED AT TURN 1,,,,,11
2023-06-17 16:55:47,Other,TURN 13 INCIDENT INVOLVING CAR 55 (SAI) NOTED - IMPEDING,,,,,
2023-06-17 16:56:17,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-06-17 16:57:46,CarEvent,CAR 31 (OCO) OFF TRACK AND CONTINUED AT TURN 3,,,,,31
2023-06-17 16:58:47,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,
2023-06-17 16:59:10,Flag,RED FLAG,,RED,Track,,
2023-06-17 16:59:10,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,
2023-06-17 17:05:44,Other,SESSION WILL RESUME AT 13:07,,,,,
2023-06-17 17:05:52,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-06-17 17:07:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-17 17:10:01,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 1,,,,,44
2023-06-17 17:13:11,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 2,,,,,23
2023-06-17 17:17:10,CarEvent,CAR 24 (ZHO) OFF TRACK AND CONTINUED AT TURN 3,,,,,24
2023-06-17 17:17:21,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 9,,,,,63
2023-06-17 17:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
