Driver,LapNumber,LapTime,Compound
VER,3.0,84.106,INTERMEDIATE
VER,4.0,82.843,INTERMEDIATE
VER,5.0,91.169,INTERMEDIATE
VER,6.0,81.988,INTERMEDIATE
VER,7.0,99.659,INTERMEDIATE
VER,8.0,86.169,INTERMEDIATE
VER,9.0,81.739,INTERMEDIATE
VER,10.0,117.181,INTERMEDIATE
VER,11.0,80.851,INTERMEDIATE
VER,14.0,80.135,INTERMEDIATE
VER,15.0,104.642,INTERMEDIATE
VER,16.0,90.898,SOFT
VER,17.0,80.377,SOFT
VER,18.0,79.092,SOFT
VER,19.0,86.384,SOFT
VER,20.0,85.849,SOFT
VER,23.0,87.059,INTERMEDIATE
VER,24.0,85.858,INTERMEDIATE
VER,25.0,85.858,INTERMEDIATE
HUL,1.0,99.302,INTERMEDIATE
HUL,3.0,105.122,INTERMEDIATE
HUL,4.0,85.749,INTERMEDIATE
HUL,5.0,86.96,INTERMEDIATE
HUL,6.0,83.425,INTERMEDIATE
HUL,7.0,99.76,INTERMEDIATE
HUL,8.0,104.667,INTERMEDIATE
HUL,9.0,105.634,INTERMEDIATE
HUL,10.0,82.73,INTERMEDIATE
HUL,11.0,82.805,INTERMEDIATE
HUL,12.0,84.306,INTERMEDIATE
HUL,14.0,97.355,INTERMEDIATE
HUL,15.0,83.633,INTERMEDIATE
HUL,16.0,100.237,INTERMEDIATE
HUL,17.0,92.717,SOFT
HUL,18.0,81.203,SOFT
HUL,19.0,80.305,SOFT
HUL,22.0,88.297,INTERMEDIATE
HUL,23.0,87.102,INTERMEDIATE
ALO,1.0,103.274,INTERMEDIATE
ALO,3.0,102.401,INTERMEDIATE
ALO,4.0,83.581,INTERMEDIATE
ALO,5.0,82.655,INTERMEDIATE
ALO,6.0,102.559,INTERMEDIATE
ALO,7.0,82.051,INTERMEDIATE
ALO,8.0,98.527,INTERMEDIATE
ALO,9.0,104.203,INTERMEDIATE
ALO,10.0,81.583,INTERMEDIATE
ALO,11.0,81.481,INTERMEDIATE
ALO,13.0,99.805,INTERMEDIATE
ALO,14.0,80.523,INTERMEDIATE
ALO,15.0,102.929,INTERMEDIATE
ALO,16.0,79.776,INTERMEDIATE
ALO,17.0,111.932,INTERMEDIATE
ALO,18.0,96.132,SOFT
ALO,19.0,81.365,SOFT
ALO,21.0,106.686,INTERMEDIATE
ALO,22.0,87.286,INTERMEDIATE
ALO,24.0,122.811,INTERMEDIATE
HAM,1.0,104.749,INTERMEDIATE
HAM,3.0,101.388,INTERMEDIATE
HAM,4.0,83.768,INTERMEDIATE
HAM,5.0,87.179,INTERMEDIATE
HAM,6.0,83.188,INTERMEDIATE
HAM,7.0,96.903,INTERMEDIATE
HAM,8.0,82.172,INTERMEDIATE
HAM,9.0,103.85,INTERMEDIATE
HAM,10.0,97.424,INTERMEDIATE
HAM,11.0,81.554,INTERMEDIATE
HAM,13.0,99.169,INTERMEDIATE
HAM,14.0,83.102,INTERMEDIATE
HAM,15.0,99.611,INTERMEDIATE
HAM,16.0,80.426,INTERMEDIATE
HAM,17.0,128.253,INTERMEDIATE
HAM,18.0,95.15,SOFT
HAM,19.0,119.082,SOFT
HAM,20.0,97.007,INTERMEDIATE
HAM,22.0,107.445,INTERMEDIATE
HAM,23.0,87.627,INTERMEDIATE
HAM,25.0,108.421,INTERMEDIATE
RUS,1.0,104.672,INTERMEDIATE
RUS,3.0,109.459,INTERMEDIATE
RUS,4.0,84.832,INTERMEDIATE
RUS,5.0,84.287,INTERMEDIATE
RUS,6.0,94.648,INTERMEDIATE
RUS,7.0,82.764,INTERMEDIATE
RUS,8.0,102.764,INTERMEDIATE
RUS,9.0,87.372,INTERMEDIATE
RUS,10.0,97.657,INTERMEDIATE
RUS,11.0,81.798,INTERMEDIATE
RUS,13.0,100.709,INTERMEDIATE
RUS,14.0,80.098,INTERMEDIATE
RUS,15.0,101.055,INTERMEDIATE
RUS,17.0,94.376,SOFT
RUS,18.0,130.693,SOFT
RUS,19.0,90.227,INTERMEDIATE
RUS,21.0,111.55,INTERMEDIATE
RUS,22.0,87.893,INTERMEDIATE
RUS,24.0,119.351,INTERMEDIATE
OCO,1.0,104.989,INTERMEDIATE
OCO,3.0,101.727,INTERMEDIATE
OCO,4.0,84.457,INTERMEDIATE
OCO,5.0,83.817,INTERMEDIATE
OCO,6.0,98.998,INTERMEDIATE
OCO,7.0,83.06,INTERMEDIATE
OCO,8.0,98.817,INTERMEDIATE
OCO,9.0,82.928,INTERMEDIATE
OCO,10.0,106.924,INTERMEDIATE
OCO,11.0,82.114,INTERMEDIATE
OCO,13.0,104.504,INTERMEDIATE
OCO,14.0,80.849,INTERMEDIATE
OCO,15.0,118.204,INTERMEDIATE
OCO,16.0,98.178,SOFT
OCO,17.0,82.734,SOFT
OCO,18.0,80.406,SOFT
OCO,19.0,83.237,SOFT
OCO,22.0,88.189,INTERMEDIATE
OCO,23.0,87.945,INTERMEDIATE
NOR,1.0,104.346,INTERMEDIATE
NOR,3.0,104.74,INTERMEDIATE
NOR,4.0,84.804,INTERMEDIATE
NOR,5.0,87.674,INTERMEDIATE
NOR,6.0,83.126,INTERMEDIATE
NOR,7.0,99.041,INTERMEDIATE
NOR,8.0,82.482,INTERMEDIATE
NOR,9.0,101.053,INTERMEDIATE
NOR,10.0,81.998,INTERMEDIATE
NOR,11.0,100.926,INTERMEDIATE
NOR,14.0,105.808,INTERMEDIATE
NOR,15.0,103.354,SOFT
NOR,16.0,82.546,SOFT
NOR,17.0,79.888,SOFT
NOR,18.0,79.347,SOFT
NOR,19.0,85.873,SOFT
NOR,20.0,85.858,SOFT
NOR,22.0,101.369,INTERMEDIATE
NOR,23.0,88.046,INTERMEDIATE
NOR,24.0,88.046,INTERMEDIATE
SAI,2.0,107.728,INTERMEDIATE
SAI,3.0,94.916,INTERMEDIATE
SAI,4.0,84.219,INTERMEDIATE
SAI,5.0,103.193,INTERMEDIATE
SAI,6.0,83.016,INTERMEDIATE
SAI,7.0,92.735,INTERMEDIATE
SAI,8.0,82.633,INTERMEDIATE
SAI,9.0,107.081,INTERMEDIATE
SAI,10.0,95.091,INTERMEDIATE
SAI,11.0,82.248,INTERMEDIATE
SAI,13.0,107.234,INTERMEDIATE
SAI,14.0,80.777,INTERMEDIATE
SAI,15.0,107.113,INTERMEDIATE
SAI,16.0,100.304,SOFT
SAI,17.0,80.398,SOFT
SAI,18.0,79.856,SOFT
SAI,19.0,92.885,SOFT
SAI,21.0,108.639,INTERMEDIATE
SAI,22.0,89.294,INTERMEDIATE
SAI,23.0,89.294,INTERMEDIATE
SAI,25.0,97.132,INTERMEDIATE
PIA,1.0,107.089,INTERMEDIATE
PIA,3.0,111.769,INTERMEDIATE
PIA,4.0,85.869,INTERMEDIATE
PIA,5.0,84.274,INTERMEDIATE
PIA,6.0,84.14,INTERMEDIATE
PIA,7.0,117.275,INTERMEDIATE
PIA,8.0,83.45,INTERMEDIATE
PIA,9.0,82.795,INTERMEDIATE
PIA,10.0,113.608,INTERMEDIATE
PIA,11.0,82.19,INTERMEDIATE
PIA,13.0,100.309,INTERMEDIATE
PIA,14.0,80.447,INTERMEDIATE
PIA,15.0,133.998,INTERMEDIATE
PIA,16.0,95.062,SOFT
PIA,17.0,80.554,SOFT
PIA,18.0,79.659,SOFT
PIA,19.0,80.782,SOFT
PIA,20.0,88.508,SOFT
PIA,22.0,104.202,INTERMEDIATE
PIA,23.0,91.349,INTERMEDIATE
ALB,2.0,87.739,INTERMEDIATE
ALB,4.0,100.096,INTERMEDIATE
ALB,5.0,84.788,INTERMEDIATE
ALB,6.0,84.362,INTERMEDIATE
ALB,7.0,95.729,INTERMEDIATE
ALB,8.0,83.196,INTERMEDIATE
ALB,9.0,115.365,INTERMEDIATE
ALB,10.0,96.814,INTERMEDIATE
ALB,11.0,82.133,INTERMEDIATE
ALB,12.0,104.369,INTERMEDIATE
ALB,13.0,81.938,INTERMEDIATE
ALB,15.0,106.176,SOFT
ALB,16.0,83.561,SOFT
ALB,17.0,79.471,SOFT
ALB,18.0,78.725,SOFT
ALB,20.0,107.696,INTERMEDIATE
ALB,21.0,90.284,INTERMEDIATE
ALB,23.0,105.574,INTERMEDIATE
LEC,2.0,102.782,INTERMEDIATE
LEC,3.0,91.585,INTERMEDIATE
LEC,4.0,83.396,INTERMEDIATE
LEC,5.0,105.908,INTERMEDIATE
LEC,6.0,82.253,INTERMEDIATE
LEC,7.0,93.602,INTERMEDIATE
LEC,8.0,82.107,INTERMEDIATE
LEC,9.0,108.295,INTERMEDIATE
LEC,10.0,87.952,INTERMEDIATE
LEC,11.0,81.843,INTERMEDIATE
LEC,13.0,105.252,INTERMEDIATE
LEC,14.0,80.615,INTERMEDIATE
LEC,15.0,105.731,INTERMEDIATE
LEC,16.0,97.744,SOFT
LEC,17.0,81.895,SOFT
LEC,18.0,81.44,SOFT
LEC,19.0,80.824,SOFT
LEC,20.0,102.754,SOFT
LEC,21.0,105.857,INTERMEDIATE
PER,1.0,98.873,INTERMEDIATE
PER,2.0,98.873,INTERMEDIATE
PER,4.0,86.808,INTERMEDIATE
PER,5.0,84.321,INTERMEDIATE
PER,6.0,86.709,INTERMEDIATE
PER,7.0,83.58,INTERMEDIATE
PER,8.0,102.223,INTERMEDIATE
PER,9.0,82.719,INTERMEDIATE
PER,10.0,96.905,INTERMEDIATE
PER,11.0,101.115,INTERMEDIATE
PER,12.0,82.151,INTERMEDIATE
PER,14.0,100.794,INTERMEDIATE
PER,15.0,80.959,INTERMEDIATE
PER,16.0,113.969,INTERMEDIATE
PER,17.0,96.962,SOFT
PER,18.0,83.391,SOFT
PER,19.0,99.413,SOFT
PER,20.0,96.086,INTERMEDIATE
PER,21.0,84.807,INTERMEDIATE
PER,22.0,87.855,INTERMEDIATE
STR,1.0,100.202,INTERMEDIATE
STR,3.0,105.739,INTERMEDIATE
STR,4.0,86.147,INTERMEDIATE
STR,5.0,84.114,INTERMEDIATE
STR,6.0,91.771,INTERMEDIATE
STR,7.0,83.744,INTERMEDIATE
STR,8.0,110.603,INTERMEDIATE
STR,9.0,89.326,INTERMEDIATE
STR,10.0,82.697,INTERMEDIATE
STR,11.0,82.677,INTERMEDIATE
STR,13.0,97.214,INTERMEDIATE
STR,15.0,91.834,INTERMEDIATE
STR,16.0,81.484,INTERMEDIATE
STR,17.0,100.229,INTERMEDIATE
STR,18.0,99.727,SOFT
STR,19.0,92.17,SOFT
MAG,1.0,99.674,INTERMEDIATE
MAG,3.0,106.171,INTERMEDIATE
MAG,4.0,84.528,INTERMEDIATE
MAG,5.0,87.988,INTERMEDIATE
MAG,6.0,83.437,INTERMEDIATE
MAG,7.0,102.135,INTERMEDIATE
MAG,8.0,105.669,INTERMEDIATE
MAG,9.0,104.776,INTERMEDIATE
MAG,10.0,82.764,INTERMEDIATE
MAG,11.0,82.351,INTERMEDIATE
MAG,13.0,102.03,INTERMEDIATE
MAG,14.0,81.678,INTERMEDIATE
MAG,15.0,100.393,INTERMEDIATE
MAG,16.0,110.733,INTERMEDIATE
MAG,17.0,92.951,SOFT
MAG,18.0,84.155,SOFT
MAG,19.0,125.175,SOFT
