Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-06-17 19:45:14,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 90%,,,,,
2023-06-17 19:55:14,Other,WET TRACK,,,,,
2023-06-17 19:55:17,Other,LOW GRIP CONDITIONS,,,,,
2023-06-17 19:55:20,Drs,DRS DISABLED,DISABLED,,,,
2023-06-17 20:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-17 20:02:27,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2023-06-17 20:02:28,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-06-17 20:02:30,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2023-06-17 20:02:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,
2023-06-17 20:03:03,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,
2023-06-17 20:03:10,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-06-17 20:03:11,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2023-06-17 20:03:17,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-06-17 20:03:18,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2023-06-17 20:03:27,Flag,RED FLAG,,RED,Track,,
2023-06-17 20:03:27,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-06-17 20:03:27,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-06-17 20:05:29,Other,INCIDENT INVOLVING CAR 24 (ZHO) NOTED,,,,,
2023-06-17 20:06:54,Other,Q1 WILL RESUME AT 16:10,,,,,
2023-06-17 20:07:05,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-06-17 20:10:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-17 20:13:31,Other,CAR 21 (DEV) TIME 1:49.565 DELETED - TRACK LIMITS AT TURN 9 LAP 4 16:12:23,,,,,
2023-06-17 20:13:53,Other,CAR 16 (LEC) TIME 1:31.585 DELETED - TRACK LIMITS AT TURN 9 LAP 4 16:12:49,,,,,
2023-06-17 20:16:30,Other,CAR 44 (HAM) TIME 1:27.179 DELETED - TRACK LIMITS AT TURN 4 LAP 6 16:15:05,,,,,
2023-06-17 20:17:05,Other,CAR 11 (PER) TIME 1:26.808 DELETED - TRACK LIMITS AT TURN 9 LAP 5 16:12:27,,,,,
2023-06-17 20:18:55,Other,TURN 13 INCIDENT INVOLVING CARS 22 (TSU) AND 16 (LEC) NOTED - IMPEDING,,,,,
2023-06-17 20:19:10,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 24 (ZHO) REVIEWED NO FURTHER INVESTIGATION,,,,,
2023-06-17 20:20:19,Other,CAR 55 (SAI) TIME 1:32.735 DELETED - TRACK LIMITS AT TURN 9 LAP 8 16:19:03,,,,,
2023-06-17 20:21:31,Other,CAR 20 (MAG) TIME 1:42.135 DELETED - TRACK LIMITS AT TURN 9 LAP 8 16:17:21,,,,,
2023-06-17 20:23:18,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 22 (TSU) AND 16 (LEC) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-06-17 20:24:33,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-06-17 20:24:54,Other,CAR 10 (GAS) TIME 1:24.344 DELETED - TRACK LIMITS AT TURN 14 LAP 10 16:24:24,,,,,
2023-06-17 20:25:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 20 (MAG),,,,,
2023-06-17 20:26:10,Other,TURN 10 INCIDENT INVOLVING CARS 22 (TSU) AND 27 (HUL) NOTED - IMPEDING,,,,,
2023-06-17 20:26:29,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 7,,,,,
2023-06-17 20:27:20,Other,TURN 13 INCIDENT INVOLVING CARS 10 (GAS) AND 55 (SAI) NOTED - IMPEDING,,,,,
