Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-06-30 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-30 11:38:29,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 1,,,,,55
2023-06-30 11:38:36,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 1,,,,,77
2023-06-30 11:38:52,CarEvent,CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 3,,,,,22
2023-06-30 12:10:22,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 3,,,,,16
2023-06-30 12:24:50,CarEvent,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 3,,,,,2
2023-06-30 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-06-30 12:30:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,
2023-06-30 12:31:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,
2023-06-30 12:31:14,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,
2023-06-30 12:31:26,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-06-30 12:35:12,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,
2023-06-30 12:35:14,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-06-30 12:35:16,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,
2023-06-30 12:35:28,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-06-30 12:35:39,Drs,DRS ENABLED,ENABLED,,,,
2023-06-30 12:45:48,Other,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 20%,,,,,
