Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-06-30 14:53:21,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-06-30 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-30 15:03:10,Other,CAR 27 (HUL) TIME 1:06.040 DELETED - TRACK LIMITS AT TURN 9 LAP 3 17:02:38,,,,,
2023-06-30 15:03:46,Other,CAR 4 (NOR) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 2 17:02:27,,,,,
2023-06-30 15:03:47,Other,CAR 4 (NOR) TIME 1:05.946 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:04:02,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 2 17:02:35,,,,,
2023-06-30 15:04:03,Other,CAR 55 (SAI) TIME 1:06.496 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:05:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,
2023-06-30 15:05:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,
2023-06-30 15:05:29,Other,DRS DISABLED IN ZONE 3,,,,,
2023-06-30 15:05:30,Other,DRS DISABLED IN ZONE 1,,,,,
2023-06-30 15:05:34,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,
2023-06-30 15:05:40,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-06-30 15:05:45,Other,CAR 55 (SAI) TIME 1:06.496 DELETED - TRACK LIMITS AT TURN 6 LAP 3 17:03:24,,,,,
2023-06-30 15:06:11,Flag,RED FLAG,,RED,Track,,
2023-06-30 15:06:11,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-06-30 15:06:11,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-06-30 15:08:46,Other,Q1 WILL RESUME AT 17:12,,,,,
2023-06-30 15:09:09,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-06-30 15:09:17,Drs,DRS ENABLED,ENABLED,,,,
2023-06-30 15:09:45,Other,CAR 1 (VER) TIME 1:05.190 DELETED - TRACK LIMITS AT TURN 10 LAP 3 17:03:29,,,,,
2023-06-30 15:09:46,Other,CAR 1 (VER) TIME 2:17.209 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:09:54,Other,CAR 4 (NOR) TIME 1:05.946 DELETED - TRACK LIMITS AT TURN 10 LAP 3 17:03:33,,,,,
2023-06-30 15:09:54,Other,CAR 4 (NOR) TIME 2:13.805 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:11:48,Other,CAR 44 (HAM) TIME 1:06.723 DELETED - TRACK LIMITS AT TURN 10 LAP 4 17:05:44,,,,,
2023-06-30 15:11:49,Other,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP PIT),,,,,
2023-06-30 15:11:51,Other,CAR 10 (GAS) TIME 1:06.966 DELETED - DOUBLE YELLOW AT TURN 1,,,,,
2023-06-30 15:12:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-30 15:12:01,Other,CAR 24 (ZHO) TIME 1:06.498 DELETED - TRACK LIMITS AT TURN 10 LAP 3 17:04:00,,,,,
2023-06-30 15:12:03,Other,CAR 24 (ZHO) LAP DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP PIT),,,,,
2023-06-30 15:12:30,Other,CAR 1 (VER) TIME 2:17.209 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:14:15,Other,CAR 10 (GAS) TIME 1:06.966 WILL BE REINSTATED,,,,,
2023-06-30 15:17:37,Other,CAR 21 (DEV) TIME 1:06.058 DELETED - TRACK LIMITS AT TURN 10 LAP 7 17:16:58,,,,,
2023-06-30 15:20:58,Other,CAR 10 (GAS) TIME 1:05.702 DELETED - TRACK LIMITS AT TURN 10 LAP 6 17:17:17,,,,,
2023-06-30 15:20:59,Other,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP PIT),,,,,
2023-06-30 15:22:00,Other,TURN 10 INCIDENT INVOLVING CARS 81 (PIA) AND 14 (ALO) NOTED - IMPEDING,,,,,
2023-06-30 15:22:12,Other,CAR 31 (OCO) TIME 1:06.341 DELETED - TRACK LIMITS AT TURN 10 LAP 6 17:17:23,,,,,
2023-06-30 15:22:13,Other,CAR 31 (OCO) LAP DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP PIT),,,,,
2023-06-30 15:22:20,Other,CAR 20 (MAG) TIME 1:05.793 DELETED - TRACK LIMITS AT TURN 10 LAP 7 17:18:47,,,,,
2023-06-30 15:22:21,Other,CAR 20 (MAG) TIME 2:03.532 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:22:46,Other,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 81 (PIA) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,
2023-06-30 15:23:05,Other,CAR 55 (SAI) TIME 1:05.815 DELETED - TRACK LIMITS AT TURN 9 LAP 10 17:20:13,,,,,
2023-06-30 15:23:49,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-06-30 15:24:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,
2023-06-30 15:24:42,Other,CAR 4 (NOR) TIME 1:05.179 DELETED - TRACK LIMITS AT TURN 10 LAP 10 17:20:58,,,,,
2023-06-30 15:24:43,Other,CAR 4 (NOR) TIME 2:05.873 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:25:45,Other,Q2 WILL START AT 17:31,,,,,
2023-06-30 15:26:01,Other,CAR 22 (TSU) TIME 1:05.863 DELETED - TRACK LIMITS AT TURN 10 LAP 10 17:24:20,,,,,
2023-06-30 15:31:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-06-30 15:34:08,Other,CAR 55 (SAI) TIME 11:25.678 DELETED - TRACK LIMITS AT TURN 9 LAP 12 17:33:03,,,,,
2023-06-30 15:34:38,Other,CAR 1 (VER) TIME 1:04.955 DELETED - TRACK LIMITS AT TURN 10 LAP 15 17:33:43,,,,,
2023-06-30 15:35:16,Other,CAR 11 (PER) TIME 1:05.028 DELETED - TRACK LIMITS AT TURN 9 LAP 13 17:33:45,,,,,
2023-06-30 15:35:39,Other,CAR 18 (STR) TIME 1:05.177 DELETED - TRACK LIMITS AT TURN 9 LAP 13 17:34:16,,,,,
2023-06-30 15:36:06,Other,CAR 1 (VER) TIME 2:10.585 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-06-30 15:41:01,Other,CAR 14 (ALO) TIME 1:05.055 DELETED - TRACK LIMITS AT TURN 10 LAP 18 17:40:05,,,,,
