Driver,LapNumber,LapTime,Compound
VER,2.0,115.479,MEDIUM
VER,3.0,124.721,MEDIUM
VER,4.0,69.691,MEDIUM
VER,5.0,70.026,MEDIUM
VER,6.0,70.156,MEDIUM
VER,7.0,70.168,MEDIUM
VER,8.0,69.967,MEDIUM
VER,9.0,69.989,MEDIUM
VER,10.0,69.856,MEDIUM
VER,11.0,70.051,MEDIUM
VER,12.0,69.833,MEDIUM
VER,13.0,70.196,MEDIUM
VER,14.0,73.573,MEDIUM
VER,15.0,93.592,MEDIUM
VER,16.0,79.611,MEDIUM
VER,17.0,69.924,MEDIUM
VER,18.0,70.002,MEDIUM
VER,19.0,69.942,MEDIUM
VER,20.0,70.16,MEDIUM
VER,21.0,70.142,MEDIUM
VER,22.0,70.337,MEDIUM
VER,23.0,70.396,MEDIUM
VER,24.0,73.519,MEDIUM
VER,25.0,86.769,HARD
VER,26.0,68.929,HARD
VER,27.0,69.245,HARD
VER,28.0,69.251,HARD
VER,29.0,69.289,HARD
VER,30.0,69.373,HARD
VER,31.0,69.576,HARD
VER,32.0,69.603,HARD
VER,33.0,69.631,HARD
VER,34.0,69.779,HARD
VER,35.0,69.265,HARD
VER,36.0,69.367,HARD
VER,37.0,69.707,HARD
VER,38.0,69.568,HARD
VER,39.0,69.386,HARD
VER,40.0,69.431,HARD
VER,41.0,69.527,HARD
VER,42.0,69.511,HARD
VER,43.0,69.592,HARD
VER,44.0,69.678,HARD
VER,45.0,69.651,HARD
VER,46.0,69.563,HARD
VER,47.0,69.451,HARD
VER,48.0,69.419,HARD
VER,49.0,73.176,HARD
VER,50.0,86.268,MEDIUM
VER,51.0,68.15,MEDIUM
VER,52.0,68.342,MEDIUM
VER,53.0,68.235,MEDIUM
VER,54.0,68.25,MEDIUM
VER,55.0,68.273,MEDIUM
VER,56.0,68.35,MEDIUM
VER,57.0,68.412,MEDIUM
VER,58.0,68.489,MEDIUM
VER,59.0,68.609,MEDIUM
VER,60.0,68.535,MEDIUM
VER,61.0,68.485,MEDIUM
VER,62.0,68.567,MEDIUM
VER,63.0,68.624,MEDIUM
VER,64.0,68.692,MEDIUM
VER,65.0,68.878,MEDIUM
VER,66.0,68.601,MEDIUM
VER,67.0,68.854,MEDIUM
VER,68.0,69.216,MEDIUM
VER,69.0,72.228,MEDIUM
VER,70.0,87.83,SOFT
VER,71.0,67.012,SOFT
GAS,2.0,115.719,MEDIUM
GAS,3.0,113.084,MEDIUM
GAS,4.0,72.253,MEDIUM
GAS,5.0,71.836,MEDIUM
GAS,6.0,71.213,MEDIUM
GAS,7.0,71.092,MEDIUM
GAS,8.0,71.638,MEDIUM
GAS,9.0,71.29,MEDIUM
GAS,10.0,71.155,MEDIUM
GAS,11.0,70.883,MEDIUM
GAS,12.0,71.256,MEDIUM
GAS,13.0,71.11,MEDIUM
GAS,14.0,80.634,MEDIUM
GAS,15.0,107.588,HARD
GAS,16.0,73.388,HARD
GAS,17.0,70.588,HARD
GAS,18.0,70.028,HARD
GAS,19.0,70.73,HARD
GAS,20.0,70.488,HARD
GAS,21.0,70.379,HARD
GAS,22.0,70.538,HARD
GAS,23.0,70.592,HARD
GAS,24.0,70.345,HARD
GAS,25.0,70.541,HARD
GAS,26.0,70.662,HARD
GAS,27.0,70.649,HARD
GAS,28.0,70.67,HARD
GAS,29.0,71.188,HARD
GAS,30.0,70.948,HARD
GAS,31.0,70.755,HARD
GAS,32.0,71.156,HARD
GAS,33.0,70.843,HARD
GAS,34.0,71.693,HARD
GAS,35.0,71.074,HARD
GAS,36.0,71.142,HARD
GAS,37.0,71.214,HARD
GAS,38.0,71.148,HARD
GAS,39.0,71.132,HARD
GAS,40.0,71.112,HARD
GAS,41.0,71.044,HARD
GAS,42.0,71.96,HARD
GAS,43.0,71.116,HARD
GAS,44.0,75.568,HARD
GAS,45.0,93.21,MEDIUM
GAS,46.0,69.157,MEDIUM
GAS,47.0,69.241,MEDIUM
GAS,48.0,69.046,MEDIUM
GAS,49.0,69.135,MEDIUM
GAS,50.0,69.313,MEDIUM
GAS,51.0,69.365,MEDIUM
GAS,52.0,69.301,MEDIUM
GAS,53.0,69.289,MEDIUM
GAS,54.0,69.391,MEDIUM
GAS,55.0,69.501,MEDIUM
GAS,56.0,69.437,MEDIUM
GAS,57.0,69.507,MEDIUM
GAS,58.0,69.731,MEDIUM
GAS,59.0,69.619,MEDIUM
GAS,60.0,69.553,MEDIUM
GAS,61.0,69.716,MEDIUM
GAS,62.0,69.908,MEDIUM
GAS,63.0,69.917,MEDIUM
GAS,64.0,70.175,MEDIUM
GAS,65.0,70.896,MEDIUM
GAS,66.0,70.111,MEDIUM
GAS,67.0,69.965,MEDIUM
GAS,68.0,70.681,MEDIUM
GAS,69.0,70.173,MEDIUM
GAS,70.0,69.781,MEDIUM
GAS,71.0,70.344,MEDIUM
PER,2.0,119.546,MEDIUM
PER,3.0,106.027,MEDIUM
PER,4.0,72.376,MEDIUM
PER,5.0,71.557,MEDIUM
PER,6.0,71.46,MEDIUM
PER,7.0,71.169,MEDIUM
PER,8.0,71.259,MEDIUM
PER,9.0,71.56,MEDIUM
PER,10.0,71.0,MEDIUM
PER,11.0,71.526,MEDIUM
