Driver,LapNumber,LapTime,Compound
VER,2.0,70.201,MEDIUM
VER,3.0,68.646,MEDIUM
VER,4.0,93.968,MEDIUM
VER,5.0,67.214,MEDIUM
VER,6.0,80.004,MEDIUM
VER,7.0,101.71,SOFT
VER,8.0,66.236,SOFT
VER,9.0,94.513,SOFT
VER,11.0,65.624,SOFT
VER,12.0,117.838,SOFT
VER,13.0,113.75,SOFT
VER,14.0,66.793,SOFT
VER,15.0,123.59,SOFT
VER,16.0,65.371,SOFT
VER,17.0,84.548,SOFT
VER,19.0,64.613,SOFT
VER,20.0,77.078,SOFT
VER,22.0,64.44,SOFT
VER,23.0,90.966,SOFT
SAI,2.0,82.34,SOFT
SAI,4.0,66.187,SOFT
SAI,5.0,89.192,SOFT
SAI,7.0,75.863,SOFT
SAI,8.0,65.88,SOFT
SAI,9.0,80.367,SOFT
SAI,10.0,144.739,SOFT
SAI,11.0,65.434,SOFT
SAI,12.0,89.729,SOFT
SAI,14.0,65.17,MEDIUM
SAI,15.0,80.212,MEDIUM
SAI,17.0,65.136,SOFT
LEC,2.0,72.854,SOFT
LEC,3.0,71.382,SOFT
LEC,4.0,69.267,SOFT
LEC,5.0,68.558,SOFT
LEC,6.0,80.558,SOFT
LEC,7.0,108.494,SOFT
LEC,8.0,67.829,SOFT
LEC,9.0,67.061,SOFT
LEC,10.0,91.433,SOFT
LEC,12.0,66.619,SOFT
LEC,13.0,66.337,SOFT
LEC,14.0,78.911,SOFT
LEC,15.0,148.566,SOFT
LEC,16.0,69.095,SOFT
LEC,17.0,65.673,SOFT
LEC,18.0,83.752,SOFT
LEC,20.0,65.28,SOFT
LEC,21.0,114.087,SOFT
LEC,22.0,65.245,SOFT
HAM,2.0,70.424,SOFT
HAM,3.0,68.96,SOFT
HAM,4.0,87.79,SOFT
HAM,5.0,107.666,SOFT
HAM,6.0,67.282,SOFT
HAM,7.0,66.624,SOFT
HAM,8.0,110.909,SOFT
HAM,9.0,89.629,SOFT
PER,2.0,71.499,SOFT
PER,3.0,68.815,SOFT
PER,4.0,87.332,SOFT
PER,5.0,67.085,SOFT
PER,6.0,90.365,SOFT
PER,7.0,132.854,SOFT
PER,8.0,66.924,SOFT
PER,9.0,90.195,SOFT
PER,11.0,66.169,SOFT
PER,12.0,115.302,SOFT
PER,13.0,65.836,SOFT
PER,14.0,84.453,SOFT
PER,15.0,135.219,SOFT
PER,16.0,66.779,SOFT
PER,17.0,90.526,SOFT
PER,19.0,65.08,SOFT
PER,20.0,81.266,SOFT
PER,22.0,64.933,SOFT
PER,23.0,94.019,SOFT
STR,2.0,72.79,SOFT
STR,3.0,69.634,SOFT
STR,4.0,68.99,SOFT
STR,5.0,80.581,SOFT
STR,6.0,94.616,SOFT
STR,7.0,67.23,SOFT
STR,8.0,104.244,SOFT
STR,9.0,66.569,SOFT
STR,10.0,89.034,SOFT
STR,12.0,66.104,SOFT
STR,13.0,106.865,SOFT
STR,14.0,66.107,SOFT
STR,15.0,79.727,SOFT
STR,16.0,117.62,SOFT
STR,17.0,65.914,SOFT
STR,18.0,84.603,SOFT
STR,20.0,66.42,SOFT
STR,21.0,89.765,SOFT
STR,22.0,112.032,MEDIUM
STR,23.0,65.347,MEDIUM
MAG,2.0,70.487,MEDIUM
MAG,3.0,69.362,MEDIUM
MAG,4.0,80.383,MEDIUM
MAG,6.0,67.219,SOFT
MAG,7.0,115.299,SOFT
MAG,8.0,66.629,SOFT
MAG,9.0,85.95,SOFT
MAG,11.0,66.154,SOFT
MAG,12.0,89.891,SOFT
MAG,13.0,146.51,SOFT
MAG,14.0,65.73,SOFT
MAG,15.0,136.56,SOFT
MAG,16.0,65.982,SOFT
MAG,17.0,87.439,SOFT
MAG,19.0,66.317,SOFT
MAG,20.0,90.41,SOFT
