Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-01 09:45:25,Other,WET TRACK,,,,,
2023-07-01 09:46:01,Other,RISK OF RAIN FOR F1 SPRINT SHOOTOUT IS 40%,,,,,
2023-07-01 09:53:11,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-07-01 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-01 10:02:51,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2023-07-01 10:02:51,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,
2023-07-01 10:02:52,Other,DRS DISABLED IN ZONE 3,,,,,
2023-07-01 10:03:02,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
2023-07-01 10:03:02,Other,DRS ENABLED IN ZONE 3,,,,,
2023-07-01 10:03:04,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-07-01 10:03:17,CarEvent,CAR 24 (ZHO) SPUN AND CONTINUED AT TURN 10,,,,,24
2023-07-01 10:04:30,Other,CAR 1 (VER) TIME 1:10.201 DELETED - TRACK LIMITS AT TURN 9 LAP 3 12:03:46,,,,,
2023-07-01 10:05:10,Other,CAR 24 (ZHO) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 2 12:02:51,,,,,
2023-07-01 10:05:33,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2023-07-01 10:05:34,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-07-01 10:05:42,Other,CAR 11 (PER) TIME 1:11.499 DELETED - TRACK LIMITS AT TURN 9 LAP 3 12:03:55,,,,,
2023-07-01 10:05:52,Other,CAR 2 (SAR) TIME 1:08.609 DELETED - TRACK LIMITS AT TURN 9 LAP 5 12:05:32,,,,,
2023-07-01 10:06:04,CarEvent,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 9,,,,,2
2023-07-01 10:09:42,Other,TURN 9 INCIDENT INVOLVING CARS 81 (PIA) AND 16 (LEC) NOTED - IMPEDING,,,,,
2023-07-01 10:10:44,Other,CAR 44 (HAM) TIME 1:06.624 DELETED - TRACK LIMITS AT TURN 9 LAP 8 12:09:55,,,,,
2023-07-01 10:11:31,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CARS 81 (PIA) AND 16 (LEC) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-07-01 10:12:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-01 10:12:04,Other,CAR 44 (HAM) TIME 1:50.909 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-07-01 10:12:30,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,
2023-07-01 10:12:32,Other,CAR 44 (HAM) TIME 1:06.624 DELETED - TRACK LIMITS AT TURN 10 LAP 8 12:09:59,,,,,
2023-07-01 10:12:33,Other,CAR 44 (HAM) TIME 1:50.909 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-07-01 10:13:14,Other,CAR 2 (SAR) TIME 1:07.242 DELETED - TRACK LIMITS AT TURN 9 LAP 10 12:12:17,,,,,
2023-07-01 10:19:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-01 10:26:33,Other,CAR 21 (DEV) TIME 1:06.423 DELETED - TRACK LIMITS AT TURN 10 LAP 15 12:25:07,,,,,
2023-07-01 10:27:30,Other,CAR 22 (TSU) TIME 1:06.185 DELETED - TRACK LIMITS AT TURN 10 LAP 15 12:25:21,,,,,
2023-07-01 10:27:31,Other,CAR 22 (TSU) LAP DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP PIT),,,,,
2023-07-01 10:27:40,Other,CAR 1 (VER) TIME 1:06.793 DELETED - TRACK LIMITS AT TURN 10 LAP 15 12:26:23,,,,,
2023-07-01 10:28:46,Other,CAR 1 (VER) TIME 2:03.590 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,
2023-07-01 10:29:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-01 10:29:35,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,
2023-07-01 10:31:22,Other,CAR 23 (ALB) TIME 1:06.750 DELETED - TRACK LIMITS AT TURN 10 LAP 18 12:29:47,,,,,
2023-07-01 10:34:16,Other,PIT LANE INCIDENT INVOLVING CAR 27 (HUL) NOTED - UNSAFE RELEASE,,,,,
2023-07-01 10:35:41,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE,,,,,
2023-07-01 10:36:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-01 10:44:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-01 10:44:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,
