Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
PER,0.6666666666666666,1.0
NOR,0.6666666666666666,3.735
HUL,0.6666666666666666,0.547
SAI,0.6666666666666666,1.375
ALO,0.6666666666666666,2.422
STR,0.6666666666666666,2.016
OCO,0.6666666666666666,2.9379999999999997
LEC,0.6666666666666666,3.313
MAG,0.6666666666666666,3.906
ALB,0.6666666666666666,2.735
GAS,0.6666666666666666,5.875
TSU,0.6666666666666666,5.75
DEV,0.6666666666666666,6.219
RUS,0.6666666666666666,4.344
ZHO,0.6666666666666666,7.781
PIA,0.6666666666666666,6.953
HAM,0.6666666666666666,4.719
BOT,0.6666666666666666,11.344
SAR,0.6666666666666666,7.953
VER,1.0,0.0
PER,1.0,2.141
NOR,1.0,6.516
HUL,1.0,1.172
SAI,1.0,2.781
ALO,1.0,4.094
STR,1.0,3.438
OCO,1.0,5.235
LEC,1.0,5.531
MAG,1.0,6.75
ALB,1.0,5.031
GAS,1.0,9.219
TSU,1.0,8.547
DEV,1.0,9.297
RUS,1.0,7.172
ZHO,1.0,10.703
PIA,1.0,9.906
HAM,1.0,7.422
BOT,1.0,14.438
SAR,1.0,11.656
VER,1.3333333333333333,0.0
PER,1.3333333333333333,2.282
NOR,1.3333333333333333,7.171
HUL,1.3333333333333333,1.4
SAI,1.3333333333333333,3.227
ALO,1.3333333333333333,4.861
STR,1.3333333333333333,3.882
OCO,1.3333333333333333,5.689
LEC,1.3333333333333333,6.676
MAG,1.3333333333333333,7.379
ALB,1.3333333333333333,5.261
GAS,1.3333333333333333,9.934
TSU,1.3333333333333333,9.151
DEV,1.3333333333333333,10.01
RUS,1.3333333333333333,7.837
ZHO,1.3333333333333333,11.894
PIA,1.3333333333333333,11.591
HAM,1.3333333333333333,7.994
BOT,1.3333333333333333,15.167
SAR,1.3333333333333333,12.556000000000001
VER,1.6666666666666665,0.0
PER,1.6666666666666665,2.81
NOR,1.6666666666666665,8.394
HUL,1.6666666666666665,1.78
SAI,1.6666666666666665,3.555
ALO,1.6666666666666665,5.598
STR,1.6666666666666665,4.612
OCO,1.6666666666666665,6.963
LEC,1.6666666666666665,7.6370000000000005
MAG,1.6666666666666665,9.536
ALB,1.6666666666666665,6.713
GAS,1.6666666666666665,11.447
TSU,1.6666666666666665,11.069
DEV,1.6666666666666665,12.091
RUS,1.6666666666666665,9.339
ZHO,1.6666666666666665,14.776
PIA,1.6666666666666665,13.554
HAM,1.6666666666666665,10.314
BOT,1.6666666666666665,17.546
SAR,1.6666666666666665,14.692
VER,2.0,0.0
PER,2.0,2.9859999999999998
NOR,2.0,9.332
HUL,2.0,1.702
SAI,2.0,4.08
ALO,2.0,6.412
STR,2.0,5.746
OCO,2.0,7.978
LEC,2.0,8.725999999999999
MAG,2.0,10.393
ALB,2.0,7.699
GAS,2.0,13.15
TSU,2.0,12.616
DEV,2.0,13.785
RUS,2.0,10.676
ZHO,2.0,16.741
PIA,2.0,15.112
HAM,2.0,11.718
BOT,2.0,19.158
SAR,2.0,16.02
VER,2.3333333333333335,0.0
PER,2.3333333333333335,2.9459999999999997
NOR,2.3333333333333335,9.556000000000001
HUL,2.3333333333333335,1.661
SAI,2.3333333333333335,4.131
ALO,2.3333333333333335,6.697
STR,2.3333333333333335,5.841
OCO,2.3333333333333335,8.208
LEC,2.3333333333333335,8.952
MAG,2.3333333333333335,10.541
ALB,2.3333333333333335,7.713
GAS,2.3333333333333335,13.701
TSU,2.3333333333333335,12.999
DEV,2.3333333333333335,14.26
RUS,2.3333333333333335,11.004
ZHO,2.3333333333333335,17.391
PIA,2.3333333333333335,15.962
HAM,2.3333333333333335,12.126
BOT,2.3333333333333335,19.586
SAR,2.3333333333333335,16.255
VER,2.6666666666666665,0.0
PER,2.6666666666666665,3.5380000000000003
NOR,2.6666666666666665,10.557
HUL,2.6666666666666665,1.833
SAI,2.6666666666666665,4.399
ALO,2.6666666666666665,7.433
STR,2.6666666666666665,6.217
OCO,2.6666666666666665,8.96
LEC,2.6666666666666665,10.062
MAG,2.6666666666666665,11.506
ALB,2.6666666666666665,8.444
GAS,2.6666666666666665,15.158
TSU,2.6666666666666665,14.635
DEV,2.6666666666666665,16.366
RUS,2.6666666666666665,12.338
ZHO,2.6666666666666665,19.276
PIA,2.6666666666666665,17.074
HAM,2.6666666666666665,13.471
BOT,2.6666666666666665,20.944
SAR,2.6666666666666665,17.713
VER,3.0,0.0
PER,3.0,3.802
NOR,3.0,11.153
HUL,3.0,2.017
SAI,3.0,4.838
ALO,3.0,8.048
STR,3.0,6.873
OCO,3.0,9.827
LEC,3.0,10.54
MAG,3.0,12.178
ALB,3.0,9.317
GAS,3.0,16.26
TSU,3.0,15.715
DEV,3.0,17.981
RUS,3.0,13.026
ZHO,3.0,20.515
PIA,3.0,18.636
HAM,3.0,14.061
BOT,3.0,21.969
SAR,3.0,19.301
VER,3.3333333333333335,0.0
PER,3.3333333333333335,3.7359999999999998
NOR,3.3333333333333335,11.319
HUL,3.3333333333333335,2.04
SAI,3.3333333333333335,4.886
ALO,3.3333333333333335,8.313
STR,3.3333333333333335,7.077
OCO,3.3333333333333335,10.167
LEC,3.3333333333333335,10.669
MAG,3.3333333333333335,12.525
ALB,3.3333333333333335,9.43
GAS,3.3333333333333335,16.962
TSU,3.3333333333333335,15.98
DEV,3.3333333333333335,18.358
RUS,3.3333333333333335,13.072
ZHO,3.3333333333333335,20.938
PIA,3.3333333333333335,19.079
HAM,3.3333333333333335,14.438
BOT,3.3333333333333335,22.403
SAR,3.3333333333333335,19.594
VER,3.6666666666666665,0.0
PER,3.6666666666666665,3.91
NOR,3.6666666666666665,11.929
HUL,3.6666666666666665,2.135
SAI,3.6666666666666665,4.765
ALO,3.6666666666666665,8.738
STR,3.6666666666666665,6.907
OCO,3.6666666666666665,10.545
LEC,3.6666666666666665,11.458
MAG,3.6666666666666665,12.827
ALB,3.6666666666666665,9.612
GAS,3.6666666666666665,18.099
TSU,3.6666666666666665,16.878
DEV,3.6666666666666665,19.582
RUS,3.6666666666666665,13.888
ZHO,3.6666666666666665,21.962
PIA,3.6666666666666665,19.994
HAM,3.6666666666666665,15.105
BOT,3.6666666666666665,22.975
SAR,3.6666666666666665,20.571
VER,4.0,0.0
PER,4.0,4.283
NOR,4.0,12.602
HUL,4.0,2.408
SAI,4.0,5.211
ALO,4.0,9.228
STR,4.0,7.458
OCO,4.0,11.335
LEC,4.0,12.025
MAG,4.0,13.6
ALB,4.0,10.458
GAS,4.0,18.994
TSU,4.0,17.81
DEV,4.0,20.369
RUS,4.0,14.458
ZHO,4.0,23.13
PIA,4.0,21.183
HAM,4.0,15.796
BOT,4.0,24.124
SAR,4.0,21.996
VER,4.333333333333333,0.0
PER,4.333333333333333,4.375
NOR,4.333333333333333,12.818
HUL,4.333333333333333,2.521
SAI,4.333333333333333,5.428
ALO,4.333333333333333,9.424
STR,4.333333333333333,7.498
OCO,4.333333333333333,11.486
LEC,4.333333333333333,12.011
MAG,4.333333333333333,13.776
ALB,4.333333333333333,10.567
GAS,4.333333333333333,19.324
TSU,4.333333333333333,18.098
DEV,4.333333333333333,20.706
RUS,4.333333333333333,14.606
ZHO,4.333333333333333,23.523
PIA,4.333333333333333,21.588
HAM,4.333333333333333,15.843
BOT,4.333333333333333,24.413
SAR,4.333333333333333,22.189
VER,4.666666666666667,0.0
PER,4.666666666666667,4.409
NOR,4.666666666666667,13.367
HUL,4.666666666666667,2.412
SAI,4.666666666666667,5.489
ALO,4.666666666666667,9.6
STR,4.666666666666667,7.574
OCO,4.666666666666667,12.272
