Driver,LapNumber,LapTime,Compound
VER,2.0,78.498,INTERMEDIATE
VER,3.0,78.008,INTERMEDIATE
VER,4.0,77.427,INTERMEDIATE
VER,5.0,76.807,INTERMEDIATE
VER,6.0,76.547,INTERMEDIATE
VER,7.0,76.882,INTERMEDIATE
VER,8.0,76.028,INTERMEDIATE
VER,9.0,75.911,INTERMEDIATE
VER,10.0,75.774,INTERMEDIATE
VER,11.0,75.718,INTERMEDIATE
VER,12.0,75.396,INTERMEDIATE
VER,13.0,75.365,INTERMEDIATE
VER,14.0,75.163,INTERMEDIATE
VER,15.0,74.992,INTERMEDIATE
VER,16.0,75.223,INTERMEDIATE
VER,17.0,74.506,INTERMEDIATE
VER,18.0,74.718,INTERMEDIATE
VER,19.0,74.292,INTERMEDIATE
VER,20.0,74.426,INTERMEDIATE
VER,21.0,74.46,INTERMEDIATE
VER,22.0,74.344,INTERMEDIATE
VER,23.0,75.58,INTERMEDIATE
VER,24.0,76.025,INTERMEDIATE
PER,2.0,79.385,INTERMEDIATE
PER,3.0,78.824,INTERMEDIATE
PER,4.0,77.908,INTERMEDIATE
PER,5.0,77.378,INTERMEDIATE
PER,6.0,77.278,INTERMEDIATE
PER,7.0,76.708,INTERMEDIATE
PER,8.0,76.857,INTERMEDIATE
PER,9.0,76.814,INTERMEDIATE
PER,10.0,76.802,INTERMEDIATE
PER,11.0,76.793,INTERMEDIATE
PER,12.0,75.927,INTERMEDIATE
PER,13.0,75.649,INTERMEDIATE
PER,14.0,75.82,INTERMEDIATE
PER,15.0,75.726,INTERMEDIATE
PER,16.0,75.492,INTERMEDIATE
PER,17.0,75.761,INTERMEDIATE
PER,18.0,75.765,INTERMEDIATE
PER,19.0,75.895,INTERMEDIATE
PER,20.0,75.544,INTERMEDIATE
PER,21.0,76.009,INTERMEDIATE
PER,22.0,76.331,INTERMEDIATE
PER,23.0,76.109,INTERMEDIATE
PER,24.0,76.248,INTERMEDIATE
NOR,2.0,81.419,INTERMEDIATE
NOR,3.0,79.829,INTERMEDIATE
NOR,4.0,78.876,INTERMEDIATE
NOR,5.0,78.057,INTERMEDIATE
NOR,6.0,78.206,INTERMEDIATE
