Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-07 11:15:25,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,
2023-07-07 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-07 11:40:59,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,
2023-07-07 11:41:13,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-07-07 11:41:36,CarEvent,CAR 21 (DEV) SPUN AND CONTINUED AT TURN 7,,,,,21
2023-07-07 11:57:31,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 15,,,,,23
2023-07-07 12:05:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,
2023-07-07 12:05:09,Other,DRS DISABLED IN ZONE 1,,,,,
2023-07-07 12:05:11,Other,DRS ENABLED IN ZONE 1,,,,,
2023-07-07 12:05:11,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,
2023-07-07 12:25:34,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 6,,,,,63
2023-07-07 12:26:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,
2023-07-07 12:26:23,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-07-07 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-07 12:30:26,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,
2023-07-07 12:55:12,Other,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 0%,,,,,
2023-07-07 12:56:47,Flag,RED FLAG,,RED,Track,,
