Driver,LapNumber,LapTime,Compound
LEC,2.0,136.37,SOFT
LEC,3.0,93.303,SOFT
LEC,4.0,92.126,SOFT
LEC,5.0,128.472,SOFT
LEC,6.0,91.064,SOFT
LEC,7.0,144.233,SOFT
LEC,10.0,89.143,SOFT
LEC,11.0,117.454,SOFT
LEC,13.0,89.934,SOFT
LEC,14.0,115.28,SOFT
LEC,15.0,89.247,SOFT
LEC,16.0,110.589,SOFT
LEC,18.0,88.361,SOFT
LEC,19.0,96.411,SOFT
LEC,21.0,87.76,SOFT
LEC,22.0,98.434,SOFT
LEC,24.0,87.136,SOFT
LEC,25.0,115.169,SOFT
ALB,2.0,96.009,SOFT
ALB,3.0,100.756,SOFT
ALB,4.0,93.601,SOFT
ALB,5.0,131.16,SOFT
ALB,6.0,91.999,SOFT
ALB,7.0,106.883,SOFT
ALB,10.0,89.466,SOFT
ALB,11.0,114.929,SOFT
ALB,13.0,90.749,SOFT
ALB,14.0,124.11,SOFT
ALB,15.0,89.152,SOFT
ALB,16.0,100.559,SOFT
ALB,18.0,88.067,SOFT
ALB,19.0,118.509,SOFT
ALB,21.0,87.911,SOFT
ALB,22.0,105.573,SOFT
ALB,24.0,87.53,SOFT
ALB,25.0,125.521,SOFT
ALO,2.0,96.716,SOFT
ALO,3.0,91.437,SOFT
ALO,4.0,121.798,SOFT
ALO,5.0,90.73,SOFT
ALO,6.0,110.331,SOFT
ALO,9.0,89.949,SOFT
ALO,10.0,114.013,SOFT
ALO,12.0,90.66,SOFT
ALO,13.0,115.319,SOFT
ALO,14.0,89.052,SOFT
ALO,15.0,101.084,SOFT
ALO,17.0,88.368,SOFT
ALO,18.0,117.532,SOFT
ALO,20.0,87.841,SOFT
ALO,21.0,105.189,SOFT
ALO,23.0,87.659,SOFT
GAS,2.0,103.884,SOFT
GAS,3.0,93.782,SOFT
GAS,4.0,121.038,SOFT
GAS,5.0,91.961,SOFT
GAS,6.0,123.704,SOFT
GAS,7.0,92.383,SOFT
GAS,10.0,89.533,SOFT
GAS,11.0,120.187,SOFT
GAS,13.0,89.471,SOFT
GAS,14.0,130.292,SOFT
GAS,15.0,94.937,SOFT
GAS,17.0,88.751,SOFT
GAS,18.0,115.267,SOFT
GAS,20.0,88.047,SOFT
GAS,21.0,107.376,SOFT
GAS,23.0,87.689,SOFT
GAS,24.0,113.662,SOFT
HAM,2.0,115.058,SOFT
HAM,3.0,126.387,SOFT
HAM,4.0,92.822,SOFT
HAM,5.0,92.023,SOFT
HAM,6.0,135.899,SOFT
HAM,7.0,91.256,SOFT
HAM,10.0,89.415,SOFT
HAM,11.0,113.44,SOFT
HAM,13.0,90.217,SOFT
HAM,14.0,96.589,SOFT
HAM,16.0,88.545,SOFT
HAM,17.0,103.463,SOFT
HAM,18.0,144.558,SOFT
HAM,19.0,92.419,SOFT
HAM,21.0,87.717,SOFT
HAM,22.0,99.69,SOFT
HAM,24.0,87.211,SOFT
HAM,25.0,120.743,SOFT
SAI,2.0,129.195,SOFT
SAI,3.0,98.523,SOFT
SAI,4.0,92.541,SOFT
SAI,5.0,119.533,SOFT
SAI,6.0,91.865,SOFT
SAI,7.0,120.151,SOFT
SAI,8.0,91.153,SOFT
SAI,11.0,89.865,SOFT
SAI,12.0,118.5,SOFT
SAI,14.0,89.589,SOFT
SAI,15.0,138.045,SOFT
SAI,16.0,89.396,SOFT
SAI,17.0,100.17,SOFT
SAI,19.0,88.265,SOFT
SAI,20.0,113.657,SOFT
SAI,22.0,87.832,SOFT
SAI,23.0,103.098,SOFT
SAI,25.0,87.148,SOFT
SAI,26.0,116.074,SOFT
SAR,2.0,148.024,SOFT
SAR,3.0,94.051,SOFT
SAR,4.0,92.567,SOFT
SAR,5.0,121.113,SOFT
SAR,6.0,102.23,SOFT
SAR,7.0,136.726,SOFT
SAR,10.0,89.873,SOFT
SAR,11.0,112.346,SOFT
SAR,13.0,91.104,SOFT
SAR,14.0,116.808,SOFT
SAR,15.0,89.811,SOFT
SAR,16.0,107.874,SOFT
SAR,18.0,89.031,SOFT
SAR,19.0,118.088,SOFT
VER,2.0,93.535,SOFT
VER,3.0,92.145,SOFT
VER,5.0,90.719,SOFT
VER,6.0,149.043,SOFT
VER,7.0,99.699,SOFT
VER,10.0,89.428,SOFT
VER,11.0,112.522,SOFT
VER,13.0,89.505,SOFT
VER,14.0,141.769,SOFT
VER,15.0,108.425,SOFT
VER,16.0,88.57,SOFT
VER,17.0,95.377,SOFT
VER,18.0,129.886,SOFT
VER,19.0,87.702,SOFT
VER,20.0,102.04,SOFT
VER,22.0,87.084,SOFT
VER,23.0,99.142,SOFT
VER,25.0,86.72,SOFT
RUS,2.0,95.257,SOFT
RUS,3.0,93.78,SOFT
RUS,4.0,109.503,SOFT
RUS,5.0,91.414,SOFT
RUS,6.0,137.501,SOFT
RUS,7.0,118.297,SOFT
RUS,9.0,89.412,SOFT
RUS,10.0,124.042,SOFT
RUS,12.0,89.829,SOFT
RUS,13.0,98.02,SOFT
RUS,15.0,88.782,SOFT
RUS,16.0,97.652,SOFT
RUS,17.0,132.563,SOFT
RUS,18.0,92.019,SOFT
RUS,20.0,88.184,SOFT
RUS,21.0,101.099,SOFT
RUS,23.0,87.155,SOFT
TSU,2.0,97.631,SOFT
TSU,3.0,93.772,SOFT
TSU,4.0,132.205,SOFT
TSU,5.0,91.703,SOFT
TSU,6.0,120.304,SOFT
TSU,7.0,137.416,SOFT
TSU,10.0,90.025,SOFT
TSU,11.0,116.707,SOFT
DEV,2.0,96.078,SOFT
DEV,3.0,93.653,SOFT
DEV,4.0,128.573,SOFT
DEV,5.0,91.844,SOFT
DEV,6.0,125.787,SOFT
DEV,7.0,135.503,SOFT
DEV,10.0,90.513,SOFT
DEV,11.0,112.425,SOFT
NOR,2.0,97.649,SOFT
NOR,3.0,120.681,SOFT
NOR,4.0,92.413,SOFT
NOR,5.0,92.124,SOFT
NOR,6.0,99.455,SOFT
NOR,10.0,88.917,SOFT
NOR,11.0,109.798,SOFT
NOR,13.0,89.427,SOFT
NOR,14.0,123.778,SOFT
NOR,15.0,90.292,SOFT
NOR,17.0,88.042,SOFT
NOR,19.0,88.783,SOFT
NOR,20.0,104.768,SOFT
NOR,22.0,88.414,SOFT
NOR,23.0,103.686,SOFT
NOR,25.0,86.961,SOFT
STR,2.0,95.357,SOFT
STR,3.0,92.941,SOFT
STR,4.0,139.833,SOFT
STR,5.0,91.566,SOFT
STR,6.0,101.26,SOFT
STR,10.0,89.448,SOFT
STR,11.0,113.683,SOFT
STR,13.0,90.716,SOFT
STR,14.0,116.439,SOFT
STR,15.0,89.704,SOFT
STR,16.0,112.827,SOFT
STR,18.0,88.935,SOFT
STR,19.0,107.826,SOFT
PER,2.0,95.006,SOFT
PER,3.0,94.186,SOFT
PER,4.0,140.533,SOFT
PER,5.0,92.162,SOFT
PER,6.0,127.043,SOFT
PER,7.0,98.134,SOFT
PER,10.0,89.968,SOFT
PER,11.0,116.005,SOFT
MAG,3.0,93.901,SOFT
MAG,4.0,132.884,SOFT
MAG,5.0,92.378,SOFT
MAG,6.0,148.006,SOFT
OCO,2.0,94.204,SOFT
OCO,3.0,110.503,SOFT
OCO,4.0,92.353,SOFT
OCO,5.0,122.384,SOFT
OCO,6.0,91.504,SOFT
OCO,7.0,121.513,SOFT
OCO,10.0,89.7,SOFT
OCO,11.0,116.576,SOFT
OCO,13.0,89.615,SOFT
OCO,14.0,118.663,SOFT
OCO,15.0,92.755,SOFT
OCO,17.0,88.956,SOFT
OCO,18.0,121.741,SOFT
PIA,2.0,94.596,SOFT
PIA,3.0,94.531,SOFT
PIA,4.0,133.975,SOFT
PIA,5.0,91.602,SOFT
PIA,6.0,117.992,SOFT
PIA,7.0,149.444,SOFT
PIA,10.0,89.874,SOFT
PIA,11.0,112.003,SOFT
PIA,13.0,89.566,SOFT
PIA,14.0,131.473,SOFT
PIA,15.0,109.688,SOFT
PIA,16.0,88.567,SOFT
PIA,17.0,102.065,SOFT
PIA,18.0,125.798,SOFT
PIA,19.0,87.845,SOFT
PIA,20.0,112.362,SOFT
PIA,22.0,87.756,SOFT
PIA,23.0,111.143,SOFT
PIA,25.0,87.092,SOFT
BOT,2.0,96.619,SOFT
BOT,3.0,94.136,SOFT
