Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-08 13:45:09,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 100%,,,,,
2023-07-08 13:53:39,Other,LOW GRIP CONDITIONS,,,,,
2023-07-08 13:54:04,Drs,DRS DISABLED,DISABLED,,,,
2023-07-08 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-08 14:03:23,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,
2023-07-08 14:03:34,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-07-08 14:03:44,CarEvent,CAR 44 (HAM) SPUN AND CONTINUED AT TURN 15,,,,,44
2023-07-08 14:04:06,Other,CAR 44 (HAM) TIME 1:55.058 DELETED - TRACK LIMITS AT TURN 15 LAP 3 15:03:32,,,,,
2023-07-08 14:05:48,Other,CAR 21 (DEV) TIME 1:36.078 DELETED - TRACK LIMITS AT TURN 15 LAP 3 15:03:51,,,,,
2023-07-08 14:05:52,Other,CAR 1 (VER) TIME 1:33.535 DELETED - TRACK LIMITS AT TURN 15 LAP 3 15:04:20,,,,,
2023-07-08 14:06:03,Other,CAR 4 (NOR) TIME 2:00.681 DELETED - TRACK LIMITS AT TURN 15 LAP 4 15:05:32,,,,,
2023-07-08 14:06:40,Other,CAR 55 (SAI) TIME 2:09.195 DELETED - TRACK LIMITS AT TURN 15 LAP 3 15:03:54,,,,,
2023-07-08 14:07:17,Other,CAR 2 (SAR) TIME 1:34.051 DELETED - TRACK LIMITS AT TURN 15 LAP 4 15:06:06,,,,,
2023-07-08 14:07:50,Other,CAR 81 (PIA) TIME 1:34.531 DELETED - TRACK LIMITS AT TURN 15 LAP 4 15:05:33,,,,,
2023-07-08 14:10:38,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,
2023-07-08 14:10:39,Other,CAR 27 (HUL) TIME 1:32.223 DELETED - TRACK LIMITS AT TURN 15 LAP 6 15:09:49,,,,,
2023-07-08 14:10:41,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,
2023-07-08 14:10:56,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,
2023-07-08 14:10:58,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-07-08 14:11:02,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,
