Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-21 14:55:13,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-07-21 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-21 16:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-21 16:00:44,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,
2023-07-21 16:01:41,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,
2023-07-21 16:01:46,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,
2023-07-21 16:01:51,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-07-21 16:06:09,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,
2023-07-21 16:06:24,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-07-21 16:06:24,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-07-21 16:06:24,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-07-21 16:06:31,Drs,DRS ENABLED,ENABLED,,,,
