Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-22 13:48:03,Other,DRS ENABLED IN ZONE 1,,,,,
2023-07-22 13:50:02,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-07-22 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-22 14:04:31,Other,CAR 20 (MAG) TIME 1:20.063 DELETED - TRACK LIMITS AT TURN 5 LAP 3 16:03:40,,,,,
2023-07-22 14:06:49,Other,CAR 81 (PIA) TIME 1:19.233 DELETED - TRACK LIMITS AT TURN 12 LAP 3 16:03:59,,,,,
2023-07-22 14:07:02,Other,CAR 23 (ALB) TIME 1:19.358 DELETED - TRACK LIMITS AT TURN 4 LAP 3 16:05:30,,,,,
2023-07-22 14:07:21,Other,CAR 2 (SAR) TIME 1:19.472 DELETED - TRACK LIMITS AT TURN 11 LAP 3 16:06:01,,,,,
2023-07-22 14:07:41,Other,CAR 24 (ZHO) TIME 1:19.412 DELETED - TRACK LIMITS AT TURN 5 LAP 5 16:06:15,,,,,
2023-07-22 14:15:24,Other,CAR 4 (NOR) TIME 1:18.209 DELETED - TRACK LIMITS AT TURN 5 LAP 9 16:14:40,,,,,
2023-07-22 14:17:59,Other,CAR 24 (ZHO) TIME 1:19.933 DELETED - TRACK LIMITS AT TURN 4 LAP 10 16:17:06,,,,,
2023-07-22 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-22 14:18:25,Other,FIRST CAR TO TAKE THE FLAG - CAR 20 (MAG),,,,,
2023-07-22 14:24:00,Other,TURN 13 INCIDENT INVOLVING CARS 77 (BOT) AND 18 (STR) NOTED - IMPEDING,,,,,
2023-07-22 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-22 14:30:01,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 77 (BOT) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-07-22 14:30:14,Other,CAR 18 (STR) TIME 1:17.861 DELETED - TRACK LIMITS AT TURN 12 LAP 13 16:28:34,,,,,
2023-07-22 14:30:47,Other,CAR 1 (VER) TIME 1:17.296 DELETED - TRACK LIMITS AT TURN 5 LAP 12 16:29:12,,,,,
2023-07-22 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-22 14:40:19,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,
2023-07-22 14:40:27,Other,CAR 10 (GAS) TIME 1:18.045 DELETED - TRACK LIMITS AT TURN 4 LAP 16 16:39:29,,,,,
2023-07-22 14:41:46,Other,CAR 11 (PER) TIME 1:20.346 DELETED - TRACK LIMITS AT TURN 4 LAP 17 16:40:05,,,,,
2023-07-22 14:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-22 14:52:30,Other,CAR 24 (ZHO) TIME 1:17.548 DELETED - TRACK LIMITS AT TURN 12 LAP 19 16:51:37,,,,,
2023-07-22 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-22 15:00:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
