Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-23 12:10:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-23 12:20:00,Other,PIT EXIT CLOSED,,,,,
2023-07-23 12:45:10,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,
2023-07-23 12:57:38,Drs,DRS DISABLED,DISABLED,,,,
2023-07-23 13:03:06,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-23 13:03:22,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,
2023-07-23 13:03:31,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-07-23 13:04:15,Other,LAP 1 TURN 1 INCIDENT NOTED,,,,,
2023-07-23 13:06:37,Drs,DRS ENABLED,ENABLED,,,,
2023-07-23 13:12:34,Other,FIA STEWARDS: LAP 1 TURN 1 INCIDENT UNDER INVESTIGATION,,,,,
2023-07-23 13:13:32,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 24 (ZHO) - CAUSING A COLLISION,,,,,
2023-07-23 13:13:45,Other,CAR 3 (RIC) TIME 1:26.073 DELETED - TRACK LIMITS AT TURN 4 LAP 7 15:12:31,,,,,
2023-07-23 13:15:33,Other,CAR 23 (ALB) TIME 1:28.053 DELETED - TRACK LIMITS AT TURN 4 LAP 8 15:13:54,,,,,
2023-07-23 13:18:53,Other,CAR 44 (HAM) TIME 1:25.153 DELETED - TRACK LIMITS AT TURN 4 LAP 11 15:17:57,,,,,
2023-07-23 13:20:43,Other,CAR 27 (HUL) TIME 1:26.188 DELETED - TRACK LIMITS AT TURN 4 LAP 12 15:19:34,,,,,
2023-07-23 13:25:02,Other,CAR 55 (SAI) TIME 1:28.509 DELETED - TRACK LIMITS AT TURN 4 LAP 15 15:23:44,,,,,
2023-07-23 13:33:19,Other,CAR 81 (PIA) TIME 1:23.972 DELETED - TRACK LIMITS AT TURN 4 LAP 21 15:32:21,,,,,
2023-07-23 13:35:11,Other,CAR 20 (MAG) TIME 1:26.014 DELETED - TRACK LIMITS AT TURN 4 LAP 22 15:34:16,,,,,
2023-07-23 13:35:22,Other,CAR 2 (SAR) TIME 1:25.999 DELETED - TRACK LIMITS AT TURN 4 LAP 22 15:34:17,,,,,
2023-07-23 13:40:56,Other,CAR 18 (STR) TIME 1:25.128 DELETED - TRACK LIMITS AT TURN 4 LAP 26 15:39:44,,,,,
2023-07-23 13:41:57,Other,CAR 11 (PER) TIME 1:25.650 DELETED - TRACK LIMITS AT TURN 4 LAP 27 15:41:01,,,,,
2023-07-23 13:47:39,Other,CAR 4 (NOR) TIME 1:24.289 DELETED - TRACK LIMITS AT TURN 4 LAP 31 15:46:18,,,,,
2023-07-23 13:49:02,Other,CAR 16 (LEC) TIME 1:24.565 DELETED - TRACK LIMITS AT TURN 4 LAP 32 15:48:08,,,,,
2023-07-23 13:50:25,Other,CAR 81 (PIA) TIME 1:24.768 DELETED - TRACK LIMITS AT TURN 4 LAP 33 15:49:13,,,,,
2023-07-23 13:52:36,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:52:35,,BLUE,Driver,,3
2023-07-23 13:52:50,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:52:49,,BLUE,Driver,,3
2023-07-23 13:57:27,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:57:26,,BLUE,Driver,,20
2023-07-23 13:58:39,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:58:39,,BLUE,Driver,,24
2023-07-23 13:59:10,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:59:09,,BLUE,Driver,,23
2023-07-23 14:05:04,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:05:03,,BLUE,Driver,,22
2023-07-23 14:05:27,Other,CAR 63 (RUS) TIME 1:23.697 DELETED - TRACK LIMITS AT TURN 11 LAP 43 16:04:15,,,,,
2023-07-23 14:07:17,Other,INCIDENT INVOLVING CAR 16 (LEC) NOTED - SPEEDING IN THE PIT LANE,,,,,
2023-07-23 14:07:46,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 16 (LEC) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,,,,,
2023-07-23 14:08:53,Other,CAR 81 (PIA) TIME 1:23.212 DELETED - TRACK LIMITS AT TURN 4 LAP 46 16:07:50,,,,,
2023-07-23 14:09:05,Other,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 46 16:07:59 (PIT),,,,,
2023-07-23 14:09:23,Flag,BLACK AND WHITE FLAG FOR CAR 81 (PIA) - TRACK LIMITS,,BLACK AND WHITE,Driver,,81
2023-07-23 14:09:49,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:09:48,,BLUE,Driver,,20
2023-07-23 14:09:56,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 16 (LEC) - SPEEDING IN THE PIT LANE,,,,,
2023-07-23 14:10:20,Other,TURN 2 INCIDENT INVOLVING CARS 81 (PIA) AND 11 (PER) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,
2023-07-23 14:12:05,Other,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 81 (PIA) AND 11 (PER) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,
2023-07-23 14:15:20,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:15:20,,BLUE,Driver,,2
2023-07-23 14:15:28,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:15:27,,BLUE,Driver,,20
2023-07-23 14:17:52,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:17:51,,BLUE,Driver,,27
2023-07-23 14:18:46,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:18:46,,BLUE,Driver,,24
2023-07-23 14:21:51,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:21:51,,BLUE,Driver,,24
2023-07-23 14:22:05,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:22:04,,BLUE,Driver,,3
2023-07-23 14:22:15,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:22:15,,BLUE,Driver,,3
2023-07-23 14:24:16,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:24:16,,BLUE,Driver,,77
2023-07-23 14:24:27,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:24:26,,BLUE,Driver,,20
2023-07-23 14:24:47,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:24:47,,BLUE,Driver,,22
2023-07-23 14:25:02,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:25:02,,BLUE,Driver,,20
2023-07-23 14:25:05,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:25:04,,BLUE,Driver,,22
2023-07-23 14:25:07,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:25:06,,BLUE,Driver,,23
2023-07-23 14:25:42,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:25:41,,BLUE,Driver,,22
2023-07-23 14:28:45,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:28:45,,BLUE,Driver,,22
2023-07-23 14:28:56,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:28:55,,BLUE,Driver,,24
2023-07-23 14:29:03,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:29:03,,BLUE,Driver,,2
2023-07-23 14:29:12,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:29:11,,BLUE,Driver,,20
2023-07-23 14:29:27,CarEvent,CAR 20 (MAG) MISSED THE APEX OF TURN 7,,,,,20
2023-07-23 14:30:41,Other,CAR 20 (MAG) TIME 1:27.626 DELETED - TRACK LIMITS AT TURN 7 LAP 60 16:29:04,,,,,
2023-07-23 14:31:15,Other,CAR 4 (NOR) TIME 1:23.878 DELETED - TRACK LIMITS AT TURN 5 LAP 62 16:29:58,,,,,
2023-07-23 14:31:20,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:31:19,,BLUE,Driver,,2
2023-07-23 14:31:21,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:31:20,,BLUE,Driver,,27
2023-07-23 14:33:26,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:33:26,,BLUE,Driver,,27
2023-07-23 14:34:21,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:34:21,,BLUE,Driver,,20
2023-07-23 14:34:22,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:34:22,,BLUE,Driver,,18
2023-07-23 14:34:25,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:34:24,,BLUE,Driver,,22
2023-07-23 14:34:54,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:34:54,,BLUE,Driver,,2
2023-07-23 14:35:39,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:35:38,,BLUE,Driver,,27
2023-07-23 14:36:52,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:36:52,,BLUE,Driver,,20
2023-07-23 14:38:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,
2023-07-23 14:38:47,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-07-23 14:39:02,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:39:01,,BLUE,Driver,,2
2023-07-23 14:39:18,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:39:17,,BLUE,Driver,,2
2023-07-23 14:39:25,CarEvent,CAR 2 (SAR) SPUN AND CONTINUED AT TURN 6,,,,,2
2023-07-23 14:40:22,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:40:21,,BLUE,Driver,,3
2023-07-23 14:41:14,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-23 14:34:54,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:34:54,,BLUE,Driver,,2
2023-07-23 14:35:39,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:35:38,,BLUE,Driver,,27
2023-07-23 14:36:52,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:36:52,,BLUE,Driver,,20
2023-07-23 14:38:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,
2023-07-23 14:38:47,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-07-23 14:39:02,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:39:01,,BLUE,Driver,,2
2023-07-23 14:39:18,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:39:17,,BLUE,Driver,,2
2023-07-23 14:39:25,CarEvent,CAR 2 (SAR) SPUN AND CONTINUED AT TURN 6,,,,,2
2023-07-23 14:40:22,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:40:21,,BLUE,Driver,,3
2023-07-23 14:41:14,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
