Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-28 11:15:29,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 100%,,,,,
2023-07-28 11:17:41,Other,WET TRACK,,,,,
2023-07-28 11:17:56,Other,LOW GRIP CONDITIONS,,,,,
2023-07-28 11:17:58,Drs,DRS DISABLED,DISABLED,,,,
2023-07-28 11:28:55,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13,,,,,
2023-07-28 11:29:10,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,
2023-07-28 11:29:15,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,
2023-07-28 11:29:18,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14,,,,,
2023-07-28 11:29:25,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-07-28 11:29:33,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-07-28 11:29:49,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,
2023-07-28 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-28 11:30:31,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,
2023-07-28 11:36:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,
2023-07-28 11:36:43,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,
2023-07-28 11:36:46,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,
2023-07-28 11:36:49,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,
2023-07-28 11:52:21,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,
2023-07-28 11:52:31,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,
2023-07-28 11:52:44,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,
2023-07-28 11:52:51,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,
2023-07-28 11:52:54,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,
2023-07-28 11:52:57,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,
2023-07-28 11:57:36,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10,,,,,
2023-07-28 11:57:40,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
