Driver,LapNumber,LapTime,Compound
SAI,2.0,123.431,INTERMEDIATE
SAI,3.0,120.536,INTERMEDIATE
SAI,5.0,119.844,INTERMEDIATE
SAI,6.0,145.382,INTERMEDIATE
SAI,7.0,144.443,INTERMEDIATE
SAI,8.0,118.688,INTERMEDIATE
SAI,9.0,148.012,INTERMEDIATE
SAI,11.0,117.81,INTERMEDIATE
SAI,12.0,147.969,INTERMEDIATE
SAI,13.0,125.697,INTERMEDIATE
SAI,14.0,149.975,SOFT
SAI,15.0,114.689,SOFT
SAI,16.0,111.711,SOFT
SAI,17.0,138.3,SOFT
SAI,19.0,108.352,SOFT
SAI,20.0,125.698,SOFT
SAI,22.0,107.152,SOFT
PIA,2.0,122.79,INTERMEDIATE
PIA,3.0,121.438,INTERMEDIATE
PIA,4.0,141.052,INTERMEDIATE
PIA,6.0,119.055,INTERMEDIATE
PIA,8.0,118.872,INTERMEDIATE
PIA,9.0,144.636,INTERMEDIATE
PIA,11.0,116.37,INTERMEDIATE
PIA,14.0,120.792,SOFT
PIA,15.0,119.618,SOFT
PIA,16.0,111.534,SOFT
PIA,17.0,140.426,SOFT
PIA,19.0,108.509,SOFT
PIA,20.0,126.839,SOFT
PIA,22.0,107.365,SOFT
NOR,2.0,121.874,INTERMEDIATE
NOR,3.0,127.059,INTERMEDIATE
NOR,4.0,133.434,INTERMEDIATE
NOR,5.0,128.709,INTERMEDIATE
NOR,7.0,119.981,INTERMEDIATE
NOR,8.0,129.052,INTERMEDIATE
NOR,10.0,124.509,INTERMEDIATE
NOR,11.0,146.74,SOFT
NOR,12.0,121.694,SOFT
NOR,13.0,114.051,SOFT
NOR,14.0,112.252,SOFT
NOR,15.0,134.718,SOFT
NOR,17.0,108.701,SOFT
NOR,18.0,131.156,SOFT
NOR,20.0,107.669,SOFT
LEC,2.0,125.632,INTERMEDIATE
LEC,3.0,121.551,INTERMEDIATE
LEC,5.0,120.692,INTERMEDIATE
LEC,6.0,139.323,INTERMEDIATE
LEC,8.0,118.3,INTERMEDIATE
LEC,9.0,147.768,INTERMEDIATE
LEC,11.0,116.244,INTERMEDIATE
LEC,14.0,127.422,SOFT
LEC,15.0,116.338,SOFT
LEC,16.0,112.017,SOFT
LEC,17.0,140.202,SOFT
LEC,19.0,107.931,SOFT
LEC,20.0,129.632,SOFT
LEC,22.0,106.988,SOFT
PER,2.0,122.053,INTERMEDIATE
PER,3.0,122.404,INTERMEDIATE
PER,5.0,119.911,INTERMEDIATE
PER,7.0,118.899,INTERMEDIATE
PER,8.0,140.481,INTERMEDIATE
PER,10.0,115.982,INTERMEDIATE
PER,11.0,146.33,INTERMEDIATE
PER,13.0,125.139,SOFT
PER,14.0,115.151,SOFT
PER,15.0,112.353,SOFT
