Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-28 14:45:09,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 40%,,,,,
2023-07-28 14:51:32,Other,START OF QUALIFYING WILL BE DELAYED BY 10 MINUTES,,,,,
2023-07-28 14:56:17,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-07-28 14:57:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,
2023-07-28 14:57:58,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-07-28 14:58:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,
2023-07-28 14:58:47,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-07-28 14:59:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,
2023-07-28 14:59:30,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,
2023-07-28 15:01:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,
2023-07-28 15:02:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,
2023-07-28 15:02:31,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,
2023-07-28 15:02:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,
2023-07-28 15:02:44,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-07-28 15:03:21,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-07-28 15:06:38,Other,LOW GRIP CONDITIONS,,,,,
2023-07-28 15:06:40,Drs,DRS DISABLED,DISABLED,,,,
2023-07-28 15:06:51,Other,WET TRACK,,,,,
2023-07-28 15:07:45,Other,Q1 WILL START AT 17:10,,,,,
2023-07-28 15:10:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-28 15:14:40,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 2 17:13:01,,,,,
2023-07-28 15:15:44,Other,CAR 20 (MAG) TIME 2:03.925 DELETED - TRACK LIMITS AT TURN 10 LAP 3 17:14:42,,,,,
2023-07-28 15:16:24,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,
2023-07-28 15:16:26,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
2023-07-28 15:16:57,Other,TURN 18 INCIDENT INVOLVING CARS 1 (VER) AND 23 (ALB) NOTED - IMPEDING,,,,,
2023-07-28 15:18:13,Other,CAR 4 (NOR) TIME 2:07.059 DELETED - TRACK LIMITS AT TURN 15 LAP 4 17:16:23,,,,,
2023-07-28 15:23:53,Other,FIA STEWARDS: TURN 18 INCIDENT INVOLVING CARS 1 (VER) AND 23 (ALB) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,
2023-07-28 15:28:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-28 15:28:29,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,
2023-07-28 15:29:01,Other,CAR 3 (RIC) TIME 1:59.483 DELETED - TRACK LIMITS AT TURN 4 LAP 8 17:27:16,,,,,
2023-07-28 15:30:49,Other,TURN 9 INCIDENT INVOLVING CARS 10 (GAS) AND 23 (ALB) NOTED - IMPEDING,,,,,
2023-07-28 15:31:38,Other,Q2 WILL START AT 17:35,,,,,
2023-07-28 15:32:40,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 8,,,,,23
2023-07-28 15:35:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-07-28 15:36:05,Other,FIA STEWARDS: TURN 9 INCIDENT INVOLVING CAR 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - REJOINING THE TRACK UNSAFELY,,,,,
2023-07-28 15:42:12,Other,CAR 44 (HAM) TIME 2:54.329 DELETED - TRACK LIMITS AT TURN 4 LAP 13 17:39:44,,,,,
2023-07-28 15:43:04,Other,TURN 4 INCIDENT INVOLVING CARS 44 (HAM) AND 63 (RUS) NOTED - REJOINING THE TRACK UNSAFELY ,,,,,
2023-07-28 15:47:42,Other,CAR 1 (VER) TIME 2:03.027 DELETED - TRACK LIMITS AT TURN 9 LAP 14 17:46:17,,,,,
2023-07-28 15:48:41,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 44 (HAM) AND 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - REJOINING THE TRACK UNSAFELY ,,,,,
2023-07-28 15:50:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-07-28 15:50:12,Other,CAR 20 (MAG) TIME 2:06.560 DELETED - TRACK LIMITS AT TURN 9 LAP 16 17:48:49,,,,,
2023-07-28 15:50:33,Other,FIRST CAR TO TAKE THE FLAG - CAR 77 (BOT),,,,,
2023-07-28 15:52:13,Other,START OF Q3 WILL BE DELAYED,,,,,
2023-07-28 15:54:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,
