Driver,LapNumber,LapTime,Compound
LEC,2.0,112.839,SOFT
LEC,3.0,112.292,SOFT
LEC,4.0,112.479,SOFT
LEC,5.0,112.575,SOFT
LEC,6.0,112.684,SOFT
LEC,7.0,112.763,SOFT
LEC,8.0,112.641,SOFT
LEC,9.0,113.603,SOFT
LEC,10.0,113.559,SOFT
LEC,11.0,113.232,SOFT
LEC,12.0,113.523,SOFT
LEC,13.0,117.485,SOFT
LEC,14.0,125.902,MEDIUM
LEC,15.0,111.88,MEDIUM
LEC,16.0,112.064,MEDIUM
LEC,17.0,112.243,MEDIUM
LEC,18.0,112.168,MEDIUM
LEC,19.0,112.868,MEDIUM
LEC,20.0,115.838,MEDIUM
LEC,21.0,115.901,MEDIUM
LEC,22.0,116.499,MEDIUM
LEC,23.0,113.585,MEDIUM
LEC,24.0,111.81,MEDIUM
LEC,25.0,111.717,MEDIUM
LEC,26.0,111.75,MEDIUM
LEC,27.0,111.865,MEDIUM
LEC,28.0,115.953,MEDIUM
LEC,29.0,123.881,SOFT
LEC,30.0,110.436,SOFT
LEC,31.0,110.903,SOFT
LEC,32.0,111.681,SOFT
LEC,33.0,111.189,SOFT
LEC,34.0,110.726,SOFT
LEC,35.0,111.267,SOFT
LEC,36.0,111.143,SOFT
LEC,37.0,111.298,SOFT
LEC,38.0,111.312,SOFT
LEC,39.0,110.919,SOFT
LEC,40.0,111.833,SOFT
LEC,41.0,112.252,SOFT
LEC,42.0,111.419,SOFT
LEC,43.0,112.442,SOFT
LEC,44.0,113.706,SOFT
PER,2.0,112.166,SOFT
PER,3.0,112.153,SOFT
PER,4.0,112.336,SOFT
PER,5.0,112.572,SOFT
PER,6.0,112.466,SOFT
PER,7.0,112.52,SOFT
PER,8.0,112.305,SOFT
PER,9.0,112.465,SOFT
PER,10.0,112.72,SOFT
PER,11.0,112.644,SOFT
PER,12.0,112.973,SOFT
PER,13.0,117.632,SOFT
PER,14.0,126.242,MEDIUM
PER,15.0,111.621,MEDIUM
PER,16.0,111.416,MEDIUM
PER,17.0,112.175,MEDIUM
