Driver,LapNumber,LapTime,Compound
SAI,2.0,124.669,INTERMEDIATE
SAI,3.0,119.981,INTERMEDIATE
SAI,5.0,119.414,INTERMEDIATE
SAI,6.0,145.576,INTERMEDIATE
SAI,8.0,116.557,INTERMEDIATE
SAI,11.0,115.374,SOFT
SAI,13.0,109.081,SOFT
PIA,2.0,121.311,INTERMEDIATE
PIA,3.0,135.891,INTERMEDIATE
PIA,4.0,120.056,INTERMEDIATE
PIA,5.0,139.955,INTERMEDIATE
PIA,6.0,143.445,INTERMEDIATE
PIA,8.0,116.392,INTERMEDIATE
PIA,11.0,112.749,SOFT
PIA,13.0,109.067,SOFT
NOR,2.0,122.844,INTERMEDIATE
NOR,3.0,122.623,INTERMEDIATE
NOR,4.0,139.386,INTERMEDIATE
NOR,5.0,136.901,INTERMEDIATE
NOR,6.0,120.436,INTERMEDIATE
NOR,7.0,140.518,INTERMEDIATE
NOR,9.0,116.828,INTERMEDIATE
NOR,13.0,111.546,SOFT
NOR,15.0,109.389,SOFT
LEC,2.0,121.438,INTERMEDIATE
LEC,3.0,120.607,INTERMEDIATE
LEC,5.0,119.575,INTERMEDIATE
LEC,6.0,147.078,INTERMEDIATE
LEC,8.0,116.265,INTERMEDIATE
LEC,11.0,112.525,SOFT
LEC,13.0,109.251,SOFT
PER,2.0,121.046,INTERMEDIATE
PER,3.0,119.362,INTERMEDIATE
PER,5.0,121.948,INTERMEDIATE
PER,6.0,141.542,INTERMEDIATE
PER,8.0,115.878,INTERMEDIATE
PER,11.0,117.348,SOFT
PER,12.0,110.303,SOFT
PER,13.0,109.961,SOFT
ALB,2.0,121.933,INTERMEDIATE
ALB,3.0,129.494,INTERMEDIATE
ALB,5.0,119.198,INTERMEDIATE
ALB,6.0,144.957,INTERMEDIATE
TSU,2.0,126.731,INTERMEDIATE
TSU,3.0,121.154,INTERMEDIATE
TSU,5.0,120.568,INTERMEDIATE
MAG,2.0,131.739,INTERMEDIATE
MAG,4.0,125.078,INTERMEDIATE
MAG,5.0,147.288,INTERMEDIATE
MAG,6.0,121.079,INTERMEDIATE
RIC,2.0,122.492,INTERMEDIATE
RIC,3.0,120.976,INTERMEDIATE
RIC,5.0,120.177,INTERMEDIATE
RIC,8.0,117.687,INTERMEDIATE
RIC,9.0,139.765,INTERMEDIATE
HUL,2.0,127.874,INTERMEDIATE
HUL,3.0,148.747,INTERMEDIATE
HUL,4.0,126.265,INTERMEDIATE
HUL,5.0,143.999,INTERMEDIATE
HUL,6.0,139.224,INTERMEDIATE
ALO,2.0,121.461,INTERMEDIATE
ALO,4.0,119.038,INTERMEDIATE
ALO,5.0,149.901,INTERMEDIATE
HAM,2.0,122.297,INTERMEDIATE
HAM,3.0,139.104,INTERMEDIATE
HAM,4.0,119.674,INTERMEDIATE
HAM,6.0,118.939,INTERMEDIATE
HAM,7.0,132.645,INTERMEDIATE
HAM,9.0,115.823,INTERMEDIATE
HAM,13.0,111.198,SOFT
HAM,14.0,141.467,SOFT
HAM,15.0,109.9,SOFT
RUS,2.0,125.067,INTERMEDIATE
RUS,3.0,121.034,INTERMEDIATE
RUS,4.0,120.475,INTERMEDIATE
RUS,6.0,146.991,INTERMEDIATE
RUS,8.0,117.393,INTERMEDIATE
RUS,11.0,115.742,SOFT
RUS,12.0,130.811,SOFT
BOT,2.0,123.432,INTERMEDIATE
BOT,3.0,141.705,INTERMEDIATE
BOT,4.0,120.951,INTERMEDIATE
BOT,6.0,137.648,INTERMEDIATE
ZHO,2.0,124.686,INTERMEDIATE
ZHO,3.0,143.945,INTERMEDIATE
ZHO,4.0,121.43,INTERMEDIATE
ZHO,6.0,122.655,INTERMEDIATE
ZHO,7.0,146.459,INTERMEDIATE
SAR,2.0,123.81,INTERMEDIATE
SAR,3.0,126.2,INTERMEDIATE
SAR,5.0,120.031,INTERMEDIATE
SAR,6.0,141.554,INTERMEDIATE
STR,2.0,122.888,INTERMEDIATE
STR,3.0,147.215,INTERMEDIATE
STR,5.0,120.46,INTERMEDIATE
STR,6.0,141.442,INTERMEDIATE
GAS,2.0,121.086,INTERMEDIATE
GAS,3.0,120.77,INTERMEDIATE
GAS,5.0,120.032,INTERMEDIATE
GAS,6.0,141.669,INTERMEDIATE
GAS,8.0,116.137,INTERMEDIATE
GAS,12.0,127.244,SOFT
GAS,13.0,116.549,SOFT
GAS,14.0,109.7,SOFT
OCO,2.0,122.729,INTERMEDIATE
OCO,3.0,121.09,INTERMEDIATE
OCO,5.0,119.884,INTERMEDIATE
OCO,6.0,144.959,INTERMEDIATE
OCO,8.0,117.051,INTERMEDIATE
OCO,12.0,128.992,SOFT
OCO,13.0,112.363,SOFT
OCO,14.0,110.494,SOFT
VER,2.0,120.352,INTERMEDIATE
VER,3.0,118.958,INTERMEDIATE
VER,5.0,118.135,INTERMEDIATE
VER,6.0,139.051,INTERMEDIATE
VER,8.0,115.2,INTERMEDIATE
VER,11.0,111.286,SOFT
VER,12.0,136.182,SOFT
VER,13.0,109.056,SOFT
