Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-07-29 09:45:17,Other,RISK OF RAIN FOR F1 SPRINT SHOOTOUT IS 100%,,,,,
2023-07-29 09:46:17,Other,DRS DISABLED IN ZONE 1,,,,,
2023-07-29 09:46:30,Other,DRS ENABLED IN ZONE 1,,,,,
2023-07-29 09:47:01,Other,START OF SPRINT SHOOTOUT WILL BE DELAYED,,,,,
2023-07-29 09:56:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,
2023-07-29 09:57:14,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
2023-07-29 09:57:33,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,
2023-07-29 09:58:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,
2023-07-29 09:58:37,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,
2023-07-29 09:58:39,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,
2023-07-29 09:58:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,
2023-07-29 09:58:58,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,
2023-07-29 09:59:22,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,
2023-07-29 10:00:50,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2023-07-29 10:00:51,Other,DRS DISABLED IN ZONE 1,,,,,
2023-07-29 10:01:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,
2023-07-29 10:02:00,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-07-29 10:02:00,Other,DRS ENABLED IN ZONE 1,,,,,
2023-07-29 10:02:15,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,
2023-07-29 10:04:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,
2023-07-29 10:04:16,Other,DRS DISABLED IN ZONE 1,,,,,
2023-07-29 10:04:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,
2023-07-29 10:05:15,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-07-29 10:05:15,Other,DRS ENABLED IN ZONE 1,,,,,
2023-07-29 10:05:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,
2023-07-29 10:05:49,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,
2023-07-29 10:05:50,Other,DRS DISABLED IN ZONE 1,,,,,
2023-07-29 10:05:53,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,
2023-07-29 10:06:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,
2023-07-29 10:06:30,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,
2023-07-29 10:06:50,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,
2023-07-29 10:06:50,Other,DRS ENABLED IN ZONE 1,,,,,
