Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,21.718
PER,0.6666666666666666,22.515
ALO,0.6666666666666666,12.828
LEC,0.6666666666666666,4.031
STR,0.6666666666666666,29.796
SAR,0.6666666666666666,12.437
MAG,0.6666666666666666,16.062
TSU,0.6666666666666666,15.375
ALB,0.6666666666666666,31.234
ZHO,0.6666666666666666,18.047
HUL,0.6666666666666666,32.5
RIC,0.6666666666666666,28.671
OCO,0.6666666666666666,8.64
NOR,0.6666666666666666,5.922
HAM,0.6666666666666666,25.015
SAI,0.6666666666666666,26.328
RUS,0.6666666666666666,10.109
BOT,0.6666666666666666,31.703
PIA,0.6666666666666666,18.187
VER,1.0,0.0
GAS,1.0,16.234
PER,1.0,16.953
ALO,1.0,13.296
LEC,1.0,3.968
STR,1.0,24.562
SAR,1.0,12.625
MAG,1.0,16.562
TSU,1.0,15.609
ALB,1.0,25.781
ZHO,1.0,19.765
HUL,1.0,27.406
RIC,1.0,23.187
OCO,1.0,8.687
NOR,1.0,6.015
HAM,1.0,19.109
SAI,1.0,20.343
RUS,1.0,10.062
BOT,1.0,26.578
PIA,1.0,12.953
VER,1.3333333333333333,1.3980000000000001
GAS,1.3333333333333333,3.013
PER,1.3333333333333333,3.677
ALO,1.3333333333333333,14.603
LEC,1.3333333333333333,8.169
STR,1.3333333333333333,11.651
SAR,1.3333333333333333,15.539
MAG,1.3333333333333333,18.314
TSU,1.3333333333333333,17.517
ALB,1.3333333333333333,12.537
ZHO,1.3333333333333333,24.459
HUL,1.3333333333333333,14.701
RIC,1.3333333333333333,10.712
OCO,1.3333333333333333,11.182
NOR,1.3333333333333333,10.423
HAM,1.3333333333333333,5.55
SAI,1.3333333333333333,6.701
RUS,1.3333333333333333,12.3
BOT,1.3333333333333333,13.395
PIA,1.3333333333333333,0.0
VER,1.6666666666666665,1.755
GAS,1.6666666666666665,5.447
PER,1.6666666666666665,6.019
ALO,1.6666666666666665,18.958
LEC,1.6666666666666665,10.849
STR,1.6666666666666665,15.705
SAR,1.6666666666666665,19.949
MAG,1.6666666666666665,22.528
TSU,1.6666666666666665,21.647
ALB,1.6666666666666665,17.599
ZHO,1.6666666666666665,28.603
HUL,1.6666666666666665,18.536
RIC,1.6666666666666665,13.795
OCO,1.6666666666666665,14.83
NOR,1.6666666666666665,12.433
HAM,1.6666666666666665,7.229
SAI,1.6666666666666665,8.847
RUS,1.6666666666666665,16.42
BOT,1.6666666666666665,17.913
PIA,1.6666666666666665,0.0
VER,2.0,1.435
GAS,2.0,5.5600000000000005
PER,2.0,6.138
ALO,2.0,19.779
LEC,2.0,11.183
STR,2.0,16.279
SAR,2.0,20.123
MAG,2.0,22.812
TSU,2.0,21.915
ALB,2.0,17.716
ZHO,2.0,29.027
HUL,2.0,19.232
RIC,2.0,13.701
OCO,2.0,15.095
NOR,2.0,12.889
HAM,2.0,7.166
SAI,2.0,8.81
RUS,2.0,16.84
BOT,2.0,18.451
PIA,2.0,0.0
