Driver,LapNumber,LapTime,Compound
VER,2.0,134.962,INTERMEDIATE
VER,3.0,125.11,INTERMEDIATE
VER,6.0,118.943,INTERMEDIATE
VER,7.0,120.363,INTERMEDIATE
VER,8.0,121.417,INTERMEDIATE
VER,9.0,121.588,INTERMEDIATE
VER,10.0,121.128,INTERMEDIATE
VER,11.0,121.624,INTERMEDIATE
GAS,2.0,122.655,INTERMEDIATE
GAS,3.0,130.078,INTERMEDIATE
GAS,6.0,121.857,INTERMEDIATE
GAS,7.0,122.237,INTERMEDIATE
GAS,8.0,122.564,INTERMEDIATE
GAS,9.0,122.805,INTERMEDIATE
GAS,10.0,122.825,INTERMEDIATE
GAS,11.0,122.661,INTERMEDIATE
PER,2.0,122.516,INTERMEDIATE
PER,3.0,131.672,INTERMEDIATE
PER,6.0,123.393,INTERMEDIATE
PER,7.0,133.282,INTERMEDIATE
PER,8.0,133.293,INTERMEDIATE
ALO,2.0,139.843,INTERMEDIATE
LEC,2.0,140.531,INTERMEDIATE
LEC,3.0,134.881,INTERMEDIATE
LEC,6.0,122.97,INTERMEDIATE
LEC,7.0,122.635,INTERMEDIATE
LEC,8.0,123.004,INTERMEDIATE
LEC,9.0,122.836,INTERMEDIATE
LEC,10.0,123.006,INTERMEDIATE
LEC,11.0,122.952,INTERMEDIATE
STR,2.0,125.084,INTERMEDIATE
STR,3.0,137.598,INTERMEDIATE
STR,6.0,123.356,INTERMEDIATE
STR,7.0,124.383,INTERMEDIATE
STR,8.0,124.042,INTERMEDIATE
STR,9.0,123.939,INTERMEDIATE
STR,10.0,124.437,INTERMEDIATE
STR,11.0,124.362,INTERMEDIATE
SAR,2.0,140.889,INTERMEDIATE
SAR,3.0,141.795,INTERMEDIATE
SAR,6.0,123.482,INTERMEDIATE
SAR,7.0,124.814,INTERMEDIATE
SAR,8.0,124.709,INTERMEDIATE
SAR,9.0,124.756,INTERMEDIATE
SAR,10.0,125.133,INTERMEDIATE
SAR,11.0,125.715,INTERMEDIATE
MAG,2.0,139.657,INTERMEDIATE
MAG,3.0,143.512,INTERMEDIATE
MAG,6.0,123.965,INTERMEDIATE
MAG,7.0,125.062,INTERMEDIATE
MAG,8.0,124.381,INTERMEDIATE
MAG,9.0,125.11,INTERMEDIATE
MAG,10.0,125.034,INTERMEDIATE
MAG,11.0,125.141,INTERMEDIATE
TSU,2.0,139.692,INTERMEDIATE
TSU,3.0,143.003,INTERMEDIATE
TSU,6.0,122.465,INTERMEDIATE
TSU,7.0,122.08,INTERMEDIATE
TSU,8.0,123.742,INTERMEDIATE
TSU,9.0,125.138,INTERMEDIATE
TSU,10.0,125.669,INTERMEDIATE
TSU,11.0,126.953,INTERMEDIATE
ALB,2.0,125.307,INTERMEDIATE
ALB,3.0,140.338,INTERMEDIATE
ALB,6.0,123.674,INTERMEDIATE
ALB,7.0,124.403,INTERMEDIATE
ALB,8.0,124.461,INTERMEDIATE
ALB,9.0,124.444,INTERMEDIATE
ALB,10.0,123.702,INTERMEDIATE
ALB,11.0,124.172,INTERMEDIATE
ZHO,2.0,142.589,INTERMEDIATE
ZHO,3.0,139.297,INTERMEDIATE
ZHO,6.0,124.76,INTERMEDIATE
ZHO,7.0,124.86,INTERMEDIATE
ZHO,8.0,125.956,INTERMEDIATE
ZHO,9.0,125.056,INTERMEDIATE
ZHO,10.0,125.874,INTERMEDIATE
ZHO,11.0,125.195,INTERMEDIATE
HUL,2.0,125.178,INTERMEDIATE
HUL,3.0,141.685,INTERMEDIATE
HUL,6.0,123.472,INTERMEDIATE
HUL,7.0,124.666,INTERMEDIATE
HUL,8.0,127.094,INTERMEDIATE
HUL,9.0,126.425,INTERMEDIATE
HUL,10.0,126.604,INTERMEDIATE
HUL,11.0,126.302,INTERMEDIATE
RIC,2.0,123.92,INTERMEDIATE
RIC,3.0,137.023,INTERMEDIATE
RIC,6.0,123.104,INTERMEDIATE
RIC,7.0,123.819,INTERMEDIATE
RIC,8.0,122.967,INTERMEDIATE
RIC,9.0,123.92,INTERMEDIATE
RIC,10.0,124.611,INTERMEDIATE
RIC,11.0,125.761,INTERMEDIATE
OCO,2.0,139.768,INTERMEDIATE
OCO,3.0,137.406,INTERMEDIATE
OCO,6.0,123.061,INTERMEDIATE
OCO,7.0,123.938,INTERMEDIATE
OCO,8.0,123.452,INTERMEDIATE
OCO,9.0,124.197,INTERMEDIATE
OCO,10.0,123.984,INTERMEDIATE
OCO,11.0,124.373,INTERMEDIATE
NOR,2.0,140.222,INTERMEDIATE
NOR,3.0,135.222,INTERMEDIATE
NOR,6.0,122.628,INTERMEDIATE
NOR,7.0,123.684,INTERMEDIATE
NOR,8.0,122.085,INTERMEDIATE
NOR,9.0,122.899,INTERMEDIATE
NOR,10.0,123.496,INTERMEDIATE
NOR,11.0,122.99,INTERMEDIATE
HAM,2.0,121.37,INTERMEDIATE
HAM,3.0,131.418,INTERMEDIATE
HAM,6.0,122.93,INTERMEDIATE
HAM,7.0,120.92,INTERMEDIATE
HAM,8.0,122.87,INTERMEDIATE
HAM,9.0,122.722,INTERMEDIATE
HAM,10.0,122.793,INTERMEDIATE
HAM,11.0,122.837,INTERMEDIATE
SAI,2.0,121.887,INTERMEDIATE
SAI,3.0,133.335,INTERMEDIATE
SAI,6.0,122.722,INTERMEDIATE
SAI,7.0,121.472,INTERMEDIATE
SAI,8.0,122.797,INTERMEDIATE
SAI,9.0,123.04,INTERMEDIATE
SAI,10.0,122.627,INTERMEDIATE
SAI,11.0,122.885,INTERMEDIATE
RUS,2.0,140.091,INTERMEDIATE
RUS,3.0,139.548,INTERMEDIATE
RUS,6.0,123.388,INTERMEDIATE
RUS,7.0,122.38,INTERMEDIATE
RUS,8.0,123.143,INTERMEDIATE
RUS,9.0,122.601,INTERMEDIATE
RUS,10.0,121.935,INTERMEDIATE
RUS,11.0,122.478,INTERMEDIATE
BOT,2.0,125.273,INTERMEDIATE
BOT,3.0,141.135,INTERMEDIATE
BOT,6.0,123.595,INTERMEDIATE
BOT,7.0,124.61,INTERMEDIATE
BOT,8.0,124.275,INTERMEDIATE
BOT,9.0,124.657,INTERMEDIATE
BOT,10.0,123.988,INTERMEDIATE
BOT,11.0,123.984,INTERMEDIATE
PIA,2.0,120.36,INTERMEDIATE
PIA,3.0,124.56,INTERMEDIATE
PIA,6.0,121.251,INTERMEDIATE
PIA,7.0,121.566,INTERMEDIATE
PIA,8.0,122.699,INTERMEDIATE
PIA,9.0,122.759,INTERMEDIATE
PIA,10.0,121.865,INTERMEDIATE
PIA,11.0,122.125,INTERMEDIATE
