Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-08-25 10:15:10,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 30%,,,,,
2023-08-25 10:18:39,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-08-25 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-08-25 10:56:02,CarEvent,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 12,,,,,14
2023-08-25 11:11:34,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,
2023-08-25 11:11:35,Other,DRS DISABLED IN ZONE 2,,,,,
2023-08-25 11:11:54,Flag,RED FLAG,,RED,Track,,
2023-08-25 11:11:54,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
2023-08-25 11:17:55,Other,SESSION WILL RESUME AT 13:19,,,,,
2023-08-25 11:18:11,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-08-25 11:18:14,Drs,DRS ENABLED,ENABLED,,,,
2023-08-25 11:19:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-08-25 11:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-08-25 11:30:22,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,
2023-08-25 11:31:09,CarEvent,CAR 1 (VER) OFF TRACK AND CONTINUED AT TURN 11,,,,,1
2023-08-25 11:31:27,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-08-25 11:31:45,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,
2023-08-25 11:31:55,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-08-25 11:32:35,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,
2023-08-25 11:32:48,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-08-25 11:32:51,Drs,DRS ENABLED,ENABLED,,,,
2023-08-25 11:38:15,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,
2023-08-25 11:38:20,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,
2023-08-25 11:50:12,Other,RISK OF RAIN FOR F2 QUALIFYING SESSION IS 30%,,,,,
