Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-08-26 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-08-26 13:03:02,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 11,,,,,23
2023-08-26 13:03:44,CarEvent,CAR 27 (HUL) OFF TRACK AND CONTINUED AT TURN 1,,,,,27
2023-08-26 13:04:06,CarEvent,CAR 1 (VER) OFF TRACK AND CONTINUED AT TURN 1,,,,,1
2023-08-26 13:04:10,Other,CAR 23 (ALB) TIME 1:31.315 DELETED - TRACK LIMITS AT TURN 11 LAP 3 15:02:43,,,,,
2023-08-26 13:04:37,Other,CAR 27 (HUL) TIME 1:35.302 DELETED - TRACK LIMITS AT TURN 1 LAP 3 15:03:02,,,,,
2023-08-26 13:05:04,Other,CAR 16 (LEC) TIME 1:28.133 DELETED - TRACK LIMITS AT TURN 11 LAP 3 15:04:09,,,,,
2023-08-26 13:05:20,Other,CAR 1 (VER) TIME 1:48.525 DELETED - TRACK LIMITS AT TURN 1 LAP 3 15:03:29,,,,,
2023-08-26 13:05:29,Other,CAR 22 (TSU) TIME 1:31.572 DELETED - TRACK LIMITS AT TURN 11 LAP 4 15:04:53,,,,,
2023-08-26 13:07:44,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 1,,,,,16
2023-08-26 13:08:08,CarEvent,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 1,,,,,10
2023-08-26 13:09:07,Other,CAR 16 (LEC) TIME 1:40.877 DELETED - TRACK LIMITS AT TURN 1 LAP 6 15:07:28,,,,,
2023-08-26 13:09:36,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 1,,,,,16
2023-08-26 13:09:41,Other,CAR 10 (GAS) TIME 1:47.621 DELETED - TRACK LIMITS AT TURN 1 LAP 6 15:07:52,,,,,
2023-08-26 13:10:41,Other,CAR 16 (LEC) TIME 1:33.914 DELETED - TRACK LIMITS AT TURN 1 LAP 7 15:09:09,,,,,
2023-08-26 13:13:08,CarEvent,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 1,,,,,10
2023-08-26 13:13:46,Other,TURN 13 INCIDENT INVOLVING CARS 44 (HAM) AND 18 (STR) NOTED - IMPEDING,,,,,
2023-08-26 13:14:56,Other,TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 55 (SAI) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,
2023-08-26 13:16:24,Other,TURN 13 INCIDENT INVOLVING CARS 44 (HAM) AND 14 (ALO) NOTED - IMPEDING,,,,,
2023-08-26 13:17:50,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 44 (HAM) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-08-26 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-08-26 13:18:27,Other,FIRST CAR TO TAKE THE FLAG - CAR 77 (BOT),,,,,
2023-08-26 13:18:34,Other,CAR 20 (MAG) TIME 1:56.175 DELETED - TRACK LIMITS AT TURN 1 LAP 11 15:15:45,,,,,
2023-08-26 13:21:07,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,
2023-08-26 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-08-26 13:26:49,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 44 (HAM) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,
2023-08-26 13:29:41,Other,CAR 10 (GAS) TIME 1:33.650 DELETED - TRACK LIMITS AT TURN 3 LAP 14 15:28:10,,,,,
