Driver,LapNumber,GapTime
VER,0.6666666666666666,0.0
GAS,0.6666666666666666,3.953
PER,0.6666666666666666,2.5
ALO,0.6666666666666666,1.078
LEC,0.6666666666666666,3.156
STR,0.6666666666666666,3.906
SAR,0.6666666666666666,5.281
MAG,0.6666666666666666,11.265
TSU,0.6666666666666666,5.859
ALB,0.6666666666666666,1.875
ZHO,0.6666666666666666,5.266
HUL,0.6666666666666666,4.219
OCO,0.6666666666666666,4.984
NOR,0.6666666666666666,0.563
LAW,0.6666666666666666,6.437
HAM,0.6666666666666666,4.578
SAI,0.6666666666666666,2.344
RUS,0.6666666666666666,1.453
BOT,0.6666666666666666,4.141
PIA,0.6666666666666666,3.0
VER,1.0,0.0
GAS,1.0,12.359
PER,1.0,8.156
ALO,1.0,1.156
LEC,1.0,11.281
STR,1.0,5.422
SAR,1.0,8.156
MAG,1.0,20.422
TSU,1.0,15.359
ALB,1.0,2.672
ZHO,1.0,13.937
HUL,1.0,6.453
OCO,1.0,7.547
NOR,1.0,0.625
LAW,1.0,18.937
HAM,1.0,7.141
SAI,1.0,3.094
RUS,1.0,1.641
BOT,1.0,6.156
PIA,1.0,4.125
VER,1.3333333333333333,0.0
GAS,1.3333333333333333,34.012
PER,1.3333333333333333,24.159
ALO,1.3333333333333333,1.177
LEC,1.3333333333333333,36.981
STR,1.3333333333333333,7.547
SAR,1.3333333333333333,10.273
MAG,1.3333333333333333,45.544
TSU,1.3333333333333333,40.675
ALB,1.3333333333333333,3.219
ZHO,1.3333333333333333,32.637
HUL,1.3333333333333333,8.08
OCO,1.3333333333333333,8.642
NOR,1.3333333333333333,1.669
LAW,1.3333333333333333,55.443
HAM,1.3333333333333333,10.008
SAI,1.3333333333333333,4.235
RUS,1.3333333333333333,2.424
BOT,1.3333333333333333,7.835
PIA,1.3333333333333333,5.368
VER,1.6666666666666665,0.0
GAS,1.6666666666666665,27.033
PER,1.6666666666666665,16.817
ALO,1.6666666666666665,0.58
LEC,1.6666666666666665,30.525
STR,1.6666666666666665,8.532
SAR,1.6666666666666665,13.416
MAG,1.6666666666666665,39.007
TSU,1.6666666666666665,34.074
ALB,1.6666666666666665,3.177
ZHO,1.6666666666666665,26.525
HUL,1.6666666666666665,10.0
OCO,1.6666666666666665,10.382
NOR,1.6666666666666665,1.424
LAW,1.6666666666666665,49.284
HAM,1.6666666666666665,13.04
SAI,1.6666666666666665,4.758
RUS,1.6666666666666665,2.211
BOT,1.6666666666666665,9.647
PIA,1.6666666666666665,6.214
VER,2.0,1.478
GAS,2.0,18.281
PER,2.0,9.273
ALO,2.0,2.832
LEC,2.0,21.691
STR,2.0,7.234
SAR,2.0,13.211
MAG,2.0,30.175
TSU,2.0,25.635
ALB,2.0,2.378
ZHO,2.0,18.003
HUL,2.0,9.236
OCO,2.0,15.972
NOR,2.0,0.0
LAW,2.0,40.344
HAM,2.0,13.077
SAI,2.0,7.731
RUS,2.0,0.328
BOT,2.0,8.645
PIA,2.0,4.591
VER,2.3333333333333335,14.094
GAS,2.3333333333333335,12.069
PER,2.3333333333333335,2.6959999999999997
ALO,2.3333333333333335,15.687
LEC,2.3333333333333335,15.181
STR,2.3333333333333335,7.651
SAR,2.3333333333333335,15.447
MAG,2.3333333333333335,22.916
TSU,2.3333333333333335,17.832
ALB,2.3333333333333335,2.583
ZHO,2.3333333333333335,11.464
HUL,2.3333333333333335,9.543
OCO,2.3333333333333335,30.704
NOR,2.3333333333333335,1.749
LAW,2.3333333333333335,33.125
HAM,2.3333333333333335,14.911
SAI,2.3333333333333335,20.512
RUS,2.3333333333333335,0.0
BOT,2.3333333333333335,9.133
PIA,2.3333333333333335,4.268
VER,2.6666666666666665,11.821
GAS,2.6666666666666665,9.983
PER,2.6666666666666665,0.0
ALO,2.6666666666666665,14.339
LEC,2.6666666666666665,13.598
STR,2.6666666666666665,13.896
SAR,2.6666666666666665,23.557
MAG,2.6666666666666665,19.919
TSU,2.6666666666666665,16.088
ALB,2.6666666666666665,8.329
ZHO,2.6666666666666665,9.71
HUL,2.6666666666666665,16.265
OCO,2.6666666666666665,27.714
NOR,2.6666666666666665,6.759
LAW,2.6666666666666665,29.342
HAM,2.6666666666666665,21.936
SAI,2.6666666666666665,17.875
RUS,2.6666666666666665,4.369
BOT,2.6666666666666665,15.421
PIA,2.6666666666666665,9.493
VER,3.0,13.341
GAS,3.0,12.952
PER,3.0,0.0
ALO,3.0,15.394
LEC,3.0,15.177
STR,3.0,22.469
SAR,3.0,32.604
MAG,3.0,21.578
TSU,3.0,18.587
ALB,3.0,15.818999999999999
ZHO,3.0,11.134
HUL,3.0,24.633
OCO,3.0,29.272
NOR,3.0,18.349
LAW,3.0,30.367
HAM,3.0,35.297
SAI,3.0,19.161
RUS,3.0,10.443
BOT,3.0,24.174
PIA,3.0,17.272
VER,3.3333333333333335,13.853
GAS,3.3333333333333335,13.503
PER,3.3333333333333335,0.0
ALO,3.3333333333333335,15.637
LEC,3.3333333333333335,15.159
STR,3.3333333333333335,29.396
SAR,3.3333333333333335,39.304
MAG,3.3333333333333335,23.28
TSU,3.3333333333333335,20.5
ALB,3.3333333333333335,23.139
ZHO,3.3333333333333335,11.691
HUL,3.3333333333333335,31.072
OCO,3.3333333333333335,30.044
NOR,3.3333333333333335,39.308
LAW,3.3333333333333335,31.082
HAM,3.3333333333333335,54.303
SAI,3.3333333333333335,19.973
RUS,3.3333333333333335,16.668
BOT,3.3333333333333335,30.596
PIA,3.3333333333333335,23.844
VER,3.6666666666666665,14.621
GAS,3.6666666666666665,13.679
PER,3.6666666666666665,0.0
ALO,3.6666666666666665,16.923000000000002
LEC,3.6666666666666665,16.55
STR,3.6666666666666665,38.819
SAR,3.6666666666666665,49.41
MAG,3.6666666666666665,24.774
TSU,3.6666666666666665,22.573
ALB,3.6666666666666665,32.291
ZHO,3.6666666666666665,12.093
HUL,3.6666666666666665,40.837
OCO,3.6666666666666665,31.948
NOR,3.6666666666666665,40.665
LAW,3.6666666666666665,33.473
HAM,3.6666666666666665,54.287
SAI,3.6666666666666665,20.949
RUS,3.6666666666666665,25.112
BOT,3.6666666666666665,40.152
PIA,3.6666666666666665,33.675
VER,4.0,14.25
GAS,4.0,13.618
PER,4.0,0.0
ALO,4.0,17.277
LEC,4.0,16.687
STR,4.0,52.168
SAR,4.0,56.949
MAG,4.0,24.533
TSU,4.0,23.318
ALB,4.0,39.818
ZHO,4.0,12.078
HUL,4.0,48.744
OCO,4.0,31.859
NOR,4.0,41.544
LAW,4.0,34.468
HAM,4.0,54.253
SAI,4.0,20.553
RUS,4.0,35.882
BOT,4.0,48.078
PIA,4.0,40.599
VER,4.333333333333333,13.963
GAS,4.333333333333333,13.475999999999999
PER,4.333333333333333,0.0
ALO,4.333333333333333,17.303
LEC,4.333333333333333,16.949
STR,4.333333333333333,71.557
SAR,4.333333333333333,61.714
MAG,4.333333333333333,24.248
TSU,4.333333333333333,23.395
ALB,4.333333333333333,43.481
ZHO,4.333333333333333,12.178
HUL,4.333333333333333,51.652
OCO,4.333333333333333,31.445
NOR,4.333333333333333,42.261
LAW,4.333333333333333,34.876
HAM,4.333333333333333,53.851
SAI,4.333333333333333,20.8
RUS,4.333333333333333,56.569
BOT,4.333333333333333,50.617
PIA,4.333333333333333,44.207
VER,4.666666666666667,13.587
GAS,4.666666666666667,13.204
PER,4.666666666666667,0.0
ALO,4.666666666666667,17.402
LEC,4.666666666666667,17.277
STR,4.666666666666667,71.037
SAR,4.666666666666667,68.425
MAG,4.666666666666667,24.596
TSU,4.666666666666667,23.495
ALB,4.666666666666667,50.268
ZHO,4.666666666666667,11.814
HUL,4.666666666666667,57.601
OCO,4.666666666666667,31.193
NOR,4.666666666666667,41.328
LAW,4.666666666666667,35.061
HAM,4.666666666666667,54.948
SAI,4.666666666666667,20.548000000000002
RUS,4.666666666666667,56.682
BOT,4.666666666666667,56.422
PIA,4.666666666666667,50.852
VER,5.0,13.611
GAS,5.0,13.352
PER,5.0,0.0
ALO,5.0,18.109
LEC,5.0,17.562
STR,5.0,71.973
SAR,5.0,75.865
MAG,5.0,24.7
TSU,5.0,24.038
ALB,5.0,56.995
ZHO,5.0,11.955
HUL,5.0,64.25
OCO,5.0,31.139
NOR,5.0,41.13
LAW,5.0,35.447
HAM,5.0,56.201
SAI,5.0,20.409
RUS,5.0,58.93
BOT,5.0,62.838
PIA,5.0,57.398
VER,5.333333333333333,13.285
GAS,5.333333333333333,14.298
PER,5.333333333333333,0.0
ALO,5.333333333333333,18.021
LEC,5.333333333333333,17.697
STR,5.333333333333333,71.805
SAR,5.333333333333333,79.053
MAG,5.333333333333333,24.891
TSU,5.333333333333333,24.345
ALB,5.333333333333333,57.602
ZHO,5.333333333333333,11.772
HUL,5.333333333333333,64.308
OCO,5.333333333333333,31.038
NOR,5.333333333333333,40.544
LAW,5.333333333333333,35.609
HAM,5.333333333333333,55.663
SAI,5.333333333333333,20.633
RUS,5.333333333333333,58.852
BOT,5.333333333333333,63.07
PIA,5.333333333333333,57.974
VER,5.666666666666667,12.325
