Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-09-01 11:15:05,Other,RISK OF RAIN FOR THIS SESSION IS 0%,,,,,
2023-09-01 11:20:04,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-09-01 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-01 12:07:41,CarEvent,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 10,,,,,2
2023-09-01 12:08:19,Other,CORRECTION: CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 10,,,,,
2023-09-01 12:11:39,CarEvent,CAR 81 (PIA) MISSED THE APEX OF TURN 1,,,,,81
2023-09-01 12:26:48,CarEvent,CAR 31 (OCO) OFF TRACK AND CONTINUED AT TURN 10,,,,,31
2023-09-01 12:28:59,CarEvent,CAR 27 (HUL) MISSED THE APEX OF TURN 1,,,,,27
2023-09-01 12:29:34,CarEvent,CAR 77 (BOT) MISSED THE APEX OF TURN 1,,,,,77
2023-09-01 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-01 12:30:16,Other,FIRST CAR TO TAKE THE FLAG - CAR 20 (MAG),,,,,
2023-09-01 12:30:28,CarEvent,CAR 40 (LAW) OFF TRACK AND CONTINUED AT TURN 9,,,,,40
2023-09-01 12:31:41,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-09-01 12:31:56,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,
2023-09-01 12:32:14,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-09-01 12:33:01,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,
2023-09-01 12:33:16,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-01 12:33:18,Drs,DRS ENABLED,ENABLED,,,,
2023-09-01 12:50:11,Other,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 0%,,,,,
