Driver,LapNumber,LapTime,Compound
SAI,2.0,82.321,HARD
SAI,3.0,124.404,HARD
SAI,4.0,142.338,HARD
SAI,5.0,81.965,HARD
SAI,6.0,119.905,HARD
SAI,7.0,147.573,HARD
SAI,8.0,82.086,HARD
SAI,9.0,108.599,HARD
SAI,11.0,80.991,MEDIUM
SAI,12.0,107.915,MEDIUM
SAI,14.0,94.306,MEDIUM
SAI,16.0,80.532,SOFT
SAI,17.0,109.362,SOFT
SAI,19.0,80.294,SOFT
SAI,20.0,119.056,SOFT
VER,2.0,82.047,HARD
VER,3.0,115.589,HARD
VER,4.0,131.047,HARD
VER,5.0,81.573,HARD
VER,6.0,114.798,HARD
VER,7.0,144.365,HARD
VER,8.0,81.722,HARD
VER,9.0,111.941,HARD
VER,11.0,81.035,MEDIUM
VER,12.0,109.479,MEDIUM
VER,14.0,80.937,MEDIUM
VER,15.0,106.21,MEDIUM
VER,17.0,80.631,SOFT
VER,18.0,93.375,SOFT
VER,20.0,80.307,SOFT
HAM,2.0,82.513,HARD
HAM,3.0,114.844,HARD
HAM,5.0,82.233,HARD
HAM,6.0,113.013,HARD
HAM,8.0,81.977,HARD
HAM,9.0,110.768,HARD
HAM,11.0,81.866,MEDIUM
HAM,12.0,102.664,MEDIUM
HAM,14.0,81.369,MEDIUM
HAM,15.0,108.229,MEDIUM
HAM,17.0,81.298,SOFT
HAM,18.0,103.504,SOFT
HAM,20.0,80.82,SOFT
LEC,2.0,82.496,HARD
LEC,3.0,115.028,HARD
LEC,4.0,113.477,HARD
LEC,5.0,81.996,HARD
LEC,6.0,115.691,HARD
LEC,7.0,135.063,HARD
LEC,8.0,81.788,HARD
LEC,9.0,109.996,HARD
LEC,11.0,81.175,MEDIUM
LEC,12.0,104.938,MEDIUM
LEC,14.0,80.977,MEDIUM
LEC,15.0,107.479,MEDIUM
LEC,17.0,80.564,SOFT
LEC,18.0,102.828,SOFT
LEC,20.0,80.361,SOFT
ALO,2.0,82.48,HARD
ALO,3.0,110.914,HARD
ALO,4.0,82.043,HARD
ALO,5.0,113.535,HARD
ALO,7.0,90.11,HARD
ALO,8.0,116.305,HARD
ALO,10.0,81.543,MEDIUM
