Driver,LapNumber,LapTime,Compound
VER,2.0,86.163,MEDIUM
VER,3.0,85.702,MEDIUM
VER,4.0,86.05,MEDIUM
VER,5.0,86.176,MEDIUM
VER,6.0,86.837,MEDIUM
VER,7.0,86.368,MEDIUM
VER,8.0,85.99,MEDIUM
VER,9.0,86.605,MEDIUM
VER,10.0,86.603,MEDIUM
VER,11.0,86.643,MEDIUM
VER,12.0,86.442,MEDIUM
VER,13.0,86.666,MEDIUM
VER,14.0,87.028,MEDIUM
VER,15.0,86.782,MEDIUM
VER,16.0,86.718,MEDIUM
VER,17.0,86.733,MEDIUM
VER,18.0,86.273,MEDIUM
VER,19.0,86.438,MEDIUM
VER,20.0,90.849,MEDIUM
VER,21.0,105.66,HARD
VER,22.0,85.885,HARD
VER,23.0,86.159,HARD
VER,24.0,86.327,HARD
VER,25.0,85.914,HARD
VER,26.0,85.786,HARD
VER,27.0,85.501,HARD
VER,28.0,85.434,HARD
VER,29.0,85.471,HARD
VER,30.0,85.398,HARD
VER,31.0,85.502,HARD
VER,32.0,85.41,HARD
VER,33.0,85.24,HARD
VER,34.0,85.683,HARD
VER,35.0,85.815,HARD
VER,36.0,85.598,HARD
VER,37.0,85.683,HARD
VER,38.0,85.585,HARD
VER,39.0,85.486,HARD
VER,40.0,85.901,HARD
VER,41.0,85.779,HARD
VER,42.0,85.912,HARD
VER,43.0,85.994,HARD
VER,44.0,85.751,HARD
VER,45.0,85.916,HARD
VER,46.0,86.185,HARD
VER,47.0,86.137,HARD
VER,48.0,87.235,HARD
VER,49.0,87.907,HARD
VER,50.0,88.393,HARD
VER,51.0,87.525,HARD
GAS,2.0,88.696,MEDIUM
GAS,3.0,87.916,MEDIUM
GAS,4.0,87.472,MEDIUM
GAS,5.0,87.694,MEDIUM
GAS,6.0,87.324,MEDIUM
GAS,7.0,87.21,MEDIUM
GAS,8.0,87.24,MEDIUM
GAS,9.0,87.366,MEDIUM
GAS,10.0,92.034,MEDIUM
GAS,11.0,110.17,HARD
GAS,12.0,87.431,HARD
GAS,13.0,87.368,HARD
GAS,14.0,87.348,HARD
GAS,15.0,87.363,HARD
GAS,16.0,87.088,HARD
GAS,17.0,87.076,HARD
GAS,18.0,87.053,HARD
GAS,19.0,87.136,HARD
GAS,20.0,87.035,HARD
GAS,21.0,87.706,HARD
GAS,22.0,87.219,HARD
GAS,23.0,87.454,HARD
GAS,24.0,87.06,HARD
GAS,25.0,87.223,HARD
GAS,26.0,87.59,HARD
GAS,27.0,87.189,HARD
GAS,28.0,87.521,HARD
GAS,29.0,87.383,HARD
GAS,30.0,87.658,HARD
GAS,31.0,92.204,HARD
GAS,32.0,106.72,MEDIUM
GAS,33.0,86.439,MEDIUM
GAS,34.0,86.877,MEDIUM
GAS,35.0,86.903,MEDIUM
GAS,36.0,86.797,MEDIUM
GAS,37.0,86.499,MEDIUM
GAS,38.0,86.357,MEDIUM
GAS,39.0,86.736,MEDIUM
GAS,40.0,86.548,MEDIUM
GAS,41.0,86.346,MEDIUM
GAS,42.0,86.425,MEDIUM
GAS,43.0,85.921,MEDIUM
GAS,44.0,85.758,MEDIUM
