Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-09-16 09:15:13,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 20%,,,,,
2023-09-16 09:23:16,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,
2023-09-16 09:23:59,Other,DRS DISABLED IN ZONE 3,,,,,
2023-09-16 09:24:42,Other,DRS ENABLED IN ZONE 3,,,,,
2023-09-16 09:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-16 09:40:56,CarEvent,CAR 1 (VER) OFF TRACK AND CONTINUED AT TURN 14,,,,,1
2023-09-16 09:55:20,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-09-16 09:55:22,Other,DRS DISABLED IN ZONE 3,,,,,
2023-09-16 09:55:41,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-09-16 09:55:41,Other,DRS ENABLED IN ZONE 3,,,,,
2023-09-16 09:55:48,CarEvent,CAR 40 (LAW) SPUN AND CONTINUED AT TURN 2,,,,,40
2023-09-16 10:10:08,Flag,BLACK AND WHITE FLAG FOR CAR 77 (BOT) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,,BLACK AND WHITE,Driver,,77
2023-09-16 10:18:58,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,
2023-09-16 10:18:59,Other,DRS DISABLED IN ZONE 2,,,,,
2023-09-16 10:19:08,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,
2023-09-16 10:19:08,Other,DRS ENABLED IN ZONE 2,,,,,
2023-09-16 10:19:19,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 14,,,,,23
2023-09-16 10:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-16 10:30:19,Other,FIRST CAR TO TAKE THE FLAG - CAR 24 (ZHO),,,,,
2023-09-16 10:44:43,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,
2023-09-16 10:44:55,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,
