Driver,LapNumber,LapTime,Compound
SAI,2.0,92.965,SOFT
SAI,4.0,140.661,SOFT
SAI,5.0,92.339,SOFT
SAI,6.0,120.214,SOFT
SAI,8.0,103.862,SOFT
SAI,10.0,91.893,SOFT
SAI,11.0,126.817,SOFT
SAI,13.0,91.439,SOFT
SAI,14.0,126.886,SOFT
SAI,16.0,91.17,SOFT
SAI,17.0,116.82,SOFT
SAI,19.0,90.984,SOFT
RUS,2.0,92.478,SOFT
RUS,5.0,92.331,SOFT
RUS,8.0,91.743,SOFT
RUS,9.0,132.705,SOFT
RUS,11.0,131.957,SOFT
RUS,13.0,91.8,SOFT
RUS,14.0,122.636,SOFT
RUS,16.0,91.056,SOFT
NOR,2.0,92.556,SOFT
NOR,4.0,148.349,SOFT
NOR,5.0,92.483,SOFT
NOR,6.0,121.547,SOFT
NOR,8.0,93.291,SOFT
NOR,11.0,91.951,SOFT
NOR,12.0,124.256,SOFT
NOR,14.0,133.666,SOFT
NOR,16.0,91.539,SOFT
NOR,17.0,119.269,SOFT
NOR,19.0,91.27,SOFT
VER,2.0,92.862,SOFT
VER,4.0,137.45,SOFT
VER,5.0,92.398,SOFT
VER,6.0,112.902,SOFT
VER,8.0,112.407,SOFT
VER,10.0,92.307,SOFT
VER,11.0,120.904,SOFT
VER,13.0,92.173,SOFT
VER,14.0,117.582,SOFT
LEC,2.0,92.523,SOFT
LEC,4.0,144.53,SOFT
LEC,5.0,92.406,SOFT
LEC,6.0,117.673,SOFT
LEC,8.0,100.754,SOFT
LEC,11.0,92.15,SOFT
LEC,12.0,119.685,SOFT
LEC,14.0,92.012,SOFT
LEC,15.0,125.778,SOFT
LEC,17.0,91.421,SOFT
LEC,18.0,110.825,SOFT
LEC,20.0,91.063,SOFT
HAM,2.0,92.651,SOFT
HAM,3.0,142.506,SOFT
HAM,5.0,110.98,SOFT
HAM,7.0,92.019,SOFT
HAM,10.0,122.482,SOFT
HAM,12.0,91.91,SOFT
HAM,13.0,118.034,SOFT
HAM,15.0,91.485,SOFT
PIA,2.0,92.902,SOFT
PIA,4.0,136.544,SOFT
PIA,5.0,93.067,SOFT
PIA,6.0,119.678,SOFT
PIA,8.0,93.717,SOFT
PER,2.0,92.563,SOFT
PER,4.0,147.509,SOFT
PER,5.0,145.154,SOFT
PER,7.0,92.099,SOFT
PER,10.0,92.31,SOFT
PER,11.0,122.975,SOFT
HUL,2.0,93.708,SOFT
HUL,3.0,145.036,SOFT
HUL,4.0,138.073,SOFT
HUL,5.0,93.16,SOFT
HUL,6.0,111.213,SOFT
HUL,8.0,92.1,SOFT
HUL,9.0,140.32,SOFT
HUL,11.0,92.348,SOFT
HUL,12.0,116.735,SOFT
HUL,14.0,91.994,SOFT
HUL,15.0,125.414,SOFT
HUL,17.0,92.537,SOFT
HUL,18.0,113.052,SOFT
HUL,20.0,91.808,SOFT
TSU,2.0,92.93,SOFT
TSU,3.0,121.417,SOFT
TSU,5.0,91.991,SOFT
TSU,6.0,148.287,SOFT
TSU,10.0,128.169,SOFT
MAG,2.0,93.2,SOFT
MAG,4.0,148.445,SOFT
MAG,5.0,93.038,SOFT
MAG,6.0,149.364,SOFT
MAG,8.0,92.242,SOFT
MAG,9.0,141.805,SOFT
MAG,11.0,92.17,SOFT
MAG,12.0,121.589,SOFT
MAG,14.0,91.892,SOFT
MAG,15.0,131.712,SOFT
MAG,17.0,92.396,SOFT
MAG,18.0,113.708,SOFT
MAG,20.0,91.575,SOFT
OCO,2.0,92.911,SOFT
OCO,3.0,129.589,SOFT
OCO,5.0,92.369,SOFT
OCO,6.0,145.662,SOFT
OCO,8.0,92.278,SOFT
OCO,9.0,123.086,SOFT
OCO,11.0,92.089,SOFT
OCO,12.0,131.576,SOFT
OCO,14.0,92.564,SOFT
OCO,15.0,124.877,SOFT
OCO,17.0,91.673,SOFT
ALO,2.0,129.403,SOFT
ALO,3.0,92.584,SOFT
ALO,4.0,120.82,SOFT
ALO,6.0,111.172,SOFT
ALO,8.0,91.835,SOFT
ALO,11.0,108.918,SOFT
ALO,13.0,92.168,SOFT
ALO,14.0,114.221,SOFT
ALO,16.0,91.615,SOFT
STR,2.0,112.957,SOFT
STR,3.0,93.904,SOFT
STR,5.0,93.397,SOFT
STR,6.0,143.486,SOFT
GAS,2.0,92.654,SOFT
GAS,3.0,124.459,SOFT
GAS,5.0,92.452,SOFT
GAS,8.0,92.279,SOFT
GAS,9.0,120.78,SOFT
GAS,11.0,92.274,SOFT
LAW,2.0,93.601,SOFT
LAW,5.0,92.724,SOFT
LAW,6.0,114.028,SOFT
LAW,8.0,92.215,SOFT
LAW,11.0,92.507,SOFT
LAW,12.0,127.88,SOFT
LAW,14.0,92.166,SOFT
LAW,15.0,129.799,SOFT
LAW,17.0,92.811,SOFT
LAW,18.0,123.513,SOFT
LAW,20.0,92.268,SOFT
ALB,2.0,93.627,SOFT
ALB,3.0,122.629,SOFT
ALB,5.0,92.668,SOFT
ALB,6.0,145.466,SOFT
ALB,8.0,93.719,SOFT
