Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-09-16 12:45:18,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 10%,,,,,
2023-09-16 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-16 13:09:45,Other,TURN 8 INCIDENT INVOLVING CARS 2 (SAR) AND 18 (STR) NOTED - IMPEDING,,,,,
2023-09-16 13:12:14,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 2 (SAR) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-09-16 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-16 13:19:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,
2023-09-16 13:19:12,Other,DRS DISABLED IN ZONE 3,,,,,
2023-09-16 13:19:16,Flag,RED FLAG,,RED,Track,,
2023-09-16 13:19:17,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
2023-09-16 13:21:34,Other,START OF Q2 WILL BE DELAYED,,,,,
2023-09-16 13:26:42,Other,PIT LANE INCIDENT FROM Q1 INVOLVING CAR 1 (VER) NOTED - IMPEDING,,,,,
2023-09-16 13:27:24,Other,FIA STEWARDS: PIT LANE INCIDENT FROM Q1 INVOLVING CAR 1 (VER) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-09-16 13:32:56,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-16 13:32:59,Drs,DRS ENABLED,ENABLED,,,,
2023-09-16 13:33:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,
2023-09-16 13:34:02,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,
2023-09-16 13:36:00,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,
2023-09-16 13:36:01,Other,DRS DISABLED IN ZONE 3,,,,,
2023-09-16 13:38:00,Other,INCIDENT BETWEEN SEVERAL CARS IN TURNS 16 TO 19 NOTED - IMPEDING,,,,,
2023-09-16 13:39:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,
2023-09-16 13:39:39,Other,FIA STEWARDS: INCIDENT BETWEEN SEVERAL CARS IN TURNS 16 TO 19 WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-09-16 13:39:40,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,
2023-09-16 13:48:23,Other,Q2 WILL START AT 21:53,,,,,
2023-09-16 13:48:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,
2023-09-16 13:49:08,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,
2023-09-16 13:49:31,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,
2023-09-16 13:49:31,Other,DRS ENABLED IN ZONE 3,,,,,
2023-09-16 13:53:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-16 14:02:34,Other,TURN 4 INCIDENT INVOLVING CARS 1 (VER) AND 22 (TSU) NOTED - IMPEDING,,,,,
2023-09-16 14:04:25,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 1 (VER) AND 22 (TSU) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,
2023-09-16 14:07:20,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,
2023-09-16 14:07:22,Other,DRS DISABLED IN ZONE 3,,,,,
2023-09-16 14:07:29,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,
2023-09-16 14:07:29,Other,DRS ENABLED IN ZONE 3,,,,,
2023-09-16 14:08:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-16 14:08:18,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,
2023-09-16 14:10:31,Other,TURN 3 INCIDENT INVOLVING CAR 16 (LEC) NOTED - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,
2023-09-16 14:10:46,Other,CAR 23 (ALB) TIME 1:33.147 DELETED - TRACK LIMITS AT TURN 19 LAP 12 22:09:04,,,,,
2023-09-16 14:11:27,Other,Q3 WILL START AT 22:16,,,,,
2023-09-16 14:16:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-16 14:16:15,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION - FAILING TO SLOW UNDER YELLOW FLAGS,,,,,
2023-09-16 14:28:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
