Driver,LapNumber,LapTime,Compound
VER,2.0,91.377,SOFT
VER,5.0,91.391,SOFT
VER,6.0,100.432,SOFT
VER,8.0,90.688,SOFT
VER,9.0,101.298,SOFT
VER,11.0,96.449,TEST_UNKNOWN
VER,12.0,97.458,TEST_UNKNOWN
VER,13.0,97.474,TEST_UNKNOWN
VER,14.0,97.388,TEST_UNKNOWN
VER,15.0,97.871,TEST_UNKNOWN
VER,16.0,112.252,TEST_UNKNOWN
VER,17.0,97.986,TEST_UNKNOWN
VER,18.0,98.213,TEST_UNKNOWN
SAR,2.0,94.563,TEST_UNKNOWN
SAR,3.0,141.882,TEST_UNKNOWN
SAR,4.0,94.483,TEST_UNKNOWN
SAR,5.0,124.994,TEST_UNKNOWN
SAR,7.0,92.32,SOFT
SAR,8.0,140.891,SOFT
SAR,9.0,148.092,SOFT
SAR,10.0,97.698,SOFT
SAR,12.0,97.994,SOFT
SAR,13.0,99.392,SOFT
SAR,14.0,98.392,SOFT
SAR,15.0,99.424,SOFT
SAR,16.0,104.487,SOFT
SAR,17.0,123.232,HARD
SAR,18.0,98.137,HARD
SAR,19.0,98.916,HARD
SAR,20.0,98.761,HARD
SAR,21.0,100.032,HARD
SAR,22.0,99.215,HARD
SAR,23.0,99.699,HARD
SAR,24.0,100.089,HARD
NOR,2.0,94.011,MEDIUM
NOR,4.0,92.124,MEDIUM
NOR,5.0,126.773,MEDIUM
NOR,7.0,91.152,SOFT
NOR,8.0,119.569,SOFT
NOR,10.0,97.162,SOFT
NOR,11.0,97.844,SOFT
NOR,12.0,98.798,SOFT
NOR,13.0,97.701,SOFT
NOR,14.0,98.113,SOFT
NOR,15.0,98.488,SOFT
NOR,16.0,98.611,SOFT
NOR,17.0,98.684,SOFT
NOR,18.0,98.906,SOFT
NOR,19.0,101.298,SOFT
NOR,20.0,116.989,MEDIUM
NOR,21.0,96.947,MEDIUM
GAS,2.0,94.525,TEST_UNKNOWN
GAS,3.0,117.325,TEST_UNKNOWN
GAS,5.0,93.421,MEDIUM
GAS,8.0,93.958,MEDIUM
GAS,9.0,118.686,MEDIUM
GAS,11.0,92.179,SOFT
GAS,12.0,128.152,SOFT
GAS,14.0,125.623,MEDIUM
GAS,15.0,98.805,MEDIUM
GAS,16.0,99.031,MEDIUM
GAS,17.0,99.072,MEDIUM
GAS,18.0,98.876,MEDIUM
GAS,19.0,99.264,MEDIUM
GAS,20.0,99.337,MEDIUM
GAS,21.0,99.342,MEDIUM
PER,2.0,93.447,MEDIUM
PER,4.0,93.021,MEDIUM
PER,5.0,116.496,MEDIUM
PER,7.0,92.363,TEST_UNKNOWN
PER,8.0,110.318,TEST_UNKNOWN
PER,10.0,91.71,SOFT
PER,11.0,113.665,SOFT
PER,13.0,97.711,MEDIUM
PER,14.0,97.391,MEDIUM
PER,15.0,97.584,MEDIUM
PER,16.0,97.792,MEDIUM
PER,17.0,98.511,MEDIUM
PER,18.0,98.508,MEDIUM
PER,19.0,99.09,MEDIUM
PER,20.0,99.104,MEDIUM
PER,21.0,99.161,MEDIUM
PER,22.0,99.449,MEDIUM
PER,23.0,99.432,MEDIUM
ALO,2.0,93.789,TEST_UNKNOWN
ALO,3.0,113.065,TEST_UNKNOWN
ALO,5.0,92.394,MEDIUM
ALO,7.0,92.68,MEDIUM
ALO,8.0,115.38,MEDIUM
ALO,10.0,91.492,SOFT
ALO,11.0,134.63,SOFT
ALO,13.0,97.461,SOFT
ALO,14.0,98.078,SOFT
ALO,15.0,98.369,SOFT
ALO,16.0,98.558,SOFT
ALO,17.0,103.395,SOFT
ALO,18.0,98.686,SOFT
ALO,19.0,99.398,SOFT
ALO,20.0,99.881,SOFT
ALO,21.0,99.19,SOFT
LEC,2.0,94.24,TEST_UNKNOWN
LEC,4.0,93.011,TEST_UNKNOWN
LEC,5.0,121.48,TEST_UNKNOWN
LEC,7.0,91.708,MEDIUM
LEC,8.0,125.408,MEDIUM
LEC,10.0,91.008,SOFT
LEC,13.0,97.589,SOFT
LEC,15.0,97.853,MEDIUM
LEC,16.0,97.589,MEDIUM
LEC,17.0,97.648,MEDIUM
LEC,18.0,98.018,MEDIUM
LEC,19.0,98.64,MEDIUM
LEC,20.0,99.501,MEDIUM
LEC,21.0,98.683,MEDIUM
LEC,22.0,103.622,MEDIUM
STR,2.0,94.191,TEST_UNKNOWN
STR,3.0,112.9,TEST_UNKNOWN
STR,5.0,93.05,MEDIUM
STR,8.0,93.005,MEDIUM
STR,9.0,109.78,MEDIUM
STR,11.0,91.771,SOFT
STR,12.0,119.652,SOFT
STR,14.0,98.371,MEDIUM
STR,15.0,98.339,MEDIUM
STR,16.0,98.68,MEDIUM
STR,17.0,98.669,MEDIUM
STR,18.0,101.557,MEDIUM
STR,19.0,126.385,MEDIUM
STR,20.0,98.844,MEDIUM
STR,21.0,99.155,MEDIUM
MAG,2.0,94.143,MEDIUM
MAG,4.0,143.879,MEDIUM
MAG,5.0,93.69,MEDIUM
MAG,6.0,128.87,MEDIUM
MAG,8.0,92.169,SOFT
MAG,11.0,115.288,SOFT
MAG,13.0,99.338,MEDIUM
MAG,14.0,99.239,MEDIUM
MAG,15.0,99.599,MEDIUM
MAG,16.0,99.748,MEDIUM
MAG,17.0,99.651,MEDIUM
MAG,18.0,100.47,MEDIUM
MAG,19.0,100.784,MEDIUM
MAG,20.0,102.955,MEDIUM
MAG,21.0,125.796,SOFT
MAG,22.0,98.508,SOFT
TSU,2.0,95.019,HARD
TSU,3.0,143.756,HARD
TSU,4.0,115.486,HARD
TSU,5.0,134.009,HARD
TSU,6.0,93.461,HARD
TSU,7.0,108.379,HARD
TSU,9.0,92.864,TEST_UNKNOWN
TSU,11.0,93.167,TEST_UNKNOWN
TSU,12.0,107.929,TEST_UNKNOWN
TSU,14.0,92.178,SOFT
TSU,15.0,115.627,SOFT
TSU,17.0,97.842,SOFT
TSU,18.0,98.213,SOFT
TSU,19.0,98.926,SOFT
TSU,20.0,98.969,SOFT
TSU,21.0,98.989,SOFT
TSU,22.0,99.179,SOFT
TSU,23.0,99.568,SOFT
TSU,24.0,99.834,SOFT
TSU,25.0,100.133,SOFT
ALB,2.0,93.482,TEST_UNKNOWN
ALB,3.0,110.689,TEST_UNKNOWN
ALB,5.0,92.367,MEDIUM
ALB,6.0,147.665,MEDIUM
ALB,7.0,110.579,MEDIUM
ALB,9.0,91.555,SOFT
ALB,10.0,115.563,SOFT
ALB,12.0,97.367,TEST_UNKNOWN
ALB,13.0,100.517,TEST_UNKNOWN
ALB,14.0,137.197,MEDIUM
ALB,15.0,98.004,MEDIUM
ALB,16.0,98.564,MEDIUM
ALB,17.0,99.004,MEDIUM
ALB,18.0,99.033,MEDIUM
ALB,19.0,99.457,MEDIUM
ALB,20.0,99.978,MEDIUM
ALB,21.0,100.656,MEDIUM
ALB,22.0,100.226,MEDIUM
ZHO,2.0,94.433,TEST_UNKNOWN
ZHO,3.0,140.544,TEST_UNKNOWN
ZHO,4.0,94.164,TEST_UNKNOWN
ZHO,5.0,148.703,TEST_UNKNOWN
ZHO,6.0,93.636,TEST_UNKNOWN
ZHO,7.0,118.219,TEST_UNKNOWN
ZHO,9.0,92.165,SOFT
ZHO,12.0,107.613,SOFT
ZHO,14.0,122.501,HARD
ZHO,15.0,112.604,HARD
HUL,2.0,123.206,TEST_UNKNOWN
HUL,3.0,94.27,TEST_UNKNOWN
HUL,4.0,131.97,TEST_UNKNOWN
HUL,6.0,94.418,TEST_UNKNOWN
HUL,7.0,107.968,TEST_UNKNOWN
HUL,9.0,91.797,SOFT
HUL,10.0,114.852,SOFT
HUL,11.0,140.666,SOFT
HUL,13.0,97.762,MEDIUM
HUL,14.0,98.794,MEDIUM
HUL,15.0,98.817,MEDIUM
HUL,16.0,98.928,MEDIUM
HUL,17.0,99.222,MEDIUM
HUL,18.0,99.466,MEDIUM
HUL,19.0,100.149,MEDIUM
HUL,20.0,99.745,MEDIUM
HUL,21.0,100.045,MEDIUM
HUL,22.0,102.797,MEDIUM
HUL,23.0,125.814,SOFT
OCO,2.0,93.928,TEST_UNKNOWN
OCO,3.0,125.856,TEST_UNKNOWN
OCO,5.0,93.027,MEDIUM
OCO,7.0,147.203,MEDIUM
OCO,8.0,93.559,MEDIUM
OCO,9.0,114.147,MEDIUM
OCO,11.0,91.794,SOFT
OCO,12.0,124.777,SOFT
OCO,14.0,99.19,MEDIUM
OCO,15.0,99.413,MEDIUM
OCO,16.0,99.713,MEDIUM
OCO,17.0,99.985,MEDIUM
OCO,18.0,99.321,MEDIUM
OCO,19.0,99.005,MEDIUM
OCO,20.0,99.292,MEDIUM
OCO,21.0,99.571,MEDIUM
LAW,2.0,94.506,HARD
LAW,3.0,140.458,HARD
LAW,4.0,93.757,HARD
LAW,5.0,105.625,HARD
LAW,7.0,93.098,TEST_UNKNOWN
LAW,8.0,138.687,TEST_UNKNOWN
LAW,9.0,93.248,TEST_UNKNOWN
LAW,10.0,108.192,TEST_UNKNOWN
LAW,12.0,92.141,SOFT
LAW,13.0,126.386,SOFT
LAW,15.0,98.009,SOFT
LAW,16.0,98.549,SOFT
LAW,17.0,98.738,SOFT
LAW,18.0,98.704,SOFT
LAW,19.0,99.08,SOFT
LAW,20.0,99.227,SOFT
LAW,21.0,102.998,SOFT
LAW,22.0,122.073,HARD
HAM,2.0,93.889,TEST_UNKNOWN
HAM,4.0,93.753,TEST_UNKNOWN
HAM,5.0,104.867,TEST_UNKNOWN
HAM,7.0,92.245,SOFT
HAM,10.0,92.431,SOFT
HAM,11.0,100.083,SOFT
HAM,13.0,91.829,SOFT
HAM,14.0,110.039,SOFT
HAM,16.0,98.679,SOFT
HAM,17.0,98.847,SOFT
HAM,18.0,98.727,SOFT
HAM,19.0,98.512,SOFT
HAM,20.0,98.962,SOFT
SAI,2.0,93.701,TEST_UNKNOWN
SAI,4.0,93.266,TEST_UNKNOWN
SAI,5.0,141.444,TEST_UNKNOWN
SAI,7.0,92.085,MEDIUM
SAI,8.0,120.3,MEDIUM
SAI,10.0,91.237,SOFT
SAI,13.0,97.628,MEDIUM
SAI,14.0,97.848,MEDIUM
SAI,15.0,97.89,MEDIUM
SAI,16.0,98.429,MEDIUM
SAI,17.0,99.133,MEDIUM
SAI,18.0,99.412,MEDIUM
SAI,19.0,106.331,MEDIUM
SAI,20.0,99.086,MEDIUM
SAI,21.0,99.327,MEDIUM
RUS,2.0,94.398,TEST_UNKNOWN
RUS,4.0,93.804,TEST_UNKNOWN
RUS,5.0,110.729,TEST_UNKNOWN
RUS,7.0,92.054,SOFT
RUS,10.0,95.989,SOFT
RUS,12.0,91.328,SOFT
RUS,13.0,127.248,SOFT
RUS,15.0,97.536,SOFT
RUS,16.0,98.188,SOFT
RUS,17.0,98.488,SOFT
RUS,18.0,98.855,SOFT
RUS,19.0,98.852,SOFT
RUS,20.0,99.103,SOFT
RUS,21.0,99.367,SOFT
BOT,2.0,93.163,TEST_UNKNOWN
BOT,4.0,93.57,TEST_UNKNOWN
BOT,5.0,148.711,TEST_UNKNOWN
BOT,6.0,94.089,TEST_UNKNOWN
BOT,7.0,122.983,TEST_UNKNOWN
BOT,9.0,91.739,SOFT
BOT,12.0,105.397,SOFT
BOT,14.0,96.393,HARD
BOT,15.0,97.538,HARD
BOT,16.0,101.941,HARD
BOT,17.0,98.369,HARD
BOT,18.0,99.018,HARD
BOT,19.0,99.178,HARD
BOT,20.0,98.855,HARD
BOT,21.0,98.884,HARD
BOT,22.0,101.933,HARD
PIA,2.0,93.423,MEDIUM
PIA,4.0,92.499,MEDIUM
PIA,5.0,118.398,MEDIUM
PIA,7.0,91.662,SOFT
PIA,8.0,118.269,SOFT
PIA,10.0,97.502,SOFT
PIA,11.0,100.604,SOFT
PIA,12.0,97.482,SOFT
PIA,13.0,98.441,SOFT
PIA,14.0,98.644,SOFT
PIA,15.0,102.729,SOFT
PIA,16.0,102.672,SOFT
PIA,17.0,120.478,MEDIUM
PIA,18.0,97.39,MEDIUM
PIA,19.0,98.267,MEDIUM
PIA,20.0,99.273,MEDIUM
PIA,21.0,99.461,MEDIUM
