Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-09-22 05:45:20,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 10%,,,,,
2023-09-22 06:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-22 06:57:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,
2023-09-22 06:57:20,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,
2023-09-22 06:57:25,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-09-22 06:57:33,Flag,RED FLAG,,RED,Track,,
2023-09-22 06:57:33,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-09-22 06:57:33,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,
2023-09-22 06:57:48,Other,SESSION WILL NOT BE RESUMED,,,,,
2023-09-22 06:58:19,Other,NO PRACTICE STARTS,,,,,
2023-09-22 07:01:48,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-22 07:19:59,Flag,RED FLAG,,RED,Track,,
2023-09-22 07:20:07,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-22 07:20:10,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-22 07:20:15,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-22 07:20:20,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-22 07:20:32,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-09-22 07:20:36,Flag,TRACK CLEAR,,CLEAR,Track,,
