Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-09-23 06:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-23 06:07:28,Other,CAR 27 (HUL) TIME 1:31.736 DELETED - TRACK LIMITS AT TURN 2 LAP 3 15:06:03,,,,,
2023-09-23 06:08:34,Other,CAR 10 (GAS) TIME 1:31.483 DELETED - TRACK LIMITS AT TURN 2 LAP 3 15:06:57,,,,,
2023-09-23 06:08:40,Flag,DOUBLE YELLOW IN TRACK SECTOR 22,,DOUBLE YELLOW,Sector,22.0,
2023-09-23 06:08:41,Flag,YELLOW IN TRACK SECTOR 22,,YELLOW,Sector,22.0,
2023-09-23 06:08:42,Other,DRS DISABLED IN ZONE 1,,,,,
2023-09-23 06:08:56,Flag,RED FLAG,,RED,Track,,
2023-09-23 06:08:56,Flag,CLEAR IN TRACK SECTOR 22,,CLEAR,Sector,22.0,
2023-09-23 06:10:00,Other,CAR 23 (ALB) TIME 1:31.424 DELETED - TRACK LIMITS AT TURN 8 LAP 3 15:07:37,,,,,
2023-09-23 06:17:59,Other,Q1 WILL RESUME AT 15:22,,,,,
2023-09-23 06:18:20,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-09-23 06:18:22,Drs,DRS ENABLED,ENABLED,,,,
2023-09-23 06:22:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-23 06:23:08,Other,"INCIDENT INVOLVING CARS 16 (LEC), 24 (ZHO) AND 77 (BOT) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM LAP TIME",,,,,
2023-09-23 06:31:03,Other,CAR 24 (ZHO) TIME 1:31.379 DELETED - TRACK LIMITS AT TURN 9 LAP 6 15:29:44,,,,,
2023-09-23 06:31:05,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-23 06:31:35,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,
2023-09-23 06:33:23,Other,Q2 WILL START AT 15:39,,,,,
2023-09-23 06:39:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-23 06:43:41,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 16 (LEC), 24 (ZHO) AND 77 (BOT) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM LAP TIME",,,,,
2023-09-23 06:54:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-23 06:54:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 40 (LAW),,,,,
2023-09-23 06:55:15,Other,Q3 WILL START AT 16:02,,,,,
2023-09-23 07:02:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-23 07:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-23 07:14:23,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,
