Driver,LapNumber,LapTime,Compound
VER,2.0,86.884,SOFT
VER,3.0,118.223,SOFT
VER,4.0,86.488,SOFT
VER,5.0,101.82,SOFT
VER,7.0,85.007,SOFT
VER,8.0,128.156,SOFT
VER,10.0,84.758,SOFT
VER,11.0,103.19,SOFT
VER,13.0,84.483,SOFT
VER,14.0,119.975,SOFT
VER,16.0,83.778,SOFT
VER,17.0,106.165,SOFT
RUS,2.0,93.851,MEDIUM
RUS,4.0,85.908,SOFT
RUS,5.0,114.764,SOFT
RUS,6.0,119.214,SOFT
RUS,7.0,136.329,SOFT
RUS,8.0,85.334,SOFT
RUS,9.0,118.25,SOFT
RUS,11.0,84.964,SOFT
RUS,12.0,119.704,SOFT
RUS,14.0,84.827,SOFT
RUS,15.0,114.117,SOFT
RUS,17.0,84.414,SOFT
RUS,18.0,111.778,SOFT
RUS,20.0,84.219,SOFT
RUS,21.0,126.491,SOFT
HAM,2.0,93.149,MEDIUM
HAM,4.0,86.093,SOFT
HAM,5.0,122.098,SOFT
HAM,6.0,86.076,SOFT
HAM,7.0,120.633,SOFT
HAM,8.0,86.16,SOFT
HAM,9.0,112.494,SOFT
HAM,11.0,85.183,SOFT
HAM,12.0,125.051,SOFT
HAM,14.0,84.381,SOFT
HAM,15.0,119.966,SOFT
HAM,17.0,84.305,SOFT
HAM,18.0,104.334,SOFT
ALO,2.0,86.715,SOFT
ALO,3.0,122.45,SOFT
ALO,4.0,85.685,SOFT
ALO,5.0,105.781,SOFT
ALO,7.0,85.223,SOFT
ALO,8.0,120.746,SOFT
ALO,9.0,120.952,SOFT
ALO,11.0,106.547,SOFT
ALO,12.0,85.241,SOFT
ALO,13.0,120.282,SOFT
ALO,15.0,105.338,SOFT
ALO,17.0,85.257,SOFT
ALO,18.0,116.272,SOFT
ALO,20.0,84.369,SOFT
LEC,2.0,86.444,SOFT
LEC,3.0,116.235,SOFT
LEC,4.0,86.098,SOFT
LEC,5.0,105.872,SOFT
LEC,6.0,123.028,SOFT
LEC,7.0,85.452,SOFT
LEC,8.0,114.887,SOFT
LEC,9.0,118.226,SOFT
LEC,10.0,100.21,SOFT
LEC,12.0,85.348,SOFT
LEC,13.0,99.757,SOFT
LEC,15.0,103.094,SOFT
LEC,16.0,85.079,SOFT
LEC,17.0,107.656,SOFT
LEC,18.0,85.159,SOFT
LEC,19.0,108.909,SOFT
LEC,21.0,112.292,SOFT
LEC,22.0,84.7,SOFT
LEC,23.0,99.154,SOFT
LEC,25.0,84.424,SOFT
PIA,2.0,86.723,SOFT
PIA,3.0,114.861,SOFT
PIA,4.0,92.739,SOFT
PIA,6.0,85.769,SOFT
PIA,7.0,121.112,SOFT
PIA,8.0,85.266,SOFT
PIA,9.0,115.34,SOFT
PIA,11.0,85.745,SOFT
PIA,12.0,110.664,SOFT
PIA,14.0,84.724,SOFT
PIA,15.0,115.721,SOFT
PIA,16.0,84.753,SOFT
PIA,17.0,116.091,SOFT
PIA,19.0,84.54,SOFT
PIA,20.0,107.972,SOFT
PIA,22.0,84.228,SOFT
GAS,2.0,86.799,SOFT
GAS,3.0,113.242,SOFT
GAS,4.0,89.275,SOFT
GAS,5.0,103.884,SOFT
GAS,7.0,85.831,SOFT
GAS,8.0,118.85,SOFT
GAS,9.0,85.566,SOFT
GAS,10.0,117.886,SOFT
GAS,12.0,85.218,SOFT
GAS,13.0,113.973,SOFT
GAS,14.0,94.35,SOFT
GAS,16.0,84.918,SOFT
GAS,17.0,115.922,SOFT
GAS,19.0,85.321,SOFT
GAS,20.0,118.732,SOFT
GAS,22.0,84.553,SOFT
OCO,2.0,87.159,SOFT
OCO,3.0,115.593,SOFT
OCO,4.0,86.395,SOFT
OCO,5.0,111.253,SOFT
OCO,7.0,85.868,SOFT
OCO,8.0,120.98,SOFT
OCO,9.0,85.711,SOFT
OCO,10.0,118.132,SOFT
OCO,12.0,86.854,SOFT
OCO,13.0,111.182,SOFT
OCO,14.0,85.628,SOFT
OCO,15.0,114.338,SOFT
OCO,17.0,84.928,SOFT
OCO,18.0,111.425,SOFT
OCO,20.0,85.094,SOFT
OCO,21.0,113.21,SOFT
OCO,23.0,84.763,SOFT
BOT,2.0,87.656,SOFT
BOT,3.0,119.574,SOFT
BOT,5.0,86.112,SOFT
BOT,6.0,105.705,SOFT
BOT,8.0,86.038,SOFT
BOT,9.0,115.133,SOFT
BOT,11.0,85.854,SOFT
BOT,12.0,115.924,SOFT
BOT,14.0,85.297,SOFT
BOT,15.0,119.484,SOFT
BOT,17.0,85.586,SOFT
BOT,18.0,116.055,SOFT
BOT,20.0,85.058,SOFT
NOR,2.0,86.043,SOFT
NOR,3.0,113.405,SOFT
NOR,4.0,94.523,SOFT
NOR,6.0,85.131,SOFT
NOR,7.0,124.972,SOFT
NOR,9.0,111.503,SOFT
NOR,10.0,94.819,SOFT
NOR,12.0,84.685,SOFT
NOR,13.0,118.551,SOFT
NOR,14.0,84.703,SOFT
NOR,15.0,113.977,SOFT
NOR,17.0,84.088,SOFT
NOR,18.0,111.011,SOFT
NOR,20.0,84.074,SOFT
NOR,21.0,121.863,SOFT
TSU,2.0,88.116,SOFT
TSU,3.0,119.991,SOFT
TSU,4.0,86.729,SOFT
TSU,5.0,113.928,SOFT
TSU,7.0,86.058,SOFT
TSU,8.0,132.652,SOFT
TSU,9.0,86.662,SOFT
TSU,10.0,117.965,SOFT
TSU,12.0,85.565,SOFT
TSU,13.0,103.973,SOFT
TSU,15.0,85.301,SOFT
TSU,16.0,130.399,SOFT
SAI,2.0,87.478,SOFT
SAI,3.0,117.926,SOFT
SAI,4.0,86.699,SOFT
SAI,5.0,103.262,SOFT
SAI,6.0,119.357,SOFT
SAI,7.0,102.934,SOFT
SAI,8.0,85.808,SOFT
SAI,9.0,119.186,SOFT
SAI,10.0,96.762,SOFT
SAI,12.0,85.798,SOFT
SAI,13.0,114.948,SOFT
SAI,15.0,105.89,SOFT
SAI,16.0,121.519,SOFT
SAI,17.0,85.328,SOFT
SAI,18.0,119.579,SOFT
PER,2.0,88.495,SOFT
PER,3.0,113.574,SOFT
PER,4.0,86.953,SOFT
PER,5.0,117.94,SOFT
PER,7.0,85.991,SOFT
PER,8.0,114.319,SOFT
PER,9.0,86.284,SOFT
PER,10.0,122.595,SOFT
PER,12.0,85.462,SOFT
PER,13.0,107.778,SOFT
PER,15.0,85.275,SOFT
PER,16.0,115.962,SOFT
ALB,2.0,86.974,SOFT
ALB,3.0,115.812,SOFT
ALB,4.0,87.485,SOFT
ALB,5.0,104.884,SOFT
ALB,7.0,86.303,SOFT
ALB,8.0,112.249,SOFT
ALB,9.0,86.118,SOFT
ALB,10.0,112.779,SOFT
ALB,12.0,85.707,SOFT
ALB,13.0,112.988,SOFT
ALB,15.0,96.669,SOFT
HUL,2.0,87.153,SOFT
HUL,3.0,112.431,SOFT
HUL,5.0,85.904,SOFT
HUL,6.0,112.506,SOFT
HUL,8.0,85.783,SOFT
HUL,9.0,104.826,SOFT
HUL,11.0,85.547,SOFT
HUL,12.0,113.823,SOFT
SAR,2.0,87.562,SOFT
