Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-10-06 16:45:10,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,
2023-10-06 17:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-06 17:04:05,Other,CAR 18 (STR) TIME 1:27.928 DELETED - TRACK LIMITS AT TURN 5 LAP 3 20:02:54,,,,,
2023-10-06 17:05:26,Other,CAR 4 (NOR) TIME 1:26.043 DELETED - TRACK LIMITS AT TURN 5 LAP 3 20:04:24,,,,,
2023-10-06 17:08:30,Other,CAR 10 (GAS) TIME 1:29.275 DELETED - TRACK LIMITS AT TURN 5 LAP 5 20:07:11,,,,,
2023-10-06 17:08:36,Other,CAR 16 (LEC) TIME 1:26.098 DELETED - TRACK LIMITS AT TURN 4 LAP 5 20:07:32,,,,,
2023-10-06 17:09:06,Other,CAR 10 (GAS) TIME 1:29.275 DELETED - TRACK LIMITS AT TURN 14 LAP 5 20:07:51,,,,,
2023-10-06 17:10:17,Other,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 12 LAP 5 20:08:31,,,,,
2023-10-06 17:11:20,Other,CAR 20 (MAG) TIME 1:27.504 DELETED - TRACK LIMITS AT TURN 15 LAP 6 20:10:43,,,,,
2023-10-06 17:12:21,Other,CAR 23 (ALB) TIME 1:26.974 DELETED - TRACK LIMITS AT TURN 5 LAP 3 20:04:41,,,,,
2023-10-06 17:13:53,Other,CAR 40 (LAW) TIME 4:19.664 DELETED - TRACK LIMITS AT TURN 15 LAP 7 20:13:01,,,,,
2023-10-06 17:14:00,Other,CAR 55 (SAI) TIME 1:42.934 DELETED - TRACK LIMITS AT TURN 5 LAP 8 20:12:37,,,,,
2023-10-06 17:17:14,Other,CAR 18 (STR) TIME 1:48.482 DELETED - TRACK LIMITS AT TURN 2 LAP 8 20:14:00,,,,,
2023-10-06 17:18:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-06 17:18:21,Other,FIRST CAR TO TAKE THE FLAG - CAR 20 (MAG),,,,,
2023-10-06 17:22:32,Other,"INCIDENT INVOLVING CARS 44 (HAM), 22 (TSU), 40 (LAW), 81 (PIA) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM LAP TIME ",,,,,
2023-10-06 17:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-06 17:26:24,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 44 (HAM), 22 (TSU), 40 (LAW), 81 (PIA) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM LAP TIME ",,,,,
2023-10-06 17:29:42,Other,CAR 31 (OCO) TIME 1:26.854 DELETED - TRACK LIMITS AT TURN 5 LAP 13 20:28:34,,,,,
2023-10-06 17:36:02,Other,CAR 55 (SAI) TIME 1:45.890 DELETED - TRACK LIMITS AT TURN 5 LAP 16 20:34:42,,,,,
2023-10-06 17:36:24,Other,CAR 16 (LEC) TIME 1:43.094 DELETED - TRACK LIMITS AT TURN 4 LAP 16 20:35:02,,,,,
2023-10-06 17:38:37,Other,CAR 55 (SAI) TIME 2:01.519 DELETED - TRACK LIMITS AT TURN 12 LAP 17 20:37:26,,,,,
2023-10-06 17:39:21,Other,INCIDENT INVOLVING CARS 1 (VER) AND 55 (SAI) NOTED - DRIVING ERRATICALLY,,,,,
2023-10-06 17:39:38,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 1 (VER) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - DRIVING ERRATICALLY,,,,,
2023-10-06 17:39:47,Other,CAR 27 (HUL) TIME 1:25.547 DELETED - TRACK LIMITS AT TURN 5 LAP 12 20:38:37,,,,,
2023-10-06 17:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-06 17:40:24,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,
2023-10-06 17:40:27,Other,CAR 11 (PER) TIME 1:25.275 DELETED - TRACK LIMITS AT TURN 5 LAP 16 20:38:49,,,,,
2023-10-06 17:41:32,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 16 20:40:49,,,,,
2023-10-06 17:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-10-06 17:52:03,Other,CAR 4 (NOR) TIME 1:24.088 DELETED - TRACK LIMITS AT TURN 5 LAP 18 20:51:04,,,,,
2023-10-06 17:52:11,Other,CAR 16 (LEC) TIME 1:52.292 DELETED - TRACK LIMITS AT TURN 5 LAP 22 20:50:42,,,,,
2023-10-06 18:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-10-06 18:00:24,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
2023-10-06 18:04:34,Other,CAR 4 (NOR) TIME 1:24.074 DELETED - TRACK LIMITS AT TURN 10 LAP 21 20:59:41,,,,,
2023-10-06 18:08:43,Other,CAR 81 (PIA) TIME 1:24.228 DELETED - TRACK LIMITS AT TURN 14 LAP 23 21:00:36,,,,,
