Driver,LapNumber,LapTime,Compound
VER,2.0,142.808,MEDIUM
VER,3.0,100.212,MEDIUM
VER,4.0,138.754,MEDIUM
VER,5.0,140.603,MEDIUM
VER,6.0,142.506,MEDIUM
VER,7.0,89.123,MEDIUM
VER,8.0,88.478,MEDIUM
VER,9.0,88.506,MEDIUM
VER,10.0,87.603,MEDIUM
VER,11.0,101.656,MEDIUM
VER,12.0,146.638,MEDIUM
VER,14.0,140.989,MEDIUM
VER,15.0,88.918,MEDIUM
VER,16.0,85.945,MEDIUM
VER,17.0,85.604,MEDIUM
VER,18.0,86.008,MEDIUM
VER,19.0,86.128,MEDIUM
GAS,2.0,134.132,SOFT
GAS,3.0,104.851,SOFT
GAS,4.0,138.916,SOFT
GAS,5.0,141.522,SOFT
GAS,6.0,136.723,SOFT
GAS,7.0,90.366,SOFT
GAS,8.0,89.729,SOFT
GAS,9.0,90.576,SOFT
GAS,10.0,90.504,SOFT
GAS,11.0,103.482,SOFT
GAS,12.0,144.525,SOFT
GAS,14.0,134.871,SOFT
GAS,15.0,90.312,SOFT
GAS,16.0,88.769,SOFT
GAS,17.0,90.522,SOFT
GAS,18.0,90.854,SOFT
GAS,19.0,89.766,SOFT
PER,2.0,135.315,MEDIUM
PER,3.0,106.478,MEDIUM
PER,4.0,138.573,MEDIUM
PER,5.0,141.239,MEDIUM
PER,6.0,136.461,MEDIUM
PER,7.0,90.138,MEDIUM
PER,8.0,89.658,MEDIUM
PER,9.0,88.584,MEDIUM
PER,10.0,89.788,MEDIUM
ALO,2.0,138.172,SOFT
ALO,3.0,103.688,SOFT
ALO,4.0,138.38,SOFT
ALO,5.0,141.932,SOFT
ALO,6.0,138.647,SOFT
ALO,7.0,89.571,SOFT
ALO,8.0,89.084,SOFT
ALO,9.0,89.286,SOFT
ALO,10.0,89.691,SOFT
ALO,11.0,103.766,SOFT
ALO,12.0,144.914,SOFT
ALO,14.0,137.296,SOFT
ALO,15.0,90.394,SOFT
ALO,16.0,88.717,SOFT
ALO,17.0,89.977,SOFT
ALO,18.0,90.935,SOFT
ALO,19.0,90.356,SOFT
LEC,2.0,144.258,SOFT
LEC,3.0,98.999,SOFT
LEC,4.0,138.83,SOFT
LEC,5.0,141.141,SOFT
LEC,6.0,143.024,SOFT
LEC,7.0,88.933,SOFT
LEC,8.0,88.759,SOFT
LEC,9.0,90.145,SOFT
LEC,10.0,89.747,SOFT
LEC,11.0,104.626,SOFT
LEC,12.0,144.082,SOFT
LEC,14.0,137.506,SOFT
LEC,15.0,89.604,SOFT
